상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
정릉로26길,12394,5771,6624,1209,2492,2238,2260,2154,2042
정릉로27길,33639,15764,17875,3368,7042,6232,6140,5472,5384
정릉로31길,1482,661,821,76,251,301,298,266,289
정릉로31나길,76,13,63,1,9,14,17,18,17
정릉로6길,3442,1891,1551,746,2430,115,90,46,15
제기로20길,59350,32873,26477,1744,9544,9980,9241,12488,16353
제기로2길,93757,48276,45481,14765,47283,9258,7929,7420,7102
제기로38길,66481,32885,33595,2262,15708,11708,10198,12228,14377
제기로5길,120189,63218,56971,20137,73434,11110,6525,5357,3626
조원로12길,52143,28744,23400,947,12074,10459,9121,10959,8583
조원로13길,19952,10562,9389,326,5637,4355,3458,3077,3099
조원로18길,28220,15260,12960,983,8029,5830,5027,4367,3985
조원로31길,94364,44171,50193,1489,28273,20596,13443,15497,15066
조원로6길,59339,31534,27805,1139,14841,13404,9294,12015,8646
조원중앙로2길,90880,49340,41540,2252,20504,18693,15742,19150,14539
종로24길,35566,21558,14008,843,8739,5867,5875,6391,7850
종로26길,4932,3242,1689,63,998,844,898,1011,1118
종로41길,23137,14290,8848,640,4885,4421,4245,4826,4120
종로44길,54750,29562,25188,1421,10412,11936,10330,11213,9438
종로51가길,26183,13651,12532,974,4347,4266,4861,6470,5264
종로57길,96934,48079,48855,6033,18379,18476,18365,18697,16984
종로58가길,88030,41269,46761,1591,19650,21721,18406,14261,12400
종로5길,20726,11762,8964,896,4611,5868,4767,3080,1504
종로63길,40373,22460,17913,1694,7517,6241,6688,9449,8785
종로65길,115795,60263,55532,5326,25618,20955,19673,24420,19803
종암로14길,62867,31196,31670,6519,13162,10343,11049,11103,10692
종암로19길,30221,15053,15169,2121,5894,5670,5443,5588,5506
종암로27길,81459,40541,40918,7667,15878,14467,17341,13882,12223
종암로5길,31306,14892,16414,4698,17227,3574,2215,2212,1381
주흥13길,15597,7835,7763,206,5020,4105,2619,1883,1765
주흥길,360719,187287,173432,13071,125396,99861,57547,35552,29292
중계로18길,18102,8728,9375,6213,2918,1577,3591,2469,1335
중대로9길,178076,99269,78808,8999,33802,40137,37627,34831,22680
중랑역로13길,3882,2048,1835,77,470,525,812,1452,546
중랑천로10길,119421,62825,56596,5957,30874,22117,20897,22814,16762
중랑천로12길,77305,40844,36461,4653,24290,14057,11931,12882,9492
중림로5길,16875,9000,7875,529,4587,4825,3274,2144,1517
중앙1길,141694,69329,72365,5488,44618,28893,20412,21576,20708
