상권코드명,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수
삼청로5길,95,48,47,0,10,20,24,30,11
상계로12길,287,68,219,2,40,35,67,96,47
상계로37길,37,18,19,0,6,3,12,15,1
상계로9가길,45,27,18,0,2,6,15,16,6
상도로15길,281,143,138,1,19,51,86,69,55
상봉로11길,246,123,123,0,27,34,79,70,36
상원10길,206,120,86,0,27,47,48,51,33
상원길,3273,2115,1158,11,674,1013,861,492,222
상일로5길,74,32,42,0,5,13,31,21,4
새말로16길,1103,472,631,6,534,342,115,75,31
새창로33길,344,209,135,1,42,78,74,37,112
서강대길,282,174,108,5,34,76,82,66,19
서강로11길,213,96,117,0,44,56,27,34,52
서강로20길,23,14,9,0,4,6,4,6,3
서달로14길,71,26,45,2,8,13,21,20,7
서달로15길,30,14,16,1,1,5,10,6,7
서래로5길,1439,796,643,2,238,398,440,261,100
서림3길,22,17,5,0,1,5,7,3,6
서순라길,1561,961,600,2,327,319,298,356,259
서오릉로13길,363,179,184,0,42,74,121,88,38
서오릉로21길,1751,1060,691,2,114,238,401,752,244
서오릉로7길,128,50,78,0,9,30,35,42,12
서오릉로8길,129,41,88,0,7,14,43,34,31
서운로11길,739,516,223,3,137,217,173,129,80
서울숲2길,378,186,192,0,76,107,80,55,60
서울시립대로27길,90,52,38,1,3,18,37,19,12
서울시립대로29길,37,26,11,0,3,8,12,7,7
서울시립대로2길,180,108,72,1,24,28,53,46,28
서울시립대로5길,43,19,24,0,5,6,9,14,9
서초대로19길,2453,1553,900,8,331,563,571,526,454
서초대로1길,115,67,48,0,29,30,23,19,14
서초대로23길,2204,1178,1026,4,339,655,525,391,290
서초대로25길,2127,1321,806,23,519,663,544,258,120
서초대로26길,590,365,225,3,119,163,143,85,77
서초대로33길,1843,1048,795,9,429,534,444,256,171
서초대로34길,470,290,180,8,109,121,121,71,40
서초대로38길,1479,846,633,7,193,333,394,337,215
서초대로4길,495,362,133,6,67,135,142,81,64
서초대로54길,611,370,241,3,111,170,153,103,71
서초대로65길,18,12,6,2,2,3,8,2,1
서초중앙로31길,2039,1080,959,3,155,248,361,454,818
서초중앙로33길,2267,1136,1131,6,301,547,506,335,572
서해안로24길,54,12,42,0,1,6,17,10,20
석계로13길,107,62,45,0,20,22,32,20,13
석계로18길,57,35,22,0,11,14,11,10,11
석계로7길,131,36,95,2,10,11,24,41,43
석촌호수로18길,1061,566,495,7,113,219,311,300,111
선릉로130길,1743,333,1410,6,136,222,414,749,216
선릉로6길,138,66,72,0,20,34,31,37,16
선유로33길,183,127,56,0,24,59,48,36,16
선유로43가길,362,282,80,0,31,102,91,88,50
선유로9나길,107,77,30,0,4,16,30,32,25
선유서로25길,1183,943,240,2,113,255,330,290,193
성균관로9길,5,5,0,0,1,0,2,1,1
성대로1길,133,67,66,0,9,32,47,29,16
성덕정11길,218,143,75,0,19,38,62,70,29
성덕정19길,209,115,94,0,16,38,70,60,25
성덕정3길,74,46,28,0,2,11,26,28,7
성덕정길,1034,679,355,2,156,248,293,230,105
성미산로1길,799,568,231,3,113,187,201,124,171
성미산로29길,55,34,21,1,8,24,14,7,1
성북로14가길,33,14,19,0,4,6,10,9,4
성북로15길,141,108,33,0,8,36,49,37,11
성북로18길,122,46,76,0,23,22,29,31,17
성북로31길,135,49,86,2,29,27,26,28,23
성북로8길,486,159,327,1,41,209,176,39,20
성수이로7가길,1687,1035,652,10,323,534,488,240,92
성수일로1길,148,107,41,2,23,43,40,29,11
성수일로4길,3122,2164,958,20,661,986,801,481,173
성안로3길,4032,2539,1493,21,530,744,916,720,1101
성암로3길,44,34,10,0,4,4,9,13,14
성지3길,323,183,140,0,45,95,99,59,25
성지길,988,531,457,1,142,254,278,195,118
세검정로1길,256,78,178,0,31,50,81,39,55
세검정로3길,255,180,75,0,16,19,52,38,130
세무서7길,76,32,44,0,13,10,26,17,10
세무서길,264,92,172,1,28,56,87,59,33
세종대로2가길,1908,1049,859,15,309,633,439,259,253
소공로3길,347,182,165,1,43,54,70,106,73
소공로6길,111,65,46,1,27,29,20,16,18
소월로20길,28,13,15,0,2,7,6,6,7
소월로2길,12932,6240,6692,342,6380,2721,2486,851,152
소월로38가길,7,2,5,0,1,0,5,1,0
솔매로17길,20,4,16,0,4,8,2,1,5
솔매로36길,56,25,31,0,7,12,22,11,4
솔매로43길,57,25,32,0,6,4,22,18,7
솔매로44길,416,166,250,1,78,108,103,75,51
솔매로46길,349,158,191,1,54,91,84,70,49
솔매로50길,617,244,373,3,99,156,187,114,58
솔샘로18길,211,161,50,0,10,18,37,93,53
솔샘로1길,73,46,27,0,21,25,15,7,5
솔샘로47길,22,10,12,0,3,4,6,3,6
솔샘로48길,27,11,16,0,7,4,10,5,1
솔샘로4길,29,16,13,0,5,4,11,6,3
솔샘로64길,37,19,18,0,5,2,12,10,8
솔샘로65길,534,315,219,0,41,90,107,173,123
솔샘로67길,507,258,249,0,42,102,151,129,83
솔샘로68길,128,48,80,1,24,20,35,31,17
송월길,3248,945,2303,2,1112,1095,596,323,120
송파대로38길,441,255,186,0,71,104,83,140,43
수색로14길,85,35,50,0,8,18,23,21,15
수색로2길,422,109,313,0,78,104,120,69,51
수유로23길,374,110,264,0,48,63,90,125,48
수유로4길,531,365,166,2,70,89,115,126,129
숭문16길,19,10,9,0,2,3,4,7,3
숭문길,1465,876,589,6,108,222,260,513,356
숭인동길,206,84,122,0,20,26,38,69,53
승방길,578,457,121,5,48,105,203,115,102
시흥대로102길,236,141,95,0,26,46,54,63,47
시흥대로120길,125,57,68,0,13,24,48,31,9
시흥대로122길,386,291,95,0,63,79,119,71,54
시흥대로128길,395,308,87,0,63,76,113,83,60
시흥대로136길,36,16,20,0,2,2,11,18,3
시흥대로138길,204,154,50,0,55,46,33,57,13
시흥대로141길,243,134,109,0,22,35,84,59,43
시흥대로149길,113,46,67,0,6,14,47,33,13
시흥대로150길,248,108,140,10,44,64,55,46,29
시흥대로151길,406,272,134,0,22,79,161,105,39
시흥대로152길,563,320,243,11,68,102,136,135,111
시흥대로153길,682,435,247,3,75,151,217,166,70
시흥대로160길,5,3,2,0,0,1,1,0,3
시흥대로28길,474,307,167,1,27,56,118,129,143
시흥대로40마길,155,61,94,0,22,31,49,38,15
시흥대로47길,323,187,136,0,33,55,103,95,37
시흥대로50길,31,13,18,0,2,7,11,7,4
시흥대로68길,441,130,311,1,114,93,110,96,27
시흥대로71길,170,97,73,0,30,38,47,30,25
시흥대로72길,683,163,520,0,19,27,61,127,449
시흥대로88길,176,76,100,1,24,35,48,40,28
시흥대로94길,334,163,171,0,56,79,91,65,43
시흥대로96길,7,5,2,0,1,2,1,2,1
시흥대로98길,122,71,51,0,19,28,36,25,14
신길로23나길,62,21,41,0,4,9,17,19,13
신길로34길,54,31,23,1,6,11,12,8,16
신길로38길,326,194,132,6,30,87,110,61,32
신길로39길,61,34,27,0,13,8,18,14,8
신길로40길,331,173,158,5,47,98,103,57,21
신길로41길,357,139,218,1,55,75,100,79,47
신길로42가길,411,180,231,0,61,117,108,83,42
신길로60마길,26,5,21,0,8,8,7,3,0
신길로8길,40,10,30,2,7,9,10,8,4
신내로17길,319,187,132,0,23,46,95,99,56
신대방1가길,144,76,68,0,30,48,42,20,4
신도림로11길,495,325,170,3,63,95,122,140,72
신림동5가길,144,110,34,0,28,47,39,18,12
신림동길,225,152,73,0,38,68,61,32,26
신림로11길,55,24,31,0,20,12,13,6,4
신림로14길,167,52,115,0,13,40,56,47,11
신림로17길,54,22,32,0,1,18,15,11,9
신림로23길,87,50,37,1,6,17,22,19,22
신림로28길,271,206,65,1,7,23,61,105,74
신림로30길,73,57,16,0,5,13,21,23,11
신림로32길,39,19,20,0,3,5,9,15,7
신림로38길,61,26,35,0,8,13,18,12,10
신림로3가길,182,72,110,0,16,35,39,62,30
신림로48길,6827,3642,3185,1,946,2377,1660,1341,502
신림로58길,42,18,24,1,0,3,14,11,13
신림로64길,204,94,110,0,26,42,68,43,25
신림로65길,46,29,17,0,3,11,9,12,11
신림로73길,244,147,97,0,28,60,61,63,32
신목로2길,101,50,51,0,8,28,28,16,21
신목로4길,95,41,54,1,13,21,28,20,12
신목로5길,294,110,184,0,46,67,94,54,33
신반포로15길,131,81,50,0,11,35,45,14,26
신반포로45길,1863,1165,698,31,352,483,388,255,354
신원로3길,750,325,425,1,56,100,180,242,171
신원로4길,36,10,26,0,6,13,6,6,5
신월로15길,84,40,44,0,4,16,24,29,11
신월로16길,244,120,124,0,43,56,70,41,34
신이문로24길,11,1,10,0,0,7,1,3,0
신정중앙로23길,888,275,613,0,187,292,252,106,51
신촌로12길,24,15,9,0,5,4,5,5,5
신촌로1길,19,10,9,0,6,6,6,0,1
신촌로24길,94,31,63,0,30,23,15,17,9
신촌로30길,2709,1153,1556,31,681,757,576,460,204
신촌로37안길,507,139,368,1,62,74,106,150,114
신촌로3길,5,2,3,0,3,1,0,1,0
신촌로4길,249,97,152,0,59,82,71,30,7
신촌로9길,8,6,2,0,1,3,3,1,0
신풍로8길,52,25,27,0,1,12,15,17,7
신흥로20길,112,54,58,0,14,29,36,15,18
신흥안길,28,14,14,0,0,2,12,10,4
쑥고개로11길,114,42,72,1,9,16,33,34,21
아리랑로19길,75,32,43,0,7,18,15,20,15
아리랑로5길,171,60,111,1,26,24,29,56,35
아차산로51길,90,54,36,0,5,14,37,21,13
아차산로70길,57,47,10,0,2,1,5,9,40
아차산로76길,1787,936,851,8,456,652,375,189,107
아차산로7가길,65,36,29,0,10,14,18,16,7
아차산로7길,2893,1341,1552,28,592,836,734,456,247
안암로5길,165,103,62,0,22,28,49,48,18
안암로6길,234,141,93,0,39,65,63,38,29
안암로9가길,220,132,88,0,35,49,58,58,20
안암로9나길,312,200,112,0,40,66,101,70,35
압구정로29길,333,221,112,1,8,31,79,116,98
압구정로4길,498,288,210,4,135,139,134,58,28
약령서길,678,339,339,8,200,243,123,78,26
양녕로1길,258,165,93,5,42,49,59,50,53
양녕로2길,199,83,116,0,29,54,46,37,33
양산로19길,991,631,360,3,191,349,231,135,82
양산로23길,18,14,4,0,0,1,6,6,5
양재대로103길,468,246,222,0,62,117,115,90,84
양재대로124길,399,245,154,0,38,61,85,105,110
양재대로128길,112,48,64,0,8,14,36,27,27
양재대로85길,1052,665,387,1,156,314,269,219,93
양재천로19길,1508,1100,408,4,268,424,407,266,139
양천로14길,154,83,71,0,9,28,58,40,19
양천로49길,618,401,217,2,64,125,170,161,96
양천로57길,929,526,403,7,141,185,193,127,276
양천로69길,49,16,33,1,11,7,10,14,6
양평로17길,1727,945,782,5,473,533,384,234,98
양평로18길,672,374,298,2,88,140,206,160,76
양평로19길,656,333,323,7,103,140,165,168,73
양평로20길,607,335,272,2,77,123,170,152,83
양평로22길,677,368,309,0,123,138,190,150,76
양평로24길,1934,1181,753,2,395,613,476,274,174
양화로19길,56,31,25,1,9,18,16,9,3
양화로23길,46,21,25,1,6,8,13,7,11
양화로7길,1111,573,538,3,198,364,316,150,80
어울마당로1길,83,55,28,2,20,28,14,15,4
언남11길,658,459,199,4,101,157,207,120,69
언주로108길,684,423,261,7,165,241,165,71,35
언주로125길,620,361,259,1,125,169,152,80,93
언주로30길,3846,2384,1462,23,629,1363,1118,463,250
여의대방로13길,52,28,24,0,9,15,9,12,7
여의대방로24가길,595,370,225,5,94,156,125,99,116
여의대방로36길,628,330,298,0,73,144,180,161,70
여의대방로43가길,28,13,15,0,2,6,6,11,3
여의대방로55길,148,74,74,0,18,51,30,30,19
역말로9길,297,105,192,2,23,67,84,84,37
역삼로78길,576,320,256,0,109,136,151,119,61
연남로5길,1147,669,478,7,217,342,303,180,98
연대동문길,19502,7235,12267,61,4740,5970,4805,2993,933
연무장3길,6507,3297,3210,24,1604,2332,1505,944,98
연무장5가길,422,274,148,0,73,115,100,85,49
연무장길,5524,3721,1803,41,920,1431,1467,1148,517
연서로13길,165,54,111,0,21,25,42,60,17
연서로16길,188,81,107,3,41,42,53,28,21
연서로17길,547,215,332,0,48,101,174,156,68
연서로19길,451,220,231,0,42,107,146,102,54
연서로20길,504,168,336,0,60,111,159,102,72
연서로21길,410,154,256,2,76,99,106,89,38
연서로27길,533,275,258,1,54,71,108,135,164
연서로28길,320,165,155,0,41,87,82,58,52
연서로34길,101,23,78,1,15,28,24,26,7
연서로3길,482,148,334,0,26,69,104,207,76
연서로5길,446,130,316,1,22,66,89,196,72
연서로6길,424,246,178,0,54,118,112,88,52
연서로9길,218,80,138,0,20,36,63,78,21
연세로2길,2,1,1,0,0,0,1,0,1
연세로4길,6,1,5,0,0,1,3,0,2
연희로11가길,196,105,91,0,46,68,46,24,12
연희로15길,446,232,214,0,71,95,117,100,63
연희로25길,242,112,130,1,31,51,53,56,50
연희로41가길,81,68,13,0,8,36,29,8,0
연희로41길,163,111,52,0,10,46,56,26,25
연희로8길,103,42,61,0,23,30,20,24,6
영등포로13길,341,168,173,1,23,26,72,73,146
영등포로18길,413,272,141,0,68,86,56,74,129
영등포로25길,1379,733,646,6,114,298,347,318,296
영등포로27길,602,346,256,0,71,151,182,115,83
영등포로5길,438,283,155,0,51,72,98,127,90
영등포로62길,177,54,123,0,31,45,74,21,6
영등포로64길,145,81,64,0,20,34,26,55,10
영등포로72길,244,121,123,1,23,59,46,56,59
영등포로80길,2895,1662,1233,7,309,395,533,890,761
영등포로84길,615,196,419,2,78,130,142,169,94
영신로17길,57,36,21,0,9,8,18,12,10
영신로19길,91,40,51,0,10,10,40,21,10
영신로57길,159,103,56,1,15,32,47,40,24
영중로42길,5,1,4,0,0,2,1,1,1
오금로11길,527,343,184,6,67,127,118,119,90
오금로31길,141,85,56,0,17,34,32,28,30
오금로32길,24,12,12,0,1,1,4,11,7
오금로35길,881,423,458,8,105,152,207,302,107
오금로36길,1140,728,412,4,153,256,323,268,136
오금로46길,2276,1426,850,14,361,607,640,430,224
오류로8길,246,113,133,1,36,61,68,47,33
오목로54길,778,344,434,6,94,128,183,190,177
오패산로13길,124,68,56,0,28,27,29,29,11
오패산로19길,91,49,42,0,9,31,33,13,5
오패산로30길,141,85,56,0,18,28,38,21,36
오패산로31길,59,39,20,4,19,10,15,4,7
오패산로3길,1113,534,579,11,252,306,292,181,71
오패산로67길,275,157,118,1,37,56,82,52,47
오현로31길,1209,864,345,1,92,153,351,423,189
오현로32길,283,181,102,0,28,27,66,102,60
옥인6길,22,18,4,0,3,3,3,5,8
올림픽로32길,914,496,418,17,173,231,176,185,132
올림픽로35길,648,288,360,3,83,145,161,139,117
올림픽로4길,146,85,61,0,15,21,33,32,45
올림픽로62길,111,78,33,0,15,19,39,25,13
올림픽로92길,595,297,298,2,98,175,175,122,23
올림픽로98길,614,242,372,2,82,143,164,130,93
와우산로29길,227,147,80,1,57,48,59,39,23
와우산로29나길,71,33,38,0,16,19,22,8,6
와우산로30길,192,85,107,0,53,76,40,18,5
와우산로3길,86,57,29,0,9,36,22,14,5
왕산로22길,595,411,184,2,33,95,86,144,235
왕산로30길,117,57,60,0,14,16,41,23,23
왕산로32길,62,10,52,0,14,18,9,17,4
왕산로3길,203,90,113,0,38,54,49,42,20
왕산로45길,637,318,319,2,105,214,145,110,61
왕십리로14길,994,645,349,2,88,163,233,308,200
왕십리로26길,3584,2499,1085,14,588,814,968,743,457
왕십리로30길,1002,404,598,7,184,266,224,204,117
왕십리로33길,43,21,22,0,5,12,12,10,4
왕십리로5길,773,405,368,4,159,227,164,119,100
왕십리로6길,876,541,335,2,108,218,254,206,88
왕십리로8길,243,142,101,1,34,53,79,62,14
용답중앙11다길,332,272,60,0,91,85,47,55,54
용답중앙13길,425,297,128,0,108,103,77,79,58
용답중앙길,1963,1237,726,4,374,655,381,315,234
용마산로115길,763,361,402,0,130,196,192,141,104
용마산로117길,568,329,239,7,53,74,84,177,173
용마산로45길,83,28,55,0,17,19,30,17,0
우사단로10길,116,68,48,0,17,30,24,26,19
우사단로2길,64,45,19,0,4,7,20,18,15
우이천로4라길,563,282,281,2,79,108,171,118,85
원효로19길,490,346,144,0,60,180,136,69,45
원효로35길,341,239,102,8,34,92,109,59,39
원효로41길,1392,1020,372,0,78,144,239,565,366
원효로53길,347,210,137,1,30,64,79,53,120
원효로71길,192,113,79,0,26,47,66,41,12
원효로89길,308,160,148,1,38,67,83,62,57
월계로37길,228,124,104,6,32,32,59,58,41
월계로7나길,170,90,80,2,19,31,54,34,30
월곡로5길,205,93,112,5,31,43,38,51,37
월드컵로10길,1662,826,836,6,509,609,325,128,85
월드컵로14길,631,336,295,7,194,203,135,61,31
월드컵로23길,2261,697,1564,10,217,260,236,327,1211
월드컵로25길,597,357,240,0,84,157,183,102,71
월드컵로29길,795,469,326,4,100,217,216,145,113
월드컵로31길,543,254,289,0,82,136,140,122,63
월드컵로32길,781,416,365,9,182,181,177,149,83
월드컵로36길,1233,471,762,3,91,169,245,378,347
월드컵로3길,695,457,238,2,84,180,209,152,68
월드컵로7길,894,493,401,8,169,272,239,124,82
월드컵북로16길,2715,1847,868,14,357,513,495,434,902
월드컵북로30길,232,114,118,0,22,26,80,63,41
월드컵북로48길,345,214,131,0,60,112,99,51,23
월드컵북로4길,393,197,196,1,70,99,106,68,49
월드컵북로6길,1924,1104,820,10,346,552,496,331,189
월드컵북로7길,3761,2366,1395,35,627,871,911,918,399
위례성대로18길,3240,2126,1114,22,399,596,639,524,1060
위례성대로20길,269,138,131,0,35,73,74,47,40
율곡로10길,2016,1228,788,4,397,426,417,455,317
율곡로17길,885,435,450,5,131,225,227,211,86
율곡로19길,746,371,375,0,121,193,197,189,46
율곡로1길,1085,467,618,1,199,274,299,197,115
율곡로3길,1085,467,618,1,199,274,299,197,115
율곡로6길,7495,3552,3943,487,1351,2087,2215,955,400
은천로25길,61,26,35,0,2,7,23,19,10
은천로5길,130,79,51,0,31,32,38,23,6
은천로6길,894,493,401,3,215,151,172,214,139
은천로9길,83,33,50,0,7,18,16,25,17
은평로10길,170,79,91,2,26,37,27,53,25
은평로11길,408,217,191,1,41,71,108,106,81
은평로12길,269,130,139,2,39,60,60,66,42
은평로13길,565,235,330,3,61,105,152,144,100
은평로20길,219,89,130,1,41,49,62,32,34
은평로21길,81,40,41,0,12,16,23,20,10
은평로3길,165,91,74,1,21,32,56,33,22
은평로6길,448,198,250,2,56,94,129,130,37
은평로8길,243,108,135,1,47,49,68,58,20
은평로9길,711,471,240,0,72,137,198,238,66
을지로22길,270,193,77,2,51,48,64,69,36
을지로30길,442,292,150,2,47,92,139,109,53
을지로32길,296,209,87,1,25,56,88,84,42
응암로11길,471,264,207,5,120,91,114,100,41
응암로12길,168,80,88,1,18,31,70,36,12
응암로13길,148,52,96,1,13,24,45,39,26
응암로14길,103,44,59,0,12,21,33,22,15
응암로1길,470,310,160,2,88,111,122,108,39
응암로20길,280,149,131,0,22,113,87,44,14
응암로22길,337,174,163,0,31,123,101,53,29
응암로29길,336,174,162,1,43,61,77,92,62
응암로34길,313,139,174,0,40,62,92,77,42
응암로9길,150,63,87,0,18,25,48,46,13
이문로12길,18,14,4,0,0,4,8,5,1
이문로24길,18,6,12,1,3,1,5,8,0
이문로25길,5,3,2,0,0,0,4,1,0
이문로28길,54,16,38,0,6,11,9,19,9
이문로42길,34,12,22,1,9,3,4,10,7
이촌로14길,93,55,38,0,32,33,14,11,3
이촌로22길,64,41,23,0,4,13,16,13,18
이태원로17길,278,143,135,3,125,90,29,13,18
이태원로20가길,73,35,38,0,16,20,11,13,13
이태원로20길,33,18,15,0,12,8,5,4,4
이태원로26길,13,10,3,0,3,4,3,1,2
이태원로27길,385,240,145,7,180,83,48,40,27
이태원로36길,164,81,83,0,43,37,49,21,14
이태원로42길,2735,1369,1366,20,527,1111,721,308,48
이화장길,2966,1693,1273,11,479,856,751,632,237
인수봉로55길,26,13,13,0,2,4,8,7,5
인수봉로56길,21,10,11,0,0,5,3,6,7
인수봉로67길,52,15,37,0,9,7,7,14,15
인수봉로68길,306,157,149,0,18,52,91,100,45
인수봉로77길,17,4,13,0,5,1,5,5,1
인수봉로78길,118,75,43,1,4,21,42,28,22
인수봉로79길,104,37,67,0,17,9,31,31,16
인촌로17가길,12,9,3,0,1,1,5,3,2
인촌로1길,448,241,207,0,163,86,103,68,28
인촌로24가길,14,5,9,0,1,5,5,1,2
인촌로24길,141,52,89,0,46,32,36,16,11
인촌로27길,175,89,86,1,30,45,45,41,13
인촌로28길,161,60,101,3,38,33,47,17,23
인촌로7다길,3973,2402,1571,12,589,1032,1134,862,344
인헌3길,40,9,31,0,7,5,17,7,4
인헌4길,108,46,62,0,11,23,35,26,13
인헌6길,289,108,181,1,64,66,69,59,30
인헌길,534,262,272,1,62,107,143,152,69
일원로9길,676,355,321,2,56,125,155,159,179
자동차시장1길,1703,1234,469,6,358,708,421,151,59
자양로15길,1501,690,811,8,346,322,300,203,322
자양번영로1길,367,329,38,0,11,31,115,148,62
자하문로10길,133,41,92,0,48,38,26,14,7
자하문로24길,205,90,115,0,44,67,51,37,6
자하문로41길,144,77,67,0,22,30,47,31,14
자하문로5길,3,0,3,0,0,0,3,0,0
자하문로7길,94,44,50,0,15,29,23,17,10
자하문로9길,180,96,84,1,32,75,44,17,11
잔다리로7안길,3243,1288,1955,9,815,1356,747,216,100
잠원로14길,82,58,24,1,3,11,11,17,39
장군봉1길,363,189,174,0,44,88,121,67,43
장군봉2길,193,131,62,0,11,37,48,57,40
장문로45길,262,139,123,0,28,39,51,76,68
장문로6길,2,1,1,0,0,0,1,0,1
장월로1길,1065,493,572,1,207,211,268,261,117
장월로1마길,196,76,120,0,20,40,33,75,28
장월로3길,15,9,6,0,0,3,7,2,3
장위로38길,80,43,37,0,6,9,21,28,16
장위로40길,29,19,10,0,0,4,5,14,6
장충단로8길,3201,1704,1497,11,503,819,1082,630,156
장터2길,98,48,50,0,8,31,18,20,21
장터3길,353,138,215,0,49,75,70,99,60
장터5길,56,25,31,0,12,13,10,14,7
장터길,186,62,124,0,30,44,30,45,37
장한로18길,390,208,182,0,58,118,109,79,26
장한로25길,299,86,213,4,61,59,54,86,35
장한로32길,765,500,265,0,98,106,170,235,156
장한로5길,569,317,252,0,99,182,144,85,59
전농로16길,160,69,91,0,15,48,49,29,19
전농로17길,80,51,29,0,10,19,21,21,9
전농로20길,245,96,149,3,24,84,79,42,13
전농로27길,369,213,156,0,51,59,118,92,49
전농로29길,177,96,81,0,31,23,48,45,30
전농로37길,198,107,91,7,33,34,57,45,22
전농로3길,212,67,145,0,25,23,41,55,68
정릉로10길,410,362,48,0,24,43,138,154,51
정릉로26길,55,28,27,0,4,10,17,17,7
정릉로27길,253,199,54,1,19,25,63,84,61
정릉로31길,9,3,6,0,3,3,3,0,0
정릉로31나길,63,23,40,0,8,14,18,15,8
정릉로6길,33,28,5,0,0,7,4,7,15
제기로20길,200,101,99,1,24,44,43,43,45
제기로2길,16,9,7,0,1,0,10,2,3
제기로38길,601,286,315,2,108,208,146,94,43
제기로5길,196,97,99,0,8,33,57,71,27
조원로12길,231,125,106,2,27,34,53,60,55
조원로13길,138,60,78,0,8,27,45,40,18
조원로18길,190,116,74,1,22,29,53,52,33
조원로31길,313,156,157,0,33,75,86,69,50
조원로6길,175,99,76,0,19,35,38,51,32
조원중앙로2길,379,184,195,3,46,69,104,109,48
종로24길,515,357,158,2,44,112,126,123,108
종로26길,247,175,72,2,22,58,73,50,42
종로41길,149,79,70,0,23,28,38,34,26
종로44길,456,312,144,1,48,118,125,81,83
종로51가길,19,6,13,0,1,1,5,11,1
종로57길,105,50,55,0,15,27,24,27,12
종로58가길,377,177,200,3,86,97,77,55,59
종로5길,10225,8438,1787,22,1331,3646,2708,1852,666
종로63길,170,78,92,0,20,36,53,33,28
종로65길,292,115,177,0,27,47,96,67,55
종암로14길,221,73,148,2,46,47,53,41,32
종암로19길,142,71,71,0,26,34,39,33,10
종암로27길,1077,753,324,4,131,267,327,299,49
종암로5길,141,45,96,0,22,43,43,19,14
주흥13길,27,16,11,0,6,4,9,4,4
주흥길,980,595,385,7,155,260,266,168,124
중계로18길,181,87,94,0,24,41,53,38,25
중대로9길,2134,1547,587,4,232,572,651,433,242
중랑역로13길,12,7,5,0,0,0,5,5,2
중랑천로10길,901,543,358,16,183,165,213,196,128
중랑천로12길,816,479,337,16,197,142,183,180,98
중림로5길,755,316,439,2,338,196,156,62,1
중앙1길,281,126,155,1,74,79,53,47,27
중앙길,89,20,69,0,9,22,26,21,11
중앙로1길,1065,736,329,3,117,140,164,182,459
중앙로34길,165,64,101,0,16,24,66,39,20
중앙로45길,177,56,121,2,19,27,38,51,40
중앙로46길,291,114,177,0,21,48,85,75,62
중앙로6길,624,205,419,1,154,126,140,141,62
증가로10길,160,76,84,1,21,29,39,49,21
증가로12나길,63,26,37,0,8,11,22,15,7
증가로20길,88,28,60,0,19,16,25,16,12
증가로24바길,23,10,13,0,3,4,6,9,1
증가로25길,79,37,42,0,2,14,25,30,8
증가로29길,336,150,186,2,103,119,72,27,13
증가로8길,65,31,34,0,14,18,11,14,8
증산로15길,367,111,256,0,8,23,62,84,190
증산로17길,605,314,291,0,12,32,89,165,307
증산로23길,301,154,147,1,52,61,63,84,40
증산로3길,282,113,169,3,33,56,81,67,42
증산로9길,805,559,246,5,96,143,166,208,187
증산서길,915,622,293,2,68,131,223,261,230
지봉로17길,92,32,60,2,13,10,24,36,7
지양로3길,26,10,16,0,2,6,9,6,3
진흥로12길,76,20,56,1,9,11,15,31,9
진흥로1길,209,81,128,0,31,37,45,67,29
진흥로7길,253,127,126,2,33,49,64,72,33
창경궁로13길,331,219,112,0,44,68,99,71,49
창경궁로1길,608,418,190,3,53,104,179,181,88
창경궁로27길,60,30,30,0,8,16,15,10,11
창경궁로35길,1921,630,1291,9,492,449,493,279,199
창경궁로43길,3,1,2,0,0,0,2,0,1
창덕궁1길,12,1,11,0,1,2,5,2,2
창덕궁길,867,430,437,7,121,260,225,191,63
창신3길,32,18,14,0,2,9,7,10,4
창신6길,78,29,49,0,2,13,11,30,22
창신길,256,71,185,1,25,33,39,91,67
창의문로11길,23,11,12,0,4,9,3,2,5
천장산로4길,29,18,11,0,10,2,4,9,4
천장산로7길,30,15,15,0,4,6,10,7,3
천장산로9길,40,16,24,0,8,9,9,9,5
천중로40길,605,350,255,2,94,183,113,128,85
천중로50길,903,536,367,1,83,155,219,214,231
천호대로111길,699,381,318,1,148,191,159,134,66
천호대로134길,75,39,36,0,13,18,19,13,12
천호대로13길,474,264,210,0,94,128,88,86,78
천호대로16길,463,270,193,0,96,74,113,125,55
천호대로170길,792,487,305,0,64,114,163,249,202
천호대로17길,341,237,104,4,20,69,83,99,66
천호대로27길,91,44,47,0,9,20,23,19,20
천호대로77나길,111,58,53,0,10,27,35,26,13
천호옛14길,177,76,101,5,24,40,46,33,29
청계천로10나길,540,363,177,2,66,159,164,100,49
청계천로12가길,5190,3721,1469,15,426,873,1281,1827,768
청구로17길,286,175,111,0,48,83,69,62,24
청구로21길,1081,722,359,5,141,364,262,209,100
청구로3길,1451,788,663,7,248,324,343,264,265
청두곶길,1140,841,299,48,453,332,207,60,40
청룡3길,189,125,64,1,32,38,50,42,26
청룡4길,130,63,67,1,15,22,36,35,21
청룡7길,379,271,108,1,48,77,115,86,52
청룡8길,371,209,162,3,29,56,113,103,67
청룡길,519,387,132,0,35,89,154,133,108
청룡중앙길,71,47,24,0,6,5,8,14,38
청림2길,81,30,51,2,16,18,18,14,13
청림5길,695,311,384,0,81,223,195,110,86
청림길,130,73,57,2,26,39,23,23,17
청파로43길,41,23,18,0,4,8,10,9,10
청파로45길,26,11,15,0,1,3,8,5,9
청파로47길,312,180,132,2,39,78,83,65,45
