상권코드명,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수
난곡로78길,88,44,44,0,10,23,19,26,10
난우길,384,165,219,1,69,79,91,80,64
난향2길,6,0,6,0,1,1,1,2,1
난향길,40,11,29,0,6,7,11,11,5
남부순환로124길,496,225,271,0,50,150,125,104,67
남부순환로144길,339,152,187,3,72,56,60,74,74
남부순환로145길,216,106,110,2,31,41,63,61,18
남부순환로151길,205,92,113,0,25,39,47,58,36
남부순환로153길,120,44,76,0,23,27,29,27,14
남부순환로159길,118,61,57,0,6,11,39,46,16
남부순환로170길,300,131,169,1,23,32,67,86,91
남부순환로191길,296,141,155,0,37,59,100,72,28
남부순환로208길,148,61,87,1,27,30,42,23,25
남부순환로230길,145,68,77,0,17,35,37,32,24
남부순환로234길,129,40,89,0,16,26,35,30,22
남부순환로248길,273,101,172,1,44,40,73,74,41
남부순환로272길,131,61,70,0,20,36,41,24,10
남부순환로317길,2002,1269,733,43,457,588,493,273,148
남부순환로323길,523,287,236,3,101,162,122,73,62
남부순환로333길,13727,6311,7416,138,4302,3472,2855,2290,670
남부순환로337가길,562,398,164,1,117,217,137,48,42
남부순환로350길,2393,816,1577,7,392,590,684,537,183
남부순환로356길,1137,710,427,3,223,352,246,191,122
남부순환로40길,86,35,51,1,14,17,25,26,3
남부순환로59길,86,47,39,0,5,12,34,26,9
남부순환로70길,268,139,129,0,21,44,68,76,59
남부순환로95길,83,44,39,0,5,4,16,21,37
남부순환로97길,88,33,55,1,24,32,18,6,7
남현2길,637,319,318,3,80,136,182,188,48
남현3길,490,383,107,5,39,92,167,100,87
남현4길,95,65,30,0,10,23,23,21,18
남현길,191,87,104,1,34,50,51,37,18
노량진로6길,145,81,64,0,19,31,30,32,33
노량진로8길,2391,1118,1273,5,290,811,651,530,104
노원로1길,230,63,167,0,36,49,67,61,17
노해로17길,60,25,35,0,3,11,12,16,18
노해로35길,7,6,1,0,0,2,1,3,1
노해로41길,166,75,91,0,30,27,37,42,30
노해로65길,188,73,115,2,32,45,48,47,14
노해로70길,72,33,39,0,4,11,21,26,10
노해로8가길,72,40,32,0,11,18,22,15,6
녹사평대로26길,167,88,79,1,24,59,34,34,15
녹사평대로40길,274,160,114,7,93,80,42,25,27
녹사평대로46가길,122,73,49,6,56,33,11,8,8
녹사평대로46길,199,105,94,1,25,61,74,36,2
논현로5길,767,363,404,3,92,120,169,233,150
논현로8길,2146,1407,739,7,347,482,447,440,423
능동로19길,96,66,30,0,13,16,19,30,18
능동로4길,377,105,272,0,33,64,157,89,34
다동길,4919,2696,2223,9,353,1603,2094,777,83
다산로14길,171,84,87,0,40,50,39,25,17
다산로36길,868,566,302,5,106,236,232,226,63
다산로42나길,162,75,87,0,43,38,30,39,12
다산로44길,265,98,167,1,33,66,48,71,46
다산로8길,287,103,184,0,46,93,67,42,39
답십리로30길,34,23,11,0,5,8,12,6,3
답십리로56길,38,13,25,1,5,16,3,9,4
답십리로65길,353,178,175,0,68,83,68,89,45
답십리로66길,657,283,374,5,111,172,136,157,76
답십리로68길,656,269,387,4,99,141,150,173,89
답십리로72길,125,73,52,0,14,27,27,26,31
당곡길,134,59,75,1,23,24,47,27,12
당산로10길,625,413,212,5,59,192,160,133,76
당산로16길,1088,545,543,5,116,169,239,241,318
당산로18길,541,206,335,1,36,61,116,144,183
당산로28길,65,52,13,0,7,13,17,16,12
당산로31길,695,424,271,1,92,190,190,157,65
당산로37길,10199,4872,5327,140,3028,2825,2250,1231,725
당산로38길,994,516,478,2,67,139,173,331,282
당산로44길,173,68,105,1,35,33,51,32,21
당산로48길,1103,660,443,8,86,249,318,313,129
당산로52길,1111,679,432,8,89,255,313,319,127
대림로22길,40,23,17,0,3,2,18,9,8
대림로29길,361,232,129,1,41,63,117,93,46
대림로34길,148,106,42,1,11,37,47,29,23
대림로44길,374,178,196,0,37,77,81,112,67
대사관로30가길,45,21,24,0,2,7,19,11,6
대사관로31길,1683,510,1173,6,596,459,398,175,49
대사관로34길,713,450,263,5,98,121,143,174,172
대학5길,57,25,32,0,22,11,13,6,5
대학길,70,25,45,0,9,18,16,21,6
대흥로21길,173,68,105,0,27,38,39,23,46
덕릉로24길,297,257,40,0,17,46,64,85,85
덕릉로28길,395,159,236,2,58,77,81,85,92
덕릉로30길,111,48,63,0,19,33,21,29,9
덕릉로42길,58,22,36,0,12,12,18,12,4
덕릉로54길,67,37,30,0,4,7,13,23,20
덕릉로59아길,59,20,39,0,2,7,21,24,5
덕릉로63가길,307,169,138,17,33,54,93,85,25
덕릉로73길,41,18,23,1,3,2,16,12,7
덕릉로83길,140,92,48,0,10,21,46,47,16
도곡로77길,303,84,219,0,41,140,61,43,18
도당로15길,281,119,162,1,27,57,87,77,32
도림로108나길,72,48,24,1,6,13,18,21,13
도림로113길,68,50,18,0,3,19,12,16,18
도림로12길,19,2,17,0,2,5,8,3,1
도림로147길,3003,1974,1029,14,558,801,773,587,270
도림로31길,483,278,205,2,57,91,128,144,61
도림로38길,51,26,25,0,8,12,10,13,8
도림로41길,189,81,108,0,16,27,58,54,34
도림로53길,111,43,68,0,17,17,30,29,18
도봉로109길,317,174,143,1,58,73,97,56,32
도봉로10다길,13,7,6,0,0,0,7,6,0
도봉로10라길,43,17,26,0,3,5,12,18,5
도봉로110길,525,168,357,2,114,116,124,113,56
도봉로113길,171,71,100,1,26,30,53,38,23
도봉로114길,95,41,54,0,6,14,33,26,16
도봉로13가길,196,78,118,2,43,39,39,38,35
도봉로13길,121,42,79,1,24,14,37,25,20
도봉로150길,211,52,159,1,16,26,34,87,47
도봉로152길,495,420,75,0,16,34,90,163,192
도봉로153길,634,340,294,16,111,152,180,121,54
도봉로156길,243,68,175,1,15,53,80,56,38
