상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
가락로16길,2457,1303,1155,8,256,432,526,802,433
가락로28길,30835,14976,15859,2992,5451,5364,5447,6248,5332
가락로36길,27974,14046,13928,3889,5457,5760,4574,4454,3841
가로공원로76길,48645,23449,25195,2925,9085,10396,8884,9127,8227
가마산로61길,35167,17910,17257,1477,7906,6303,7608,7855,4018
가마산로88길,21970,12207,9763,2776,3805,3312,3992,4563,3522
가마산로89길,22056,10860,11196,2116,4579,3575,4225,4286,3275
가산로3길,45162,26913,18249,91,13084,12259,7992,7959,3779
가산로5길,20736,12525,8210,49,6647,5890,3161,3628,1361
가재울로14길,1709,1692,17,0,9,174,536,607,384
가재울로4길,37570,20663,16907,2218,9115,6579,6829,7297,5531
가재울로6길,57060,31304,25756,4289,14312,9521,10312,10415,8209
가좌로6길,42737,22282,20454,4911,6556,9507,8299,6824,6639
가좌로7길,106843,53983,52860,12464,17529,22460,19246,18634,16510
가좌로7다길,68446,34665,33781,8583,12554,13789,12044,11896,9581
가좌로9길,46336,23852,22485,3212,9528,8607,8335,9063,7592
갈현로1길,38587,18717,19870,3145,7135,8054,6558,7576,6119
갈현로23길,21290,8485,12806,7303,2910,3357,2901,2855,1965
갈현로29길,40250,18091,22159,12059,6287,6815,5928,5109,4051
갈현로33길,72888,33132,39756,21967,11905,9860,9691,10206,9260
갈현로3길,34317,16386,17931,2922,6072,6975,6131,6917,5300
갈현로41길,18084,8166,9918,1166,6060,2788,2511,3095,2463
갈현로4길,93219,43601,49618,10301,19334,18473,16701,15883,12527
강남대로107길,9464,5095,4369,421,2396,2333,1933,1361,1020
강남대로83길,17250,9271,7980,94,6922,4884,2638,1882,831
강남대로89길,70595,34797,35798,3469,26150,20160,9940,6162,4714
강남대로8길,177463,102681,74782,4656,34997,45670,38755,32367,21018
강동대로9길,19995,9360,10635,1491,3870,3939,3684,3694,3317
강서로17다길,61227,28780,32447,3144,11088,14332,10684,10734,11245
강서로18길,56172,25316,30855,2757,13294,14109,9713,7745,8554
강서로18다길,34179,16156,18023,2425,7679,7908,5609,5326,5232
강서로39길,35385,16810,18575,2242,7959,7138,5580,6456,6009
강서로45길,86432,40861,45571,20866,13855,14466,15401,11921,9922
강서로47가길,38477,14972,23506,14521,4304,4934,6563,5171,2984
강서로47길,54628,22208,32420,18068,7502,7892,9757,6957,4453
강서로48길,26544,12994,13550,5466,4730,4914,4942,3960,2531
강서로74길,5239,2566,2673,287,1893,1235,730,676,418
강서로8길,138166,70366,67800,8025,26138,31831,26144,25268,20760
개봉로2길,33201,16432,16769,2457,4715,7056,6286,6303,6384
개봉로3길,65969,32669,33300,5196,9913,13934,12923,12681,11324
개포로109길,1595,913,683,86,169,301,353,400,286
개포로82길,15729,7212,8516,2926,2071,2118,2848,3152,2614
거북골로16길,19664,9299,10365,1535,3225,4003,3573,3914,3413
거북골로20길,90468,45544,44924,8696,15377,16212,17438,17359,15386
경기대로9길,62629,33252,29377,10636,19086,9788,9659,7681,5780
경인로22길,43618,22246,21372,2163,11350,9787,6475,7356,6487
경인로35길,40264,19671,20594,3455,6515,7037,6437,9765,7056
경인로40길,16173,7898,8276,1245,3338,3257,2722,2930,2681
경인로47길,94934,57858,37075,21967,36201,10155,10766,8951,6894
경인로47다길,14440,7748,6692,2346,3388,2032,2083,2454,2138
경인로59길,36369,16718,19651,2547,6476,8586,7332,6126,5303
경희대로1길,47001,21936,25065,6954,26655,4934,3488,2985,1986
경희대로3길,28147,12624,15523,2893,11701,3853,3416,3234,3049
경희대로4길,140841,64724,76117,21749,80692,13878,9766,8415,6340
경희대로6길,313908,135231,178677,62844,159814,29863,23097,20090,18201
고덕로10길,24019,12446,11573,1440,4079,5614,4764,4737,3385
고산자로14길,72709,33207,39502,3726,25311,15384,11426,10593,6268
고산자로16길,15441,7819,7622,697,5525,3023,2345,2415,1437
고산자로2길,2498,1160,1338,118,531,702,593,270,283
고산자로31길,14275,6824,7450,1359,4368,2761,2024,1972,1792
고산자로6길,34333,17474,16858,2579,7374,7821,6184,5125,5250
고산자로8나길,152458,81419,71039,15476,52192,26562,20484,19421,18323
고척로21나길,10120,4764,5357,1292,1564,1831,1654,1969,1810
고척로27길,74358,37563,36794,5967,13348,13287,14240,16539,10977
고척로33길,32341,16856,15485,2497,6237,5575,6023,7593,4416
고척로52길,36192,17774,18418,1882,7014,7249,6128,7017,6902
곰달래로31가길,35703,16165,19537,2549,6590,8355,6549,5755,5904
곰달래로31길,183190,85045,98145,12300,45217,42706,30428,25923,26617
곰달래로35길,36593,15996,20597,1360,7662,11000,6986,4565,5020
곰달래로60길,29533,15279,14254,1995,6478,6140,5523,5331,4067
공릉로12가길,16738,8621,8117,1172,3792,2907,3934,2964,1968
공릉로12길,35561,18328,17233,1117,5953,6585,7164,8320,6422
공릉로2길,38628,18669,19959,3556,6889,8233,6472,6820,6658
공릉로34길,61908,32802,29106,6557,22432,9550,8757,8616,5996
공릉로58가길,19856,10641,9214,2452,4513,3082,3653,3625,2530
공릉로59나길,54180,28640,25540,10513,16158,6337,7242,7854,6076
공릉로65길,61413,32588,28825,12264,18845,6793,7904,8742,6865
공항대로41길,49182,24174,25008,4378,9112,9641,8897,9318,7837
공항대로42길,10773,5677,5097,837,1516,2349,2667,1984,1420
공항대로45길,57778,30857,26921,1637,15061,14370,10705,9136,6870
공항대로55길,17864,8688,9176,1036,4982,4713,2855,2681,1599
공항대로61길,68380,34952,33428,2504,16400,17165,12521,11592,8198
공항대로7길,41985,22986,18999,4343,8745,7800,7264,7838,5995
관악로11길,70455,35245,35210,3993,32184,11722,7809,8420,6328
관악로14길,86112,44340,41772,6823,41483,15389,8923,7517,5976
관악로24길,33661,15770,17891,2084,7202,6457,5483,6101,6333
관악로28길,50028,23817,26211,3502,10493,10052,8308,8777,8896
관천로11길,82873,43238,39635,1887,29863,18260,10727,13125,9011
광나루로11길,80482,43806,36676,2410,26864,17623,13985,11784,7815
광나루로12길,37485,19547,17938,2158,19307,6399,4940,3192,1488
광나루로56길,1610,717,893,164,296,220,408,295,228
광성로4길,12032,6681,5350,1482,6161,1476,1289,993,630
광운로2길,17262,11439,5824,2948,7652,2071,1321,1703,1567
광운로3길,112173,75135,37038,31838,51603,9291,8283,6802,4356
광평로19길,1316,599,717,95,163,266,266,248,277
구로동로28길,74822,37817,37005,631,14246,14139,14509,16564,14734
구로동로29길,69471,35172,34299,227,11247,13758,13928,16885,13426
구로동로35길,29758,16178,13580,402,5497,6342,6121,6472,4926
구로동로42길,25851,13117,12734,843,4743,5498,5738,5161,3869
구로중앙로19길,31531,18653,12879,11,6080,7144,7963,6734,3599
구로중앙로28길,80568,41722,38847,2456,16000,16757,14650,17114,13592
구로중앙로7길,20983,11220,9764,700,3724,4231,4143,4542,3644
구로중앙로8길,50208,25831,24377,1071,9048,9697,9966,11595,8832
구일로10길,12577,6378,6199,2042,2307,2905,2341,1886,1097
국제금융로7길,10890,5400,5490,2947,1364,1941,1826,1481,1331
국회단지길,94928,49079,45849,4833,22105,19394,16854,16800,14942
금낭화로23길,3442,1708,1734,248,610,735,666,609,574
금하로24길,18644,8799,9845,3382,3080,3113,3272,3222,2575
금호로1길,18421,8907,9514,1089,2648,4043,3415,3486,3740
금호산2길,70243,34693,35551,3823,12040,14245,12574,13657,13904
길음로13길,14569,5988,8581,2194,1669,3287,3768,1535,2115
