상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
길음로7길,34234,15429,18805,3223,6896,6556,5906,5456,6197
까치산로10길,17149,7212,9937,1762,2914,4669,3543,2316,1944
낙성대역10길,30859,14855,16005,1407,12467,6958,3896,2659,3473
낙성대역3길,68119,34212,33907,5505,29479,14011,7622,6500,5002
난계로29길,150506,84383,66123,7262,32784,25656,24250,30537,30017
난계로30길,15078,8012,7066,786,3671,3158,2600,2340,2523
난곡로26길,20805,12102,8703,2910,6021,3008,3663,3089,2115
난곡로30길,22052,11550,10502,1986,5394,4335,3586,4400,2351
난곡로34길,68699,36038,32661,8153,14351,11733,11201,13599,9662
난곡로35길,69212,36012,33200,7203,15069,12597,11354,13834,9155
난곡로63길,24463,12514,11949,1134,6573,4527,3762,4931,3537
난곡로66길,60525,31972,28553,3469,19594,11750,8887,9455,7370
난곡로78길,65030,33475,31555,1271,21434,15404,10768,8953,7201
난우길,90434,45986,44448,10958,17276,15150,16110,17511,13429
난향2길,8055,4071,3983,597,1262,1363,1824,1622,1387
난향길,11272,5572,5700,770,1644,1901,2653,2330,1974
남부순환로124길,19795,10327,9468,260,4311,4386,3660,4214,2963
남부순환로144길,35647,17240,18407,2326,11111,6907,5829,5185,4290
남부순환로145길,24382,13146,11236,980,7577,4679,3790,4072,3284
남부순환로151길,54627,27648,26979,2455,16555,10784,8179,9332,7322
남부순환로153길,38222,18768,19454,1426,11115,7763,5733,6861,5324
남부순환로159길,27389,13254,14135,595,8929,6134,3731,4687,3312
남부순환로170길,80542,41026,39517,3085,29319,17758,10420,11213,8747
남부순환로191길,83270,41954,41316,4808,38724,16407,8497,8193,6641
남부순환로208길,104087,51419,52668,5992,32375,17504,14799,16357,17060
남부순환로230길,167861,86630,81230,14384,80023,29209,17541,14965,11738
남부순환로234길,41971,21205,20766,2650,20483,7757,4400,3516,3165
남부순환로248길,55281,25977,29304,5385,16631,11067,7769,7713,6715
남부순환로272길,116191,61306,54885,4586,35488,23981,16761,18559,16817
남부순환로317길,35004,17908,17096,2964,9352,8126,6695,4676,3192
남부순환로323길,46283,24085,22198,1726,10799,11937,9733,7086,5003
남부순환로333길,17661,10592,7068,309,3816,4685,4018,2765,2068
남부순환로337가길,23293,12866,10426,691,4909,5680,5130,3451,3432
남부순환로350길,66641,35172,31469,2334,15771,15180,11623,10313,11421
남부순환로356길,68902,39607,29295,1949,15718,16081,12480,10839,11836
남부순환로40길,37765,21532,16233,2251,7897,6157,6642,8134,6684
남부순환로59길,19367,9487,9880,478,3307,3633,3782,3887,4281
남부순환로70길,20796,11527,9269,1733,3583,3619,3745,4135,3980
남부순환로95길,19130,9511,9619,1666,3984,3622,3388,3046,3424
남부순환로97길,15082,7575,7508,1025,3069,3269,2738,2513,2468
남현2길,53922,27143,26779,2716,17105,12206,7402,7509,6984
남현3길,81787,41795,39992,3744,25171,16894,11499,12568,11913
남현4길,33089,16962,16127,1795,10219,7129,4917,4817,4212
남현길,55541,28075,27465,2835,16679,12182,8079,8164,7602
노량진로6길,66071,36856,29216,2923,23990,12151,9323,9527,8158
노량진로8길,97052,54155,42898,16070,40426,14688,9578,9656,6635
노원로1길,31238,13564,17675,7126,6463,4341,5812,4197,3300
노해로17길,25761,12415,13346,745,7929,4134,3764,4565,4623
노해로35길,19357,7926,11430,2196,5372,2705,3219,3296,2569
노해로41길,31241,14222,17019,3110,6476,5805,5832,5042,4975
노해로65길,10588,5201,5387,806,3060,2314,1690,1611,1106
노해로70길,189,114,75,5,30,28,34,60,33
노해로8가길,44293,23470,20823,3202,17658,7864,6105,5471,3994
녹사평대로26길,32575,16509,16066,1449,13604,7968,3993,3291,2270
녹사평대로40길,41876,20028,21848,1096,21368,10333,4477,2758,1845
녹사평대로46가길,32249,15651,16599,1002,13034,8662,4363,2805,2382
녹사평대로46길,33823,16328,17495,1461,12733,9454,4845,2761,2568
논현로5길,17647,9817,7830,354,3867,4679,4076,2539,2133
논현로8길,40078,19976,20102,5727,5864,6813,7735,7563,6377
능동로19길,74368,39688,34680,8861,41171,9019,5709,5810,3797
능동로4길,25329,12679,12649,1788,4832,5738,4557,4223,4192
다동길,13324,8046,5279,47,3190,4235,3248,1837,768
다산로14길,56228,26195,30032,3605,11976,12401,9965,9258,9022
다산로33길,79432,41710,37722,4057,21109,16532,15736,14206,7791
다산로36길,80257,41372,38885,2500,20861,19504,15590,13573,8228
다산로42나길,21929,11737,10192,836,5207,5023,3990,4356,2517
다산로44길,49730,25037,24693,3501,11925,9404,7838,9251,7812
다산로8길,37561,19313,18248,2446,8958,7430,6252,6219,6256
답십리로30길,15177,8099,7077,647,3366,4088,3240,2404,1433
답십리로56길,31170,15363,15807,504,5889,6039,6441,7030,5267
답십리로65길,57554,29682,27873,2646,11255,12310,11366,11264,8713
답십리로66길,63594,34333,29261,1188,13529,15018,13058,12037,8764
답십리로68길,61582,31395,30187,1262,14289,15459,12631,10616,7324
답십리로72길,31073,16233,14839,2131,7137,6846,6037,4794,4127
당곡길,52688,26304,26384,4098,12359,11935,9545,7070,7681
당산로10길,11523,6147,5376,105,2572,3017,1866,2382,1581
당산로16길,23021,12582,10439,485,5338,5863,3739,4323,3273
당산로18길,24081,13214,10867,800,5730,5878,3988,4231,3454
당산로28길,10690,6619,4071,337,2305,2100,1560,2464,1924
당산로31길,42559,22290,20268,679,9501,10343,8502,7309,6225
당산로37길,20454,10189,10265,869,4892,5979,3255,3093,2365
당산로38길,67590,34133,33457,2734,16195,18930,10938,10640,8153
당산로44길,7716,3790,3926,563,2288,1971,1284,1009,602
당산로48길,49192,27730,21462,1160,15052,11293,7607,7690,6389
당산로52길,54548,29878,24671,953,16515,12352,8307,8943,7478
대림로22길,28644,14216,14428,75,5211,5273,5852,7084,5148
대림로29길,108286,58434,49853,474,19207,22926,21583,26531,17565
대림로34길,56477,31056,25421,3772,8148,9731,12127,13560,9139
대림로44길,61761,30923,30838,1772,11134,12323,12656,13702,10175
대사관로30가길,47200,23237,23963,175,12024,14423,10242,5822,4515
대사관로31길,27788,14033,13755,200,7732,7175,5267,3864,3550
대사관로34길,24769,12647,12122,307,7125,7480,4537,2939,2381
대학5길,54519,32487,22032,4297,28313,9479,4700,4348,3382
대학길,142490,90988,51502,12118,73644,24631,13694,10929,7473
대흥로21길,154368,63832,90536,15067,77110,19693,15307,12338,14853
덕릉로122길,28283,14862,13421,1525,4853,4079,5043,6489,6294
덕릉로24길,37496,18829,18667,2370,11243,5790,6431,6144,5517
덕릉로28길,83223,40176,43047,5303,24377,13117,12879,14970,12579
덕릉로30길,71336,35031,36305,4485,20123,11471,11190,13826,10241
덕릉로42길,6213,2179,4034,394,2642,671,808,786,911
덕릉로54길,16271,8299,7972,799,2539,2222,4030,4327,2355
덕릉로59아길,6928,3385,3542,172,1203,1547,1447,1469,1089
덕릉로63가길,22566,11371,11195,1500,4641,4338,4150,4493,3443
덕릉로73길,6270,2433,3837,960,735,517,1571,1284,1203
덕릉로83길,21354,11900,9454,1360,2886,3180,4742,5313,3874
도곡로77길,36526,17630,18897,9791,6209,4856,8097,4586,2988
도당로15길,100426,51931,48495,4435,16409,16927,20068,22714,19872
도림로108나길,53279,28111,25168,3728,10462,9730,10372,11468,7519
도림로113길,51366,26945,24421,850,14020,11690,8925,8952,6929
도림로12길,67232,35026,32207,1547,10671,17663,14726,11114,11511
도림로147길,79519,46439,33080,1723,14437,19227,16719,14698,12715
도림로31길,102886,54857,48030,3242,18506,22049,20191,23143,15757
도림로38길,57460,30424,27036,411,9386,11940,11655,14172,9895
도림로41길,36196,19513,16683,249,6955,7307,7743,8974,4968
도림로53길,18453,9682,8770,637,2565,3833,3654,4791,2973
도봉로109길,69063,34820,34242,4090,16891,13137,11327,12796,10822
도봉로10다길,64217,28769,35448,6180,17426,11558,9920,10506,8626
도봉로10라길,45548,20330,25218,4147,11289,7868,7543,8160,6542
도봉로110길,104544,49351,55193,7056,23797,19198,17965,19578,16949
도봉로113길,60541,30832,29709,3741,13203,11351,10638,11901,9707
도봉로114길,103629,43918,59711,12621,22928,15564,15260,18881,18376
도봉로13가길,24349,11623,12726,2919,6671,4029,3721,3836,3172
도봉로13길,83217,41031,42186,16222,13402,12560,14306,14290,12436
도봉로150길,8670,4321,4349,532,1676,1712,1750,1691,1309
도봉로152길,12727,6684,6042,560,2949,2156,2374,2538,2151
도봉로153길,64725,33036,31690,2003,14811,10977,12175,13161,11599
도봉로156길,28285,15132,13154,199,4449,5136,5372,6633,6498
도봉로165길,5598,3704,1894,48,601,738,1096,1789,1327
도봉로169나길,19817,11684,8133,221,2823,3237,3571,5426,4539
도봉로18길,53483,24953,28530,4264,10111,9539,9102,11478,8989
도봉로20가길,41576,19878,21698,2375,8602,7983,7061,8721,6834
도봉로28길,25218,12957,12260,1292,4764,4603,4491,5959,4109
도봉로29길,57430,25868,31562,5667,9612,9956,10967,11906,9323
도봉로30길,11400,6254,5146,462,1805,1983,2412,2983,1755
도봉로35길,72727,31519,41208,8925,13255,13078,12572,13559,11337
도봉로38길,84808,35185,49623,7941,15114,16574,15756,16298,13125
도봉로46길,72224,27175,45049,5277,16137,15089,13341,12761,9620
도봉로53길,156777,79672,77104,18262,32578,21896,25435,30550,28055
도봉로57길,55628,30438,25189,9613,10458,7425,8285,10177,9670
도봉로73길,29332,14457,14874,1794,8654,4489,5065,5031,4298
도봉로78길,240187,112429,127759,17587,63469,37192,37193,45553,39193
도봉로81길,78664,38674,39990,4250,22760,12698,12724,13571,12660
도봉로87길,17876,9592,8284,1398,7825,3240,2307,1901,1204
도봉로8길,26072,11794,14279,2631,7305,4576,4045,4028,3487
도봉산3길,47599,24703,22896,3509,6934,6170,8525,11670,10792
도신로15길,21248,11104,10144,788,5224,4720,3581,3885,3051
도신로19길,33312,17632,15680,1654,7657,6439,5511,6720,5332
도신로29길,44305,23085,21220,3655,7812,8454,9236,8776,6372
도영로7길,22632,12015,10618,149,5664,6405,3922,3789,2704
도화2길,20890,10128,10763,860,4648,5186,4156,3376,2664
도화4길,41211,22102,19109,1261,10867,11017,7901,6195,3971
도화길,69042,38756,30286,2307,19332,18953,13201,9760,5489
독립문로8길,76835,39884,36952,10226,23458,12480,11980,10401,8291
독막로19길,63738,31914,31823,13033,37279,6331,3632,2201,1262
독막로22길,35882,17500,18382,3057,9423,7603,7048,4582,4169
독막로32길,10086,4735,5351,826,2871,2429,1522,1216,1223
독막로8길,36987,19051,17936,1718,17161,9613,4012,3045,1439
독산로107길,23614,12380,11235,357,4829,5112,4392,5253,3672
독산로108길,36070,17927,18143,1321,7615,5958,6001,8724,6450
독산로10길,28887,15084,13803,1168,5757,4761,5967,6183,5051
독산로22길,42270,22624,19646,1287,7503,7771,9025,9588,7096
독산로28길,7267,3661,3606,78,780,1629,1150,2396,1235
독산로32길,6375,3198,3177,43,634,1407,1006,2176,1108
독산로35길,29279,14841,14438,1191,5313,5621,5327,6852,4974
독산로36길,32491,16233,16259,2347,6027,6461,5448,6569,5640
독산로38길,16999,8447,8552,1259,3501,3158,2763,3436,2882
독산로39길,26932,13706,13226,1342,4876,5251,4577,6328,4558
독산로40길,47570,23927,23643,2868,8887,10134,8027,9461,8193
독산로44길,26360,13081,13279,1441,4742,5422,4451,5365,4938
독산로64길,28788,15076,13712,959,6109,5685,5635,6123,4278
독산로70길,30332,15659,14673,624,5220,5574,5898,7012,6005
독산로74길,10437,5514,4923,227,2097,1917,1852,2577,1765
독산로80길,72884,38599,34286,2827,12148,13373,13595,17530,13411
독산로85길,9463,4772,4692,120,995,2261,2152,2370,1565
독산로87길,12514,6227,6287,154,1188,2438,2760,3553,2421
독서당로51길,21678,9967,11711,1035,2856,5964,4397,3762,3664
돈화문로4길,36584,22139,14445,962,9078,6001,6036,6347,8160
돌곶이로22나길,37742,19351,18391,1702,8846,5536,7138,8475,6045
돌곶이로23길,9698,5220,4478,21,2242,1311,1872,2862,1390
돌곶이로25길,30881,15213,15668,1409,7401,5059,5873,6645,4494
돌곶이로27길,44139,22575,21564,3207,7190,6858,9106,9773,8004
동광로12가길,99146,48949,50197,6247,27587,20034,16109,14980,14188
동광로1길,68550,36366,32184,5604,14894,13634,15301,11356,7761
동광로3길,49334,26581,22752,5377,10905,8909,10722,8189,5231
동교로18길,32365,16559,15806,903,11246,9243,5867,3142,1965
동교로38길,13557,5811,7746,319,7245,3685,1295,581,431
동교로39길,13200,6774,6427,126,6196,4145,1378,589,765
동교로46길,44571,19481,25091,1772,22924,10289,4340,3000,2247
동교로9길,155753,73155,82598,7569,49418,41408,25936,17140,14283
동남로81길,18952,9330,9622,3015,2685,3344,3848,3356,2703
동남로8길,90639,46032,44607,8232,19894,19232,15137,16417,11726
동산로12길,14577,8026,6551,1298,2705,3663,3194,2229,1489
동산로13길,6098,3501,2597,271,1309,1765,1270,849,635
동산로19길,35650,21183,14467,611,8340,10270,7439,4994,3995
동산로2길,15905,9373,6532,410,3295,4020,3437,2974,1769
동산로6길,30200,17169,13031,1998,5727,7661,6485,5006,3324
동소문로13가길,54896,25462,29434,7525,14193,8940,9114,8081,7043
동소문로13길,57865,26431,31434,8416,14381,9104,9823,9037,7104
동소문로13나길,54702,23977,30725,7032,17323,8760,8482,7298,5808
동소문로23길,69717,31810,37907,9887,33394,10225,7663,5541,3007
동소문로2길,62130,30284,31845,5189,18817,11288,10121,8510,8205
동소문로5길,16030,7175,8855,2019,4564,2917,2480,2120,1929
동소문로6길,52882,25364,27518,4040,16241,9862,8617,7234,6888
동숭4나길,52025,24550,27475,4254,18220,10704,7073,6705,5068
동숭길,66274,27926,38348,4487,28040,14019,8686,6598,4444
동일로101길,65777,32410,33367,5122,11032,12081,12677,13227,11638
동일로109길,87920,45144,42776,3529,16735,17331,18354,18039,13932
동일로123길,43087,22377,20710,2375,5776,8145,6515,11621,8655
동일로149길,54728,30112,24617,2549,10225,9502,10497,13021,8934
동일로151길,58551,29666,28886,3051,12824,11243,10567,11638,9227
동일로157길,120847,60999,59848,9824,30394,23415,20079,20205,16931
동일로173가길,85689,44382,41308,5358,18750,17877,15308,16188,12207
동일로178길,91776,44136,47640,3708,27784,16229,14274,16829,12953
동일로183길,40761,20656,20105,2534,7774,8780,8060,7826,5786
동일로184길,66443,35368,31076,4148,22636,12170,8289,10379,8821
동일로186길,66415,36558,29857,5495,27950,9955,6782,8700,7534
동일로192길,117114,62709,54405,13108,46979,16545,15248,14645,10589
동일로193길,84658,44991,39667,6317,20955,16919,15522,14468,10477
동일로195길,109963,55726,54237,7736,23103,21868,20726,19246,17284
동일로203가길,6282,2905,3376,884,1028,1221,1491,983,675
동일로207길,6512,3016,3497,512,1311,1294,1429,1055,912
동일로208길,5460,2569,2891,212,1206,1153,1160,838,890
동일로217길,26021,12231,13790,2525,6395,4162,4881,4709,3350
동일로231길,15379,7128,8251,1144,2763,3538,2709,2729,2496
동일로239길,29239,14916,14322,1842,4650,4831,6521,6240,5154
동일로241가길,16762,8669,8093,1274,2682,2788,3371,3545,3103
동일로242가길,57152,30230,26922,3531,11946,10263,10253,12572,8587
동일로242길,49266,24730,24536,3459,7736,7850,9657,11631,8933
동일로242다길,15074,7748,7326,1114,2810,2621,2814,3349,2365
동일로243길,23287,11773,11514,1923,3912,3958,4242,4631,4622
동일로72길,18091,9031,9061,923,3777,3484,3595,3877,2436
동일로99길,48336,23927,24409,4010,8066,8654,9635,9504,8467
동작대로7길,76064,40891,35173,3005,24556,15531,9433,12578,10961
동호로11길,116035,60451,55584,9299,29667,23104,18943,17866,17156
동호로14길,128333,65460,62873,7780,37394,27572,21551,18385,15650
동호로15길,60088,31566,28522,3731,17390,12942,10101,8366,7559
동호로25길,95418,48155,47263,20494,49167,9124,6974,5970,3689
두산로13길,2669,1626,1043,1,871,760,443,447,147
두산로5길,18797,11020,7777,55,5217,5038,2964,3702,1822
두텁바위로15길,16042,9677,6365,2631,3374,3484,2622,2200,1730
두텁바위로58길,10490,4761,5730,684,2945,2427,1938,1694,803
둘레15길,24311,13285,11027,875,5184,4922,3962,5950,3418
둘레길,59562,34058,25504,1743,12180,11987,9674,14586,9392
등촌로39길,49330,27487,21843,7629,8804,9211,7775,9276,6635
등촌로55길,18711,9574,9137,144,5002,4871,3775,3109,1810
등촌로5가길,26004,12941,13063,987,6410,6477,5307,3531,3292
디지털로27길,185526,106429,79096,2137,26049,40930,42712,42034,31663
디지털로32길,218393,126283,92111,3922,74314,61685,35604,25677,17191
디지털로32나길,95950,56204,39746,1757,33367,25322,14609,11677,9217
디지털로38길,57547,31698,25849,323,17948,14033,10060,8591,6592
디지털로54길,26043,13092,12951,82,4955,5427,5546,5830,4204
디지털로57길,57557,28821,28736,585,9886,11303,12497,14133,9152
뚝섬로27길,188996,88201,100795,6086,65924,34613,27673,32689,22011
뚝섬로56길,26694,12487,14208,3318,4595,5826,5099,4296,3560
마른내로12길,34226,19554,14672,1320,9584,7608,6288,5278,4147
마방로4길,77587,43767,33819,7354,15753,20115,15742,10760,7862
마장로35길,10645,5943,4702,273,2093,2463,2187,2179,1450
마장로35나길,9757,5322,4434,269,2608,1794,1852,1822,1412
마장로9길,63421,33671,29751,2912,12665,15537,10723,12285,9299
마천로51길,60046,29165,30882,2689,8850,10051,12089,13987,12380
마천로57길,14171,7993,6178,571,1526,1869,2956,3255,3995
마천로7길,11843,5267,6576,1143,1239,2007,2066,2719,2669
마포대로12길,12230,7086,5144,342,2202,3205,2880,2312,1288
마포대로14길,51498,28343,23156,1681,11434,11936,10817,9164,6465
마포대로16길,46024,24573,21451,2294,11492,12402,8371,7194,4272
마포대로4길,62286,32577,29710,2239,14065,16158,12964,9779,7082
만리재로35길,32337,17893,14444,1415,6093,7578,6754,6217,4279
만리재옛길,156899,79117,77782,7669,35437,37255,29839,28400,18299
망우로10길,53103,28429,24675,6638,27704,6477,4752,4192,3341
망우로16길,129327,70078,59249,18534,57719,14154,12339,14068,12515
망우로18다길,42798,23548,19251,9330,22725,3484,2660,2777,1822
망우로32길,39627,19563,20064,2362,11090,7205,6560,6790,5620
매봉길,22591,10154,12437,789,4167,5997,4504,3243,3891
면목로27길,54465,26933,27532,4167,9666,10942,9806,11914,7970
면목로33길,178748,86473,92275,15365,30712,35251,31886,38242,27293
면목로35길,20247,9794,10453,325,3850,3924,3938,4230,3980
면목로48길,94845,50465,44379,6889,26277,17066,14463,16896,13253
면목로54길,76954,40161,36793,5245,19855,14314,12398,14428,10715
면목로74길,36805,17870,18935,2338,7311,7300,6494,7413,5948
면목로91길,66119,33563,32556,1900,16237,13889,9952,13407,10732
면목로92길,87998,45862,42135,2688,22481,18157,13493,18016,13165
면목천로23길,10639,5631,5008,604,2043,2319,1718,2161,1794
명동길,72547,32421,40125,2620,23553,16136,12472,9275,8491
명륜길,200669,89640,111029,39248,120813,13625,10273,10231,6479
명지대길,69366,33730,35636,21665,28101,5676,5552,5004,3368
목동남로4길,16602,9354,7248,1427,2971,2421,3142,3652,2989
목동중앙남로10길,12285,6303,5982,2168,2111,1876,2411,2370,1350
목동중앙남로13길,19273,10983,8290,4445,3001,3167,3077,3121,2462
목동중앙남로4길,6824,3425,3399,1437,1141,971,1389,1376,510
목동중앙본로7길,19792,10221,9571,1979,3814,3175,3887,3970,2968
목동중앙북로7길,20290,10202,10087,1610,4414,4774,3238,3528,2726
목동중앙서로7길,65282,33108,32174,8008,11978,12493,13410,11395,7999
무수막길,171907,82591,89317,13701,27298,38703,31603,29776,30827
무학로14길,22614,12352,10262,1061,4758,5035,4436,4707,2616
무학로27길,29178,17157,12022,1360,6743,6747,5530,5238,3561
무학로30길,96255,52213,44042,4744,26462,18217,16418,15734,14680
무학로43길,29201,18539,10661,4669,13309,3974,2704,2682,1862
무학봉15길,28459,13319,15140,2082,7781,5495,4310,4883,3907
무학봉길,28545,14059,14486,2118,7609,5383,4393,5143,3898
문성로30길,37365,17927,19438,3476,12256,7460,4779,4780,4615
미성길,19409,9841,9568,557,4855,4549,3056,3607,2785
바람드리길,87097,42933,44163,4174,16404,17220,15077,18314,15907
바우뫼로37길,23494,14151,9343,97,5791,7491,4958,3025,2132
바우뫼로39길,173449,96746,76703,4983,40683,41545,31219,26644,28374
