상권코드명,유사업종점포수,평균영업개월수,당월매출금액,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액
이태원로27길,2,1,12456436,38.8,61.2,33.1,33.1,5.6,11.2,16.9,0,2201980,8178218,3513861,4783168,99010,475248,1508911,0
이태원로36길,5,150,117237958,60.5,39.5,1,47.6,32.7,10.9,5.5,2.2,55486902,45390252,709937,41834119,35484089,13254807,6769109,2825095
이태원로42길,15,83.75,432849890,38,62,1,55.2,30.4,7.9,4.3,1.3,147036266,243882787,4410733,206620238,117830905,41014614,16352509,4690055
이화장길,12,287,107793680,33.9,66.1,2.8,37.1,30.4,18.7,8.9,2.1,30374477,56917302,2177942,29230229,28931661,16661917,8087861,2202172
인수봉로55길,3,14,2314356,36.4,63.6,0,4.6,77.1,15.3,3.1,0,853960,1311881,0,89109,1579208,376238,121287,0
인수봉로56길,4,43,28511869,39.3,60.7,4.9,34,28.2,16.7,10.6,5.5,11278117,17233752,1181402,8760389,7698386,5445920,3569398,1856374
인수봉로67길,1,2,8738922,27.3,72.7,0.9,31.6,25.8,24.9,15.4,1.4,2503161,6235761,116020,2548073,2204379,2214983,1523229,132238
인수봉로68길,2,22004,52952893,41,59,2.9,32.2,29.8,19.4,10.7,4.9,21479995,28045261,1151048,13864447,14592312,10354398,6252928,3310124
인수봉로77길,1,34,3870286,33,67,1.4,13.5,29.6,39.8,10,5.6,1149377,2440621,51734,412155,997946,1523711,377218,227236
인수봉로78길,1,15,356886,46.2,53.8,0,23.1,30.8,23.1,23.1,0,142515,214371,0,48503,104192,110778,93413,0
인수봉로79길,5,79,13262016,39.7,60.3,1.5,20.5,28.1,29.7,14.8,5.4,5201986,7049792,204552,2427655,3131220,3742318,1983706,762329
인촌로17가길,1,20,1153461,22.7,77.3,0,48.4,32,9.4,10.2,0,194885,958576,0,650719,344134,57046,101562,0
인촌로1길,9,161,63631988,39.2,60.8,1.2,27.7,28.6,21,17.1,4.4,22705483,32756000,734548,14753628,14552214,11721290,10765992,2933817
인촌로24가길,5,242,116412730,56.9,43.1,3.9,66.6,14.5,6.3,6.9,1.7,55696248,53536874,4069743,72868700,15263144,7045425,7813935,2172176
인촌로24길,13,344,244862722,54.1,45.9,6.7,64.2,14.6,6.2,7,1.4,116810429,112366951,14825697,144129583,35191849,15214030,16349930,3466294
인촌로27길,24,357,357138654,46.4,53.6,9.2,61.5,11.3,7,9.2,1.7,143083077,160459423,27200114,170974804,41559653,26121383,29611134,8075418
인촌로28길,1,60,11744636,49.1,50.9,1.6,49.3,26.3,8.1,11.8,3,3859171,5118583,183814,4382180,2292197,641878,1074003,403683
인촌로7다길,33,526.4,262789215,25,75,6.8,54.2,17.2,11,9.1,1.8,68689208,176040066,13605163,127280654,44573474,29366344,24580836,5322812
인헌3길,2,18,23653446,40.6,59.4,3.8,35.1,32.4,15.8,9.3,3.5,9786703,13866743,776596,7566365,7863850,4020588,2320811,1105236
인헌4길,1,12,4420313,58.9,41.1,1,25.2,33.9,25.9,10.8,3.3,1943877,2194754,37202,916591,1724915,844566,488845,126514
인헌6길,8,158,51404524,47.2,52.8,0.9,46.4,28.4,13.4,7.3,3.5,19597832,22858137,309882,19398444,12186965,5972785,3147285,1440610
인헌길,11,204,69659032,46.9,53.1,2.1,33.1,30.2,18.7,11.2,4.8,31637297,38021735,1268302,20768967,21414398,13351539,8640308,4215518
