상권코드명,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수
삼양로112길,296,147,149,48,42,43,51,46,66
삼양로139길,2356,1137,1219,288,246,275,389,363,795
삼양로144길,456,217,239,86,70,62,79,56,103
삼양로173길,1305,629,676,166,181,164,183,230,381
삼양로19길,1659,769,890,323,180,212,306,267,371
삼양로20길,2259,1137,1122,265,338,236,345,456,619
삼양로24길,1978,998,980,187,199,245,304,371,672
삼양로27길,623,289,334,118,63,91,120,98,133
삼양로32가길,247,120,127,27,31,28,37,48,76
삼양로38길,1688,859,829,206,226,207,268,309,472
삼양로73길,928,464,464,80,80,92,157,163,356
삼양로74길,1079,529,550,135,131,132,149,196,336
삼양로77가길,1597,798,799,214,202,219,240,282,440
삼양로8길,934,453,481,100,124,115,136,172,287
삼양로91길,929,449,480,129,129,103,144,151,273
삼양로93길,1061,522,539,166,133,129,164,189,280
삼양로99길,478,232,246,93,72,65,83,73,92
삼일대로32가길,897,501,396,79,128,160,166,157,207
삼일대로32길,1084,610,474,107,146,178,202,184,267
삼일대로4길,5,1,4,0,0,0,1,0,4
삼청로5길,354,164,190,45,43,47,43,64,112
상계로12길,1809,926,883,183,278,245,304,314,485
상계로37길,752,374,378,89,108,92,124,146,193
상계로9가길,1802,911,891,251,231,268,273,306,473
상도로15길,3070,1479,1591,256,675,707,415,402,615
상봉로11길,1471,724,747,201,190,207,219,282,372
상원10길,1147,603,544,118,206,213,191,205,214
상원길,1109,539,570,179,205,224,187,156,158
상일로5길,1443,733,710,247,235,192,219,288,262
새말로16길,2307,1137,1170,293,400,505,313,350,446
새창로33길,865,457,408,88,114,143,136,129,255
서강대길,1015,502,513,207,142,179,214,150,123
서강로11길,676,339,337,53,185,130,91,81,136
서강로20길,793,426,367,60,247,139,102,103,142
서달로14길,454,215,239,40,77,69,52,68,148
서달로15길,266,141,125,32,34,48,37,42,73
서래로5길,2189,1039,1150,402,309,364,400,340,374
서림3길,3334,2150,1184,197,1142,861,442,287,405
서순라길,206,108,98,17,22,27,36,31,73
서오릉로13길,4244,1974,2270,680,608,675,733,652,896
서오릉로21길,14813,7714,7099,2389,1831,2103,2527,2468,3495
서오릉로7길,955,466,489,138,121,169,152,144,231
서오릉로8길,2536,1227,1309,320,352,373,411,425,655
서운로11길,1058,534,524,164,160,208,204,152,170
서울숲2길,2352,1174,1178,287,385,383,376,399,522
서울시립대로27길,720,374,346,66,127,95,97,115,220
서울시립대로29길,1340,692,648,152,361,208,146,179,294
서울시립대로2길,1242,616,626,192,149,213,216,183,289
서울시립대로5길,548,301,247,44,70,55,84,99,196
서초대로19길,6020,2747,3273,1015,901,1123,1062,835,1084
서초대로1길,993,448,545,260,116,136,211,137,133
서초대로23길,4468,2091,2377,705,645,882,749,638,849
서초대로25길,1115,529,586,178,176,222,168,159,212
서초대로26길,1437,670,767,198,244,351,214,173,257
서초대로33길,3893,1852,2041,725,549,630,645,619,725
서초대로34길,799,387,412,125,92,137,129,112,204
서초대로38길,1546,751,795,199,267,241,231,283,325
서초대로4길,1319,623,696,208,192,225,221,199,274
서초대로54길,1451,699,752,198,213,231,226,254,329
서초대로65길,870,423,447,248,96,89,216,125,96
서초중앙로31길,1166,576,590,266,149,143,238,184,186
서초중앙로33길,332,154,178,69,47,53,53,50,60
서해안로24길,653,307,346,72,66,85,109,145,176
석계로13길,1688,894,794,298,352,228,270,202,338
석계로18길,82,50,32,12,15,15,6,12,22
석계로7길,953,508,445,97,136,129,144,160,287
석촌호수로18길,6578,3124,3454,859,1104,1605,1012,896,1102
선릉로130길,991,487,504,262,123,113,234,130,129
선릉로6길,397,189,208,78,48,62,66,57,86
선유로33길,782,387,395,153,94,177,121,88,149
선유로43가길,169,85,84,36,24,11,34,19,45
선유로9나길,893,459,434,157,136,203,150,98,149
선유서로25길,1391,771,620,127,248,293,233,210,280
성균관로9길,310,144,166,30,79,44,40,39,78
성대로1길,375,210,165,35,65,79,50,67,79
성덕정11길,782,405,377,114,117,96,137,147,171
성덕정19길,1452,760,692,186,206,216,202,295,347
성덕정3길,990,514,476,135,166,125,160,187,217
성덕정길,6655,3496,3159,839,1029,939,1085,1326,1437
성미산로1길,2061,1004,1057,320,313,382,394,267,385
성미산로29길,973,468,505,85,144,140,164,157,283
성북로14가길,751,347,404,133,94,119,160,99,146
성북로15길,372,165,207,59,52,40,81,50,90
성북로18길,557,274,283,97,77,77,117,77,112
성북로31길,455,219,236,52,52,47,79,86,139
성북로8길,1263,607,656,181,202,199,223,199,259
성수이로7가길,467,257,210,34,140,111,54,64,64
성수일로1길,299,146,153,56,41,67,50,35,50
성수일로4길,1175,621,554,107,170,180,176,239,303
성안로3길,3655,1794,1861,573,527,694,657,529,675
성암로3길,902,449,453,114,153,158,145,129,203
성지3길,1322,625,697,125,243,295,185,178,296
성지길,1508,725,783,156,241,332,223,224,332
세검정로1길,1193,565,628,191,143,139,193,194,333
세검정로3길,1226,614,612,148,180,139,187,216,356
세무서7길,553,244,309,61,70,74,90,77,181
세무서길,2695,1277,1418,363,386,317,414,437,778
세종대로2가길,87,58,29,2,5,7,16,20,37
소공로3길,536,261,275,61,66,73,96,77,163
소공로6길,89,40,49,16,7,15,10,16,25
소월로20길,1296,652,644,143,181,208,197,218,349
소월로2길,375,196,179,42,50,67,55,71,90
소월로38가길,945,398,547,49,76,124,154,177,365
솔매로17길,1157,607,550,198,153,177,194,189,246
솔매로36길,2386,1145,1241,278,351,353,392,417,595
솔매로43길,3470,1669,1801,420,524,508,552,607,859
솔매로44길,4543,2181,2362,564,653,714,768,736,1108
솔매로46길,3710,1847,1863,453,486,548,587,650,986
솔매로50길,2010,969,1041,273,314,304,299,357,463
솔샘로18길,1197,588,609,163,179,169,171,188,327
솔샘로1길,514,276,238,36,112,40,83,83,160
솔샘로47길,1016,490,526,115,153,103,152,205,288
솔샘로48길,206,96,110,22,23,13,42,34,72
솔샘로4길,1300,640,660,176,206,196,170,196,356
솔샘로64길,1015,521,494,107,151,129,155,192,281
솔샘로65길,7159,3563,3596,934,1039,1052,1098,1320,1716
솔샘로67길,1406,732,674,139,198,219,211,266,373
솔샘로68길,419,206,213,34,63,50,57,86,129
송월길,3859,1810,2049,772,474,699,702,570,642
송파대로38길,749,358,391,115,112,154,118,109,141
수색로14길,466,246,220,41,63,49,62,99,152
수색로2길,9032,4357,4675,2115,1050,1444,1708,1223,1492
수유로23길,9702,4819,4883,1190,1472,1600,1497,1663,2280
수유로4길,2797,1383,1414,314,520,505,429,431,598
숭문16길,839,423,416,75,191,95,141,143,194
숭문길,2555,1235,1320,298,394,375,400,410,678
숭인동길,1091,545,546,134,139,143,181,171,323
승방길,2271,1094,1177,179,642,612,235,288,315
시흥대로102길,1120,596,524,114,182,220,137,223,244
시흥대로120길,1953,970,983,227,282,254,313,395,482
시흥대로122길,444,233,211,55,61,52,78,100,98
시흥대로128길,258,135,123,26,27,60,43,43,59
시흥대로136길,898,464,434,116,109,133,143,154,243
시흥대로138길,404,212,192,48,39,67,54,86,110
시흥대로141길,1138,625,513,89,231,197,168,225,228
시흥대로149길,790,450,340,68,137,158,104,169,154
시흥대로150길,2612,1338,1274,338,365,318,423,540,628
시흥대로151길,2222,1176,1046,188,426,430,308,429,441
시흥대로152길,1726,854,872,227,270,302,269,278,380
시흥대로153길,2763,1589,1174,151,680,769,388,375,400
시흥대로160길,599,329,270,51,159,141,85,70,93
시흥대로28길,5233,2606,2627,846,697,752,836,871,1231
시흥대로40마길,6146,3100,3046,816,838,739,984,1194,1575
시흥대로47길,1877,956,921,345,288,356,285,304,299
시흥대로50길,763,371,392,98,125,114,128,128,170
시흥대로68길,2215,1078,1137,270,346,317,320,406,556
시흥대로71길,110,54,56,5,16,15,17,18,39
시흥대로72길,3670,1839,1831,500,539,502,550,692,887
시흥대로88길,3110,1569,1541,442,446,472,464,568,718
시흥대로94길,5336,2680,2656,697,833,824,823,1051,1108
시흥대로96길,1257,662,595,158,193,178,214,253,261
시흥대로98길,1467,767,700,219,217,216,234,283,298
신길로23나길,289,151,138,44,42,26,46,56,75
신길로34길,103,59,44,3,17,16,14,23,30
신길로38길,907,478,429,88,152,106,151,142,268
신길로39길,1824,924,900,215,202,187,322,356,542
신길로40길,628,312,316,78,81,80,95,109,185
신길로41길,3456,1730,1726,448,488,402,602,627,889
신길로42가길,4783,2392,2391,573,626,565,780,926,1313
신길로60마길,1627,837,790,170,183,213,267,290,504
신길로8길,380,182,198,45,45,57,63,52,118
신내로17길,428,224,204,51,75,107,77,64,54
신대방1가길,1605,793,812,200,305,299,243,234,324
신도림로11길,2075,1078,997,310,281,288,324,336,536
신림동5가길,1623,783,840,78,676,458,152,107,152
신림동길,4152,2079,2073,186,1463,1143,511,354,495
신림로11길,3457,2025,1432,278,950,769,519,419,522
신림로14길,570,334,236,36,171,137,65,53,108
신림로17길,1962,1205,757,127,578,437,345,197,278
신림로23길,1494,920,574,92,405,340,253,174,230
신림로28길,2073,1151,922,188,485,460,295,268,377
신림로30길,1465,849,616,117,410,376,202,164,196
신림로32길,571,281,290,61,146,113,72,79,100
신림로38길,1416,738,678,130,339,290,204,177,276
신림로3가길,1517,881,636,154,450,280,201,158,274
신림로48길,1631,842,789,166,373,333,201,239,319
신림로58길,3084,1512,1572,246,799,669,403,340,627
신림로64길,1198,636,562,40,449,337,139,106,127
신림로65길,1711,800,911,76,671,475,169,150,170
신림로73길,7013,3513,3500,588,1749,1724,945,791,1216
신목로2길,1281,626,655,225,183,151,246,247,229
신목로4길,2189,1074,1115,424,270,272,402,361,460
신목로5길,2225,1114,1111,535,310,261,471,370,278
신반포로15길,786,366,420,139,62,74,186,111,214
신반포로45길,2531,1195,1336,307,416,552,437,332,487
신원로3길,4307,2151,2156,421,896,735,631,633,991
신원로4길,593,318,275,63,112,134,82,89,113
신월로15길,887,445,442,159,109,123,140,172,184
신월로16길,167,95,72,18,22,15,26,38,48
신이문로24길,456,232,224,55,61,55,85,72,128
신정중앙로23길,1366,617,749,159,204,274,199,182,348
신촌로12길,572,259,313,19,193,141,59,66,94
신촌로1길,2093,994,1099,189,629,479,269,216,311
신촌로24길,2113,984,1129,140,416,369,334,325,529
신촌로30길,1915,964,951,170,347,253,260,344,541
신촌로37안길,3131,1560,1571,278,505,451,476,595,826
신촌로3길,799,379,420,58,224,211,84,97,125
신촌로4길,553,244,309,62,123,112,84,68,104
신촌로9길,1686,808,878,117,653,322,155,155,284
신풍로8길,224,115,109,22,21,34,37,38,72
신흥로20길,1576,781,795,206,215,243,246,251,415
신흥안길,127,67,60,14,25,14,18,23,33
쑥고개로11길,854,411,443,106,168,146,122,118,194
아리랑로19길,1544,744,800,262,189,212,271,229,381
아리랑로5길,1121,565,556,201,139,161,208,161,251
아차산로51길,1835,877,958,231,374,399,265,278,288
아차산로70길,438,207,231,138,33,82,103,45,37
아차산로76길,347,167,180,37,67,73,45,59,66
아차산로7가길,268,149,119,25,49,68,34,47,45
아차산로7길,842,454,388,100,173,173,117,146,133
안암로5길,655,319,336,74,107,109,108,110,147
안암로6길,958,550,408,83,240,190,114,119,212
안암로9가길,883,513,370,77,311,165,98,108,124
안암로9나길,735,378,357,101,143,129,120,104,138
압구정로29길,968,459,509,226,92,126,212,94,218
압구정로4길,716,316,400,107,124,152,134,84,115
약령서길,902,451,451,87,189,144,105,128,249
양녕로1길,1082,544,538,104,220,217,160,135,246
양녕로2길,2656,1316,1340,268,579,533,346,354,576
양산로19길,774,380,394,58,174,179,103,90,170
양산로23길,462,217,245,36,86,105,44,79,112
양재대로103길,1979,1006,973,226,298,503,293,295,364
양재대로124길,3197,1600,1597,485,461,568,478,582,623
양재대로128길,1704,828,876,203,278,291,235,294,403
양재대로85길,4255,2160,2095,699,574,706,718,724,834
양재천로19길,215,108,107,15,37,61,23,36,43
양천로14길,3681,1803,1878,631,518,538,605,623,766
양천로49길,1121,584,537,154,218,231,144,164,210
양천로57길,1305,571,734,54,313,381,149,177,231
양천로69길,2001,978,1023,502,236,301,410,281,271
양평로17길,2116,1048,1068,338,333,424,347,298,376
양평로18길,2751,1401,1350,249,635,680,343,376,468
양평로19길,630,318,312,98,116,170,101,61,84
양평로20길,1761,927,834,168,345,404,223,256,365
양평로22길,958,470,488,85,233,255,118,112,155
양평로24길,1056,527,529,137,219,281,144,128,147
양화로19길,252,116,136,26,50,42,37,39,58
양화로23길,356,165,191,35,60,91,49,38,83
양화로7길,1198,527,671,125,206,270,202,152,243
어울마당로1길,378,168,210,36,81,102,52,52,55
언남11길,599,304,295,85,91,113,109,106,95
언주로108길,377,154,223,30,72,137,65,24,49
언주로125길,558,250,308,57,106,144,91,57,103
언주로30길,4798,2173,2625,906,702,618,777,884,911
여의대방로13길,433,207,226,34,107,108,61,64,59
여의대방로24가길,929,436,493,121,201,244,136,108,119
여의대방로36길,2944,1443,1501,481,528,410,566,427,532
여의대방로43가길,493,242,251,58,85,92,89,74,95
여의대방로55길,671,349,322,133,159,159,122,51,47
역말로9길,4859,2319,2540,688,645,746,821,798,1161
역삼로78길,1866,896,970,333,312,306,394,276,245
연남로5길,3805,1744,2061,412,823,907,567,420,676
연대동문길,989,444,545,102,336,184,110,87,170
연무장3길,593,325,268,90,78,101,89,112,123
연무장5가길,403,239,164,28,67,59,73,92,84
연무장길,3085,1609,1476,404,485,445,459,596,696
연서로13길,3284,1570,1714,524,491,504,568,543,654
연서로16길,3289,1551,1738,523,384,483,564,555,780
연서로17길,2215,1069,1146,323,318,333,380,385,476
연서로19길,3612,1728,1884,579,524,571,629,583,726
연서로20길,7196,3388,3808,1125,1003,1146,1293,1102,1527
연서로21길,4323,2051,2272,747,578,698,799,634,867
연서로27길,4390,2072,2318,633,611,688,784,701,973
연서로28길,3774,1772,2002,430,734,701,564,550,795
연서로34길,2513,1192,1321,346,349,369,385,430,634
연서로3길,4186,1973,2213,732,590,743,706,614,801
연서로5길,4570,2174,2396,801,630,764,808,693,874
연서로6길,5818,2790,3028,936,799,1010,1016,851,1206
연서로9길,6143,2929,3214,1107,832,995,1088,933,1188
연세로2길,348,129,219,24,108,78,47,34,57
연세로4길,355,167,188,25,129,52,43,45,61
연희로11가길,484,215,269,55,69,91,55,83,131
연희로15길,1850,858,992,256,299,282,287,270,456
연희로25길,987,452,535,171,166,179,161,134,176
연희로41가길,1679,813,866,234,231,196,276,281,461
연희로41길,2855,1382,1473,409,401,372,468,479,726
연희로8길,1946,1052,894,161,754,353,192,182,304
영등포로13길,855,444,411,57,96,106,120,180,296
영등포로18길,197,99,98,14,22,43,23,38,57
영등포로25길,2026,1044,982,197,342,406,267,329,485
영등포로27길,1580,879,701,135,249,358,225,239,374
영등포로5길,838,461,377,97,103,122,132,159,225
영등포로62길,1094,583,511,119,195,243,168,155,214
영등포로64길,3014,1474,1540,515,436,480,480,492,611
영등포로72길,1834,933,901,193,285,282,291,304,479
영등포로80길,5872,2928,2944,588,911,914,881,1027,1551
영등포로84길,2333,1194,1139,210,443,398,362,404,516
영신로17길,408,220,188,28,83,75,57,67,98
영신로19길,285,167,118,11,57,54,46,48,69
영신로57길,624,292,332,88,169,119,96,70,82
영중로42길,20,8,12,0,6,6,1,2,5
오금로11길,1326,650,676,143,196,365,244,163,215
오금로31길,1373,688,685,317,216,171,268,232,169
오금로32길,1078,527,551,231,168,130,177,205,167
오금로35길,1217,610,607,155,191,224,159,207,281
오금로36길,2223,1149,1074,311,383,395,347,367,420
오금로46길,3047,1489,1558,586,472,449,517,485,538
오류로8길,2871,1445,1426,390,362,418,402,483,816
오목로54길,4766,2320,2446,943,663,569,851,837,903
오패산로13길,383,196,187,40,43,43,61,65,131
오패산로19길,638,331,307,55,84,78,93,128,200
오패산로30길,1557,762,795,226,191,223,231,262,424
오패산로31길,1434,691,743,167,190,228,225,219,405
오패산로3길,2233,1084,1149,313,274,319,368,363,596
오패산로67길,1977,969,1008,184,323,379,356,310,425
오현로31길,3528,1781,1747,549,473,491,600,601,814
오현로32길,465,235,230,95,59,58,87,67,99
옥인6길,1283,597,686,254,173,184,247,192,233
올림픽로32길,4459,2115,2344,526,690,1029,679,735,800
올림픽로35길,1815,896,919,307,237,250,274,329,418
올림픽로4길,289,126,163,32,41,38,42,49,87
올림픽로62길,1186,582,604,87,182,203,187,217,310
올림픽로92길,6767,3360,3407,990,878,1216,1070,1130,1483
올림픽로98길,7211,3615,3596,1009,978,1249,1172,1245,1558
와우산로29길,823,395,428,78,206,189,128,76,146
와우산로29나길,495,233,262,39,186,109,55,42,64
와우산로30길,1229,625,604,112,376,253,172,150,166
와우산로3길,1344,649,695,117,282,341,201,156,247
왕산로22길,2050,1032,1018,159,491,471,313,281,335
왕산로30길,1295,648,647,101,183,190,162,225,434
왕산로32길,819,410,409,80,149,122,108,121,239
왕산로3길,748,417,331,78,126,134,115,116,179
왕산로45길,1744,922,822,149,180,237,275,344,559
왕십리로14길,722,368,354,72,139,139,106,120,146
왕십리로26길,3174,1610,1564,394,549,483,509,532,707
왕십리로30길,3152,1589,1563,402,538,507,499,524,682
왕십리로33길,1001,494,507,93,176,166,179,150,237
왕십리로5길,1287,622,665,161,187,217,232,207,283
왕십리로6길,1661,869,792,251,253,268,299,274,316
왕십리로8길,553,287,266,55,102,104,86,91,115
용답중앙11다길,412,194,218,29,92,70,47,81,93
용답중앙13길,1405,672,733,153,270,242,201,244,295
용답중앙길,6940,3512,3428,859,1038,1050,1143,1235,1615
용마산로115길,2321,1179,1142,274,328,406,354,411,548
용마산로117길,832,438,394,103,119,127,109,149,225
용마산로45길,2005,988,1017,225,256,289,299,307,629
우사단로10길,2983,1575,1408,285,443,583,485,448,739
우사단로2길,1382,659,723,162,229,211,244,204,332
우이천로4라길,8452,4169,4283,1460,1090,1152,1387,1365,1998
원효로19길,910,453,457,130,164,172,144,136,164
원효로35길,1352,632,720,202,189,195,236,188,342
원효로41길,895,420,475,129,102,132,163,132,237
원효로53길,1167,610,557,132,155,193,189,177,321
원효로71길,778,372,406,87,129,132,116,116,198
원효로89길,584,297,287,49,105,93,93,107,137
월계로37길,1631,784,847,278,227,204,262,297,363
월계로7나길,3314,1602,1712,364,514,473,552,540,871
월곡로5길,2650,1273,1377,242,294,296,350,452,1016
월드컵로10길,1926,851,1075,243,307,478,332,225,341
월드컵로14길,3466,1561,1905,529,589,690,543,572,543
월드컵로23길,6345,3008,3337,694,1083,1269,1035,908,1356
월드컵로25길,2194,1057,1137,344,306,405,371,308,460
월드컵로29길,5632,2662,2970,900,791,987,976,781,1197
월드컵로31길,3712,1801,1911,614,559,720,622,489,708
월드컵로32길,1184,582,602,155,188,222,203,167,249
월드컵로36길,1539,601,938,165,361,412,264,133,204
월드컵로3길,3236,1494,1742,472,540,741,524,378,581
월드컵로7길,5712,2608,3104,784,1050,1311,893,692,982
월드컵북로16길,6022,2890,3132,819,927,1149,1055,867,1205
월드컵북로30길,3840,1873,1967,623,562,754,659,527,715
월드컵북로48길,2033,985,1048,276,428,418,290,258,363
월드컵북로4길,686,311,375,85,128,163,103,72,135
월드컵북로6길,2618,1211,1407,318,486,615,412,274,513
월드컵북로7길,3117,1481,1636,408,532,631,546,427,573
위례성대로18길,4063,1972,2091,696,596,709,671,669,722
위례성대로20길,519,265,254,81,92,65,83,108,90
율곡로10길,327,183,144,21,33,38,64,57,114
율곡로17길,720,359,361,74,184,109,88,132,133
율곡로19길,1243,618,625,121,245,153,179,251,294
율곡로1길,206,101,105,25,21,28,37,36,59
율곡로3길,98,44,54,13,8,14,11,13,39
율곡로6길,499,280,219,54,51,85,115,81,113
은천로25길,744,390,354,129,88,125,112,117,173
은천로5길,1397,700,697,203,230,278,207,198,281
은천로6길,2566,1261,1305,230,513,456,382,338,647
은천로9길,873,440,433,110,120,138,139,133,233
은평로10길,2752,1339,1413,443,351,394,500,410,654
은평로11길,2127,1024,1103,330,261,338,393,332,473
은평로12길,2090,1037,1053,303,265,314,358,337,513
은평로13길,2439,1146,1293,384,276,395,424,377,583
은평로20길,1658,807,851,226,203,232,274,277,446
은평로21길,2726,1334,1392,432,332,417,464,454,627
은평로3길,1398,638,760,233,154,257,242,187,325
은평로6길,1712,829,883,278,250,385,302,229,268
은평로8길,2649,1279,1370,475,371,526,476,351,450
은평로9길,1198,528,670,166,245,267,212,126,182
을지로22길,16,9,7,1,1,1,2,2,9
을지로30길,127,75,52,9,9,19,15,27,48
을지로32길,109,65,44,6,11,15,17,22,38
응암로11길,9019,4384,4635,1129,1254,1458,1422,1511,2245
응암로12길,1802,890,912,226,215,224,280,314,543
응암로13길,1029,517,512,95,159,199,162,156,258
응암로14길,2145,1039,1106,283,281,333,347,350,551
응암로1길,1383,673,710,164,130,204,234,229,422
응암로20길,1753,860,893,227,213,197,279,315,522
응암로22길,1785,886,899,238,214,235,277,306,515
응암로29길,5244,2537,2707,836,684,894,932,753,1145
응암로34길,3452,1638,1814,646,418,530,619,479,760
응암로9길,1573,762,811,175,228,222,233,290,425
이문로12길,768,370,398,116,155,102,126,100,169
이문로24길,220,107,113,17,50,28,42,23,60
이문로25길,642,320,322,91,133,87,90,83,158
이문로28길,658,330,328,61,157,100,91,92,157
이문로42길,2721,1387,1334,331,456,395,396,458,685
이촌로14길,765,358,407,86,74,89,135,133,248
이촌로22길,1416,656,760,121,137,181,227,255,495
이태원로17길,337,159,178,36,44,67,67,50,73
이태원로20가길,759,388,371,53,128,170,83,125,200
이태원로20길,801,410,391,57,128,182,93,142,199
이태원로26길,611,291,320,47,113,110,78,108,155
이태원로27길,392,198,194,42,64,64,60,48,114
이태원로36길,933,441,492,96,141,195,184,114,203
이태원로42길,1375,593,782,54,81,165,224,289,562
이화장길,1149,528,621,116,212,216,167,145,293
인수봉로55길,3027,1444,1583,455,408,489,471,500,704
인수봉로56길,2541,1205,1336,385,344,320,433,437,622
인수봉로67길,554,269,285,75,75,88,81,99,136
인수봉로68길,1823,901,922,247,231,212,288,324,521
인수봉로77길,862,444,418,122,100,107,146,153,234
인수봉로78길,2825,1362,1463,452,390,418,442,470,653
인수봉로79길,2782,1377,1405,401,325,354,460,466,776
인촌로17가길,781,389,392,86,239,110,115,94,137
인촌로1길,878,413,465,77,207,155,129,118,192
인촌로24가길,256,142,114,21,70,47,23,28,67
인촌로24길,442,249,193,42,140,73,39,53,95
인촌로27길,1187,624,563,141,546,154,90,91,165
인촌로28길,118,66,52,12,38,10,17,19,22
인촌로7다길,6140,2830,3310,578,1716,1059,843,777,1167
인헌3길,1873,910,963,189,401,391,259,250,383
인헌4길,402,206,196,31,78,96,56,51,90
인헌6길,2517,1218,1299,246,613,535,339,302,482
인헌길,6649,3246,3403,935,1122,1298,1056,929,1309
일원로9길,3406,1691,1715,517,583,541,527,555,683
자동차시장1길,592,315,277,55,144,162,84,64,83
자양로15길,5326,2590,2736,687,828,936,880,915,1080
자양번영로1길,1684,851,833,241,266,245,280,280,372
자하문로10길,261,124,137,30,36,43,41,42,69
자하문로24길,662,311,351,116,93,89,116,121,127
자하문로41길,514,257,257,60,72,56,56,96,174
자하문로5길,698,324,374,102,70,122,128,94,182
자하문로7길,795,366,429,109,108,98,131,118,231
자하문로9길,631,289,342,84,83,86,99,99,180
잔다리로7안길,2357,1034,1323,244,419,555,385,284,470
잠원로14길,1150,541,609,308,124,173,272,131,142
장군봉1길,1006,494,512,129,158,172,130,158,259
장군봉2길,931,447,484,85,206,191,107,125,217
장문로45길,3474,1719,1755,434,515,528,574,595,828
장문로6길,620,294,326,137,87,79,155,88,74
장월로1길,2567,1167,1400,315,598,357,359,371,567
장월로1마길,664,279,385,100,161,82,98,79,144
장월로3길,440,224,216,79,51,58,78,61,113
장위로38길,1633,804,829,238,202,211,244,299,439
장위로40길,1673,849,824,223,227,203,271,315,434
장충단로8길,2453,1198,1255,303,420,360,394,394,582
장터2길,1409,700,709,153,174,214,244,239,385
장터3길,2930,1414,1516,371,402,487,489,471,710
장터5길,1291,614,677,131,182,205,210,204,359
장터길,1662,821,841,163,222,254,286,280,457
장한로18길,1357,670,687,182,187,272,196,206,314
장한로25길,329,156,173,40,52,52,54,68,63
장한로32길,1860,970,890,322,237,294,315,308,384
장한로5길,1141,569,572,169,165,201,168,204,234
전농로16길,1295,654,641,135,152,161,179,275,393
전농로17길,1326,676,650,148,209,152,208,243,366
전농로20길,1611,796,815,210,205,214,257,276,449
전농로27길,6818,3394,3424,882,1031,850,1063,1223,1769
전농로29길,3583,1820,1763,479,534,435,569,632,934
전농로37길,2208,1130,1078,239,357,285,319,373,635
전농로3길,1308,656,652,179,181,166,219,218,345
정릉로10길,1247,633,614,195,252,267,162,146,225
정릉로26길,939,454,485,92,84,125,157,163,318
정릉로27길,3735,1875,1860,600,497,504,616,582,936
정릉로31길,221,114,107,36,18,30,35,44,58
정릉로31나길,444,216,228,60,57,56,77,81,113
정릉로6길,43,20,23,0,11,3,6,9,14
제기로20길,1684,862,822,163,215,235,204,302,565
제기로2길,685,358,327,65,141,109,96,89,185
제기로38길,1225,631,594,137,145,201,185,218,339
제기로5길,956,521,435,72,159,169,145,138,273
조원로12길,3194,1632,1562,377,521,548,478,574,696
조원로13길,1819,889,930,248,343,359,279,247,343
조원로18길,1113,554,559,97,340,278,135,96,167
조원로31길,7253,3648,3605,932,1445,1325,1111,1067,1373
조원로6길,1604,804,800,143,297,302,227,245,390
조원중앙로2길,3425,1781,1644,400,580,600,507,608,730
종로24길,50,37,13,3,1,6,8,9,23
종로26길,27,22,5,1,0,2,6,7,11
종로41길,137,70,67,8,27,20,12,28,42
종로44길,366,245,121,9,20,40,41,97,159
종로51가길,540,266,274,62,70,82,85,112,129
종로57길,397,215,182,42,57,53,64,82,99
종로58가길,648,327,321,26,169,160,85,77,131
종로5길,1,1,0,0,0,0,0,1,0
종로63길,1299,689,610,109,194,157,202,282,355
종로65길,5225,2630,2595,517,708,702,852,1072,1374
종암로14길,2576,1270,1306,375,477,362,377,486,499
종암로19길,1402,713,689,189,203,201,231,234,344
종암로27길,2539,1292,1247,421,387,380,408,402,541
종암로5길,1291,706,585,136,391,204,140,134,286
주흥13길,944,438,506,95,155,266,169,93,166
주흥길,6404,3043,3361,460,1310,1774,1087,762,1011
중계로18길,225,107,118,68,35,7,57,40,18
중대로9길,3687,1919,1768,472,557,572,636,723,727
중랑역로13길,1027,547,480,83,142,173,142,224,263
중랑천로10길,3485,1755,1730,380,527,717,572,572,717
중랑천로12길,1717,853,864,182,293,422,255,260,305
중림로5길,223,120,103,14,26,15,26,30,112
중앙1길,4705,2273,2432,473,1101,908,603,618,1002
중앙길,2691,1331,1360,325,570,459,406,326,605
중앙로1길,640,334,306,89,93,100,89,116,153
중앙로34길,943,476,467,126,111,96,164,167,279
중앙로45길,2029,989,1040,317,274,283,355,354,446
중앙로46길,3481,1720,1761,500,490,578,546,551,816
중앙로6길,641,336,305,76,130,142,86,88,119
증가로10길,3499,1720,1779,386,637,473,547,555,901
증가로12나길,2754,1358,1396,416,515,416,457,424,526
증가로20길,3587,1764,1823,632,586,469,656,563,681
증가로24바길,1167,566,601,202,178,179,213,184,211
증가로25길,467,227,240,43,69,73,70,90,122
증가로29길,2297,1122,1175,294,273,363,406,370,591
증가로8길,3014,1433,1581,411,513,464,475,501,650
증산로15길,3265,1577,1688,544,388,447,543,507,836
증산로17길,2646,1306,1340,371,371,426,424,379,675
증산로23길,2281,1107,1174,261,385,442,345,376,472
증산로3길,1241,671,570,244,162,180,226,184,245
증산로9길,5476,2694,2782,772,680,785,886,898,1455
증산서길,4419,2227,2192,662,596,594,709,781,1077
지봉로17길,289,139,150,46,35,46,40,43,79
지양로3길,194,96,98,37,23,24,33,31,46
진흥로12길,1353,621,732,188,161,231,220,209,344
