상권코드명,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수
난곡로26길,2692,1356,1336,342,445,346,414,486,659
난곡로30길,2195,1116,1079,243,342,310,331,423,546
난곡로34길,2843,1457,1386,385,482,406,466,501,603
난곡로35길,3180,1594,1586,435,490,508,477,536,734
난곡로63길,1069,538,531,118,227,219,159,164,182
난곡로66길,462,228,234,47,120,94,76,52,73
난곡로78길,4346,2182,2164,522,926,782,633,612,871
난우길,2100,1041,1059,351,283,311,378,326,451
난향2길,262,137,125,16,41,22,26,50,107
난향길,2896,1497,1399,366,374,355,494,475,832
남부순환로124길,363,165,198,34,64,53,51,76,85
남부순환로144길,3281,1653,1628,389,601,664,474,508,645
남부순환로145길,839,430,409,84,194,180,110,95,176
남부순환로151길,2028,1030,998,238,425,404,306,299,356
남부순환로153길,1769,853,916,213,336,340,267,276,337
남부순환로159길,3199,1614,1585,396,660,548,503,502,590
남부순환로170길,5193,2545,2648,530,1129,1002,724,693,1115
남부순환로191길,1260,639,621,46,472,344,132,119,147
남부순환로208길,539,249,290,48,84,83,67,88,169
남부순환로230길,6325,3185,3140,686,1672,1263,847,705,1152
남부순환로234길,1662,881,781,185,436,351,222,189,279
남부순환로248길,1934,966,968,197,358,363,297,295,424
남부순환로272길,1148,542,606,64,261,316,146,144,217
남부순환로317길,1218,584,634,233,212,191,228,176,178
남부순환로323길,1367,658,709,222,241,211,212,215,266
남부순환로333길,585,284,301,77,93,147,88,71,109
남부순환로337가길,897,422,475,203,104,177,196,97,120
남부순환로350길,1055,489,566,88,215,236,153,154,209
남부순환로356길,2634,1277,1357,300,436,579,372,393,554
남부순환로40길,2737,1471,1266,346,340,306,487,542,716
남부순환로59길,791,404,387,119,108,116,130,152,166
남부순환로70길,2839,1438,1401,370,404,346,430,565,724
남부순환로95길,952,476,476,142,77,236,113,112,272
남부순환로97길,452,213,239,59,65,92,66,65,105
남현2길,3441,1687,1754,413,700,739,476,498,615
남현3길,2412,1095,1317,167,683,654,267,286,355
남현4길,1486,693,793,168,315,342,194,193,274
남현길,2301,1076,1225,345,519,430,275,266,466
노량진로6길,2485,1259,1226,224,427,353,377,437,667
노량진로8길,650,314,336,46,193,101,87,73,150
노원로1길,883,444,439,112,148,100,137,183,203
노해로17길,1466,723,743,204,206,204,254,242,356
노해로35길,1308,646,662,209,169,166,216,229,319
노해로41길,1844,887,957,316,237,282,291,287,431
노해로65길,54,50,4,2,3,5,13,17,14
노해로70길,1484,714,770,280,192,211,269,249,283
노해로8가길,1215,617,598,79,174,226,201,222,313
녹사평대로26길,908,423,485,75,141,187,124,159,222
녹사평대로40길,455,206,249,65,67,79,73,63,108
녹사평대로46가길,1317,657,660,211,195,230,202,168,311
녹사평대로46길,891,452,439,110,134,155,141,119,232
논현로5길,1730,851,879,288,276,308,302,283,273
논현로8길,3759,1835,1924,597,551,567,621,667,756
능동로19길,553,245,308,50,254,123,50,33,43
능동로4길,1347,671,676,272,190,230,243,198,214
다동길,4,1,3,1,0,0,1,1,1
다산로14길,506,240,266,34,127,105,66,73,101
다산로36길,1348,671,677,228,185,230,226,204,275
다산로42나길,786,389,397,100,119,100,126,135,206
다산로44길,698,341,357,38,142,119,109,112,178
다산로8길,994,488,506,134,167,146,152,155,240
답십리로30길,922,471,451,130,131,139,170,118,234
답십리로56길,1797,889,908,258,230,233,317,290,469
답십리로65길,2550,1294,1256,298,353,314,410,509,666
답십리로66길,3712,1896,1816,473,516,555,588,705,875
답십리로68길,3774,1892,1882,516,537,752,570,666,733
답십리로72길,755,390,365,123,116,146,125,130,115
당곡길,1446,712,734,141,265,268,210,215,347
당산로10길,770,410,360,66,154,190,90,123,147
당산로16길,1161,605,556,107,178,262,165,168,281
당산로18길,453,211,242,43,84,61,72,81,112
당산로28길,273,138,135,24,57,54,26,51,61
당산로31길,1037,515,522,147,165,251,137,158,179
당산로37길,962,451,511,83,107,133,136,159,344
당산로38길,1607,785,822,174,419,396,216,177,225
당산로44길,644,300,344,108,100,86,85,122,143
당산로48길,379,194,185,28,96,69,41,50,95
당산로52길,1551,772,779,136,335,313,204,241,322
대림로22길,1295,646,649,165,202,139,206,244,339
대림로29길,1479,787,692,140,199,243,239,277,381
대림로34길,1325,675,650,200,181,176,210,260,298
대림로44길,2146,1113,1033,334,312,285,374,415,426
대사관로30가길,1592,768,824,144,245,327,216,266,394
대사관로31길,112,58,54,16,21,26,22,15,12
대사관로34길,969,434,535,110,165,188,149,142,215
대학5길,1323,770,553,102,440,297,167,119,198
대학길,2893,1685,1208,250,677,586,470,387,523
대흥로21길,3330,1686,1644,307,731,530,458,507,797
덕릉로24길,674,336,338,67,110,111,106,102,178
덕릉로28길,1489,699,790,134,310,267,199,226,353
덕릉로30길,1877,879,998,192,311,280,280,308,506
덕릉로42길,1313,645,668,204,181,199,210,234,285
덕릉로54길,1327,684,643,176,170,157,241,227,356
덕릉로59아길,1524,753,771,327,192,222,275,245,263
덕릉로63가길,2306,1132,1174,389,314,344,393,425,441
덕릉로73길,1299,618,681,267,192,79,275,260,226
덕릉로83길,253,135,118,29,56,34,42,47,45
도곡로77길,1607,789,818,275,236,230,343,289,234
도당로15길,5100,2571,2529,680,722,646,858,918,1276
도림로108나길,1680,885,795,222,204,197,306,294,457
도림로113길,880,462,418,81,155,140,132,150,222
도림로12길,1658,821,837,226,210,227,275,285,435
도림로147길,674,378,296,30,100,107,74,117,246
도림로31길,1706,882,824,233,214,306,241,293,419
도림로38길,305,155,150,40,36,23,52,49,105
도림로41길,718,380,338,68,132,158,121,128,111
도림로53길,833,401,432,122,110,87,152,151,211
도봉로109길,2945,1438,1507,415,432,471,481,468,678
도봉로10다길,697,335,362,68,94,99,112,121,203
도봉로10라길,770,371,399,74,168,127,123,101,177
도봉로110길,2537,1253,1284,301,401,423,417,442,553
도봉로113길,1803,878,925,217,267,280,275,266,498
도봉로114길,2203,1049,1154,241,319,312,366,392,573
도봉로13가길,305,165,140,28,34,50,54,62,77
도봉로13길,1265,642,623,134,161,169,189,265,347
도봉로150길,915,436,479,152,124,133,135,171,200
도봉로152길,783,413,370,57,123,165,161,118,159
도봉로153길,3776,1905,1871,440,504,430,646,662,1094
도봉로156길,1159,622,537,128,143,144,171,235,338
도봉로165길,533,271,262,61,66,90,86,91,139
도봉로169나길,2904,1479,1425,289,341,393,428,591,862
도봉로18길,3342,1658,1684,391,480,418,558,601,894
도봉로20가길,924,461,463,96,125,129,131,179,264
도봉로28길,1739,909,830,237,206,230,308,307,451
도봉로29길,1946,974,972,267,266,249,303,375,486
도봉로30길,1107,562,545,128,139,176,175,199,290
도봉로35길,1360,677,683,208,185,231,231,235,270
도봉로38길,2877,1418,1459,438,421,423,489,442,664
도봉로46길,823,357,466,112,114,121,124,186,166
도봉로53길,4927,2389,2538,585,719,693,771,902,1257
도봉로57길,1481,732,749,170,225,188,247,271,380
도봉로73길,781,388,393,80,184,168,96,111,142
도봉로78길,7971,3791,4180,864,1318,1256,1150,1339,2044
도봉로81길,802,414,388,70,126,118,125,156,207
도봉로87길,729,378,351,30,88,133,140,147,191
도봉로8길,278,135,143,30,48,38,44,49,69
도봉산3길,4189,2128,2061,521,525,567,625,741,1210
도신로15길,1406,682,724,121,333,414,187,159,192
도신로19길,617,308,309,68,89,84,98,131,147
도신로29길,1403,701,702,264,165,187,293,227,267
도영로7길,1510,741,769,177,173,304,261,224,371
도화2길,1189,565,624,73,101,157,183,212,463
도화4길,1042,481,561,198,138,212,184,132,178
도화길,569,247,322,62,144,145,76,65,77
독립문로8길,2235,1071,1164,290,328,308,356,333,620
독막로19길,738,340,398,63,230,162,97,78,108
독막로22길,273,121,152,25,53,42,36,36,81
독막로32길,1137,567,570,139,163,204,176,175,280
독막로8길,521,230,291,48,117,154,70,63,69
독산로107길,1477,739,738,146,263,204,237,305,322
독산로108길,2881,1487,1394,334,472,470,450,576,579
독산로10길,2200,1104,1096,287,324,275,331,410,573
독산로22길,4026,2009,2017,530,501,540,654,713,1088
독산로28길,1365,703,662,179,182,189,223,252,340
독산로32길,1597,818,779,217,190,224,254,301,411
독산로35길,2803,1352,1451,372,379,349,441,507,755
독산로36길,3822,1900,1922,558,488,513,635,683,945
독산로38길,1627,832,795,227,220,256,267,310,347
독산로39길,2404,1149,1255,305,321,284,373,467,654
독산로40길,7471,3666,3805,1177,1071,1102,1172,1402,1547
독산로44길,2753,1371,1382,411,374,384,444,519,621
독산로64길,2297,1163,1134,339,330,286,397,476,469
독산로70길,2832,1467,1365,419,427,319,528,602,537
독산로74길,1115,556,559,131,190,139,172,228,255
독산로80길,3743,1842,1901,525,515,484,657,725,837
독산로85길,742,371,371,95,98,104,137,154,154
독산로87길,1716,837,879,183,239,206,282,381,425
독서당로51길,459,238,221,50,83,59,70,74,123
돈화문로4길,50,37,13,3,1,6,8,9,23
돌곶이로22나길,1837,929,908,229,262,236,288,331,491
돌곶이로23길,194,90,104,20,41,32,38,20,43
돌곶이로25길,1700,866,834,229,234,223,263,293,458
돌곶이로27길,2342,1186,1156,293,301,265,404,427,652
동광로12가길,166,85,81,22,16,25,34,14,55
동광로1길,2710,1253,1457,507,392,501,531,375,404
동광로3길,3908,1841,2067,722,569,654,771,612,580
동교로18길,148,76,72,22,21,30,24,16,35
동교로38길,839,389,450,72,167,207,109,99,185
동교로39길,686,317,369,97,109,153,95,95,137
동교로46길,192,100,92,18,38,58,28,18,32
동교로9길,1751,823,928,203,334,349,259,252,354
동남로81길,670,356,314,98,99,76,116,120,161
동남로8길,3759,1867,1892,521,607,736,602,639,654
동산로12길,1719,828,891,307,237,298,326,249,302
동산로13길,492,240,252,96,81,89,90,58,78
동산로19길,1805,914,891,282,270,389,361,238,265
동산로2길,287,142,145,43,34,64,56,42,48
동산로6길,1159,578,581,168,189,270,156,172,204
동소문로13가길,1224,555,669,172,256,211,193,145,247
동소문로13길,1339,626,713,238,261,185,205,196,254
동소문로13나길,1645,748,897,239,335,252,253,210,356
동소문로23길,1448,601,847,123,503,276,162,128,256
동소문로2길,642,310,332,59,92,76,94,113,208
동소문로5길,168,74,94,20,28,31,29,24,36
동소문로6길,581,287,294,56,84,70,87,100,184
동숭4나길,4644,2260,2384,686,745,866,769,695,883
동숭길,625,279,346,31,96,82,83,96,237
동일로101길,3036,1493,1543,478,424,443,515,573,603
동일로109길,3878,1969,1909,528,564,596,652,700,838
동일로123길,4464,2327,2137,498,568,590,706,958,1144
동일로149길,4025,2020,2005,620,549,607,633,714,902
동일로151길,3269,1658,1611,479,458,583,495,569,685
동일로157길,2900,1456,1444,355,392,468,471,484,730
동일로173가길,2488,1275,1213,331,424,453,335,410,535
동일로178길,4403,2132,2271,577,877,786,632,698,833
동일로183길,1651,867,784,238,253,292,239,268,361
동일로184길,2315,1238,1077,273,602,372,288,361,419
동일로186길,2756,1400,1356,284,651,431,342,457,591
동일로192길,745,376,369,97,203,91,92,117,145
