상권코드명,유사업종점포수,평균영업개월수,당월매출금액,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액
가좌로7길,4,176,11767793,45.4,54.6,4,36.9,27.2,19.2,10.6,2,5305217,5740860,455343,4362567,2661460,2126496,1189846,250367
가좌로7다길,1,35,1366906,29.1,70.9,4,12.7,41.6,12.7,28.9,0,377698,852518,25180,147482,503597,122302,431655,0
가좌로9길,5,55,34204744,35.2,64.8,2.4,51.9,18.5,12.4,8.8,6,10272836,23931908,450959,18094568,6252711,4644211,2540905,2221390
갈현로1길,3,31,24235507,49.3,50.7,3.5,23.5,32.4,25.9,13.9,0.8,10477536,11784783,702174,5232609,6957971,5442754,3795652,131159
갈현로23길,1,43,2498740,30.5,69.5,9.7,26.5,28.8,25.3,7.6,2.1,729792,1768948,200209,515651,844636,671595,190421,76228
갈현로29길,2,29,23304950,31.8,68.2,4.6,23.4,34,30.4,4.5,3,7189162,16115788,916864,5674953,7449472,7487539,1122342,653780
갈현로33길,5,31,6048963,47.2,52.8,0.7,24.6,49.3,23.9,0.7,0.7,2645259,3403704,65332,1180884,2968583,1710167,20000,103997
갈현로3길,2,15,1117436,34.6,65.4,0,7.5,30.8,34.6,19.5,7.5,379487,499487,0,51282,358974,261026,158974,48718
갈현로41길,1,139,31239551,31.2,68.8,1.9,26.2,25.2,22.4,15.2,9.1,9705303,21534248,476870,7480693,6852067,7923060,5415401,3091460
갈현로4길,6,44,6939327,25.7,74.3,1.9,14.3,23.9,38.9,17.4,3.6,1559590,4771005,129101,808184,1411784,2456840,1268732,255955
강남대로107길,2,18,13296403,40.3,59.7,0,43.2,28.6,18,5.3,4.9,4423741,5834533,0,3936691,3352518,1786330,581295,601439
강남대로83길,8,59.5,21085146,51.3,48.7,0.3,43.5,35.5,12.9,5.5,2.3,9490960,8284906,39370,8116308,5916136,2290269,993439,420344
강남대로89길,2,11,9890458,51.3,48.7,2.1,40.7,28.8,20.3,4.7,3.3,4807438,3577320,96496,2741053,2785480,1932250,611795,217685
강남대로8길,23,366,85532425,46.3,53.7,0.5,28.7,36.6,22.1,7.7,4.4,30767545,36294570,218633,18033415,24643363,15350782,6164485,2651441
강동대로9길,9,131,15647113,42,58,1.6,20.8,31.4,31.5,11.7,3.1,6726365,7731904,211219,2073187,4431716,5367492,1963002,411652
강서로17다길,7,78,59749808,36.3,63.7,4,31.2,33.6,19.5,8.2,3.5,21960037,37789771,1853258,17011741,19648619,12420046,6137074,2679070
강서로18길,5,86,10708414,46.9,53.1,1.9,32.6,34.1,19.5,8.2,3.7,4068833,6021219,394935,4190382,2853850,1474563,794307,382017
강서로18다길,3,42,5421186,39.8,60.2,2.2,38.7,35.5,17.3,5.3,1,2086441,3026271,68644,1908475,1805932,1063559,244915,21186
강서로39길,3,141,14498009,39.1,60.9,1.6,35.7,27.4,11.9,14.3,9.1,5518334,8125203,175831,4008943,3527642,1580488,1988343,2362291
강서로45길,14,448,146561595,38.4,61.6,8.5,29.3,23.6,24.4,10.5,3.7,53934297,84391960,10028251,38438122,32132606,35172115,16394383,6160787
강서로47가길,5,131,40684847,38.2,61.8,1.5,18.8,28.2,32.6,13.5,5.5,13826783,23341850,428758,7070361,10085578,12260093,5126501,2197347
강서로47길,14,309,70732896,36.1,63.9,10.6,21.4,24.8,28.4,12.5,2.3,24537294,38565886,4405238,12474048,17180656,17590270,9352218,2100756
강서로48길,7,77,16291007,38.8,61.2,5.3,24.4,25,26.7,16.3,2.3,6421239,8743182,612991,3830056,3717124,4167764,2492047,344439
강서로74길,5,92,35875131,51.8,48.2,1,27,38.2,21.4,9.3,3,15313136,13762901,310305,7478955,11180906,5991412,3229739,884721
강서로8길,4,8,8935823,54.2,45.8,0,23.1,38.5,24.6,11.8,2,4171185,4191457,0,2211579,2826715,1525245,1622024,177080
개봉로2길,4,98,18786406,48.5,51.5,0,18.6,37.3,33.4,8.8,1.9,8323899,9228759,0,3108153,5898948,6548360,1714842,282354
개봉로3길,18,286,65838254,41.3,58.7,2.7,22.4,34.5,28.3,8.1,4,27880411,37957843,1155382,13675858,21899611,20022092,6080309,3005002
개포로109길,5,38,47436682,49.7,50.3,1.7,22.3,34.3,24.9,13.3,3.5,20877449,19570546,481050,8216220,14254458,10592482,5531920,1371865
개포로82길,4,54,40293283,41.1,58.9,3.9,22,18.9,23.8,22.5,8.9,15496402,21179577,1007720,6724813,6567678,9245286,8585231,4545253
거북골로16길,1,19,6882488,42,58,0,15.4,28.4,30.8,18.5,6.8,2484793,3296774,0,839631,1479263,2239171,858525,364977
거북골로20길,6,145,57189840,38.6,61.4,1.7,32.3,30.3,20.5,10.3,4.8,23814783,33375057,920060,17456733,15126322,12497365,8165570,3023790
경기대로9길,3,9,1483808,45.1,54.9,5.3,50.2,11.3,14.7,16.6,1.9,589912,810530,46233,669922,129983,256043,282825,15438
경인로22길,1,29,2398026,54.9,45.1,1.2,27.3,39.5,16.6,9.8,5.6,1324334,879867,12397,532278,955923,299013,294146,110446
경인로35길,5,26,12862615,48.8,51.2,5.1,30.7,17.1,16.9,20.4,9.8,6175158,5840451,551133,2722269,1852051,2247065,3069388,1573704
경인로40길,3,20,18565971,40.6,59.4,4.8,35,25.4,20.6,10.6,3.5,7824594,10741377,756688,5554212,4481852,4211534,2471055,1090630
경인로47길,20,387.3333333,151304475,54.3,45.7,15.6,54.8,11.6,10.3,6.2,1.4,79362578,71941897,20125883,75298077,21257945,19645669,12116541,2860360
경인로47다길,1,13,14010397,45.4,54.6,4.8,34.2,22.7,26.1,9.3,2.8,5668310,7617601,488455,4028066,3349702,3862325,1175954,381408
경인로59길,5,142,46314601,41.5,58.5,1.1,22.8,31.1,28.9,10,6,16756387,25150837,360775,8348427,14263521,11716253,4288495,2929756
경희대로1길,3,28,58553459,30.2,69.8,9.5,68.4,11.3,5.4,4.5,0.9,18883593,39669866,4997702,39355440,8161732,2901333,2530919,606333
경희대로3길,2,13,7612879,47.5,52.5,2.4,68.3,15.8,9.8,2.4,1.3,3519697,4093182,303788,5204545,1493939,293182,302273,15152
경희대로4길,12,91,124316027,45.4,54.6,10.3,68.2,7.7,5.8,7.3,0.7,55377062,68938965,13885878,81532242,10786537,8127459,9112416,871495
경희대로6길,11,60,111384991,44.3,55.7,11.4,65,8.3,6.9,7.4,1.1,48866093,62518898,12988332,68759954,10837668,8749389,8441688,1607960
고덕로10길,4,87,19656876,38.4,61.6,1.6,25.5,29.8,27.8,11,4.3,7691869,11965007,120583,4011362,6389623,5249106,2714550,1171652
고산자로14길,2,156,233344915,52.8,47.2,3.2,29.1,24.7,21.5,14.2,7.4,112800198,99761571,6257516,58056586,52958152,45689747,31545339,18054428
고산자로16길,2,41,6766484,36,64,0,15.1,31.4,25.7,22.1,5.7,1585165,3002747,0,480769,1310440,1260989,1140110,395604
고산자로2길,2,53,50402797,50.4,49.6,1.3,22.3,27.1,25.4,17.8,6.2,22692308,20864336,391608,8081119,11594406,13066434,8227273,2195804
고산자로31길,3,47,24085096,46,54,1.3,44.8,27.4,14,8.8,3.7,10487457,11774001,279448,9542354,5999595,3147415,2318779,973868
고산자로6길,6,94,59642035,47.4,52.6,4,32.3,24,22.9,13.2,3.7,24178201,27448917,1554671,14251295,12972476,11947290,7956876,2944512
고산자로8나길,20,372,200100723,52.4,47.6,2.8,47.4,24,14.2,8.6,3,90182267,91852038,3919417,79084916,47221164,26822908,17947016,7038891
고척로21나길,7,85,27177032,43.7,56.3,1.6,35.1,29.7,18.1,14.6,0.9,7669955,19507077,102285,3268961,11648040,10545295,1395600,216851
고척로27길,2,25,10972441,34.4,65.6,5.9,33.5,22.2,24.9,13.1,0.5,4415847,6556594,480758,3709279,2111610,2408644,2177168,84982
고척로33길,3,35,15944062,19.7,80.3,0.1,24.2,55.9,15.4,4.2,0.2,3747694,12196368,12521,3343897,8125846,3765109,669260,27429
고척로52길,1,16,997794,66.7,33.3,0,44.7,16.7,33.3,0,5.3,730147,267647,0,488235,124265,359559,0,25735
곰달래로31가길,4,25,5378641,25.5,74.5,1.1,8.2,36.9,43.4,6.6,3.9,1386450,3676172,19417,355959,1935550,2244005,329534,178155
곰달래로31길,10,267,85162074,40.7,59.3,1.4,19.7,35.6,27,10.1,6.3,30813858,46031133,857071,14473895,25912133,20981345,9544360,5076188
곰달래로35길,2,24,3.00E+06,12.3,87.7,0,2.6,45.2,49.5,2.6,0,391304,2608696,0,72464,1376812,1434782,115942,0
곰달래로60길,9,103,57524424,45,55,4.7,38,29.7,16.6,8,3,26965096,30559328,2587964,21874213,16748605,9529661,4851860,1932121
공릉로12가길,2,16,14790979,58.8,41.2,2,11.8,19.8,45.6,12.3,8.4,8196240,4478767,68391,2760757,2286048,5476209,1265828,817773
공릉로12길,2,30,4633234,44.8,55.2,5.2,27,18.2,29.6,14,5.9,2079939,2175843,171207,1103819,750956,1133261,786091,310448
공릉로2길,4,51,19369841,41.7,58.3,1.3,23.2,24.1,21,16.6,13.9,8431275,10938566,171703,3568242,4405745,4945594,3589211,2689346
공릉로34길,8,79,32981460,44.8,55.2,3.5,33.7,24.4,24,10.7,3.7,14373607,18607853,1007492,9266103,8363761,8353435,4308406,1682263
공릉로58가길,3,65,7800388,44.8,55.2,0,28,26.7,30.9,12.1,2.2,3612755,4187633,0,2004988,2039590,2470961,1141007,143842
공릉로59나길,4,44,34871492,41.2,58.8,2.7,31.4,21.8,27.2,11.8,5.1,13540811,19078711,586202,9784220,7483379,8780867,4488638,1496215
공릉로65길,3,26,22522222,43.3,56.7,3.3,44.1,18.8,15.8,14.5,3.5,8695556,12566667,454815,7994074,4461481,3764444,3646667,940741
공항대로41길,13,175,72636981,45.8,54.2,4.9,21.2,28.6,26.9,14.7,3.7,28948028,35834800,2499690,12768135,17910545,16172664,12210392,3221402
공항대로42길,7,172,33956433,48.4,51.6,1.6,12.7,29.3,30.3,18.4,7.7,13623508,15226325,311036,3658577,7583811,9039792,5554231,2702389
공항대로45길,13,191,82471873,47.7,52.3,3.1,35.6,32.8,16.9,7.8,3.8,38256271,36992530,1609641,23151290,24142711,14618941,8722219,3004004
공항대로55길,3,5,6925000,37.8,62.2,0.5,19.1,36,23.7,15.3,5.3,2292866,3935606,11364,953788,2378155,1538321,1203031,143813
공항대로61길,10,73,85706097,40.4,59.6,2.2,37.1,31.2,18.1,8.8,2.6,29269368,44804929,1219345,26153822,23153208,13880026,7581097,2086803
공항대로7길,5,72,15766525,54.9,45.1,4.8,34.5,20.4,25.9,11.6,2.8,5213876,9597964,393465,2837888,1999681,7728830,1529398,322579
관악로11길,5,28,6577899,46,54,0.8,41.6,37.6,8.4,9.8,1.8,2997599,3580300,31612,2561745,2403737,683782,780932,116091
관악로14길,14,152,98353627,41.8,58.2,4.4,57.5,23.8,8.3,4.8,1.2,39241513,59112114,3263606,58064565,23488040,7464947,4847840,1224629
관악로24길,6,78,15048749,37.9,62.1,0.6,28.9,28.2,19.8,16.7,5.7,5217844,9830905,74497,4022399,4151596,2999720,2746672,1053865
관악로28길,7,118,15268652,37.5,62.5,0.6,28.6,28.6,19.8,16.7,5.7,5255371,10013281,74484,4076400,4248390,3035173,2767875,1066330
관천로11길,8,71,20504036,41.4,58.6,1.8,36,32.7,16.3,9.1,4,7550904,10871771,279872,5902841,6234917,3239805,1779709,985532
광나루로11길,3,35,9405584,34.5,65.5,2.4,28.2,36.7,13.4,14.2,5,2946669,5086275,153627,2084271,3149264,1137222,1056379,452182
광나루로12길,3,24,33906503,34.8,65.2,3.2,62.8,23.4,5.9,3.2,1.6,10376438,23530065,949756,21836082,7455497,2217507,1054610,393051
광나루로56길,3,33,23948097,54.5,45.5,0.9,21.9,33.6,23.3,15.3,5,11909781,10336089,254055,5194773,7345960,5409418,2859453,1182212
광성로4길,3,36,6707576,52.5,47.5,0,60.2,19.3,12.2,6.5,1.9,2779293,2459596,0,2776263,1185354,651515,525758,1.00E+05
광운로2길,1,12,3388554,21.1,78.9,12.2,54.4,13.1,15,3.5,1.7,837952,2550602,344578,1428916,716265,584940,166867,146988
광운로3길,6,93,35144680,60.2,39.8,7,71.5,4.5,7.8,7.8,1.3,20759064,14385616,2598647,22881450,2312042,3516463,3511068,325010
광평로19길,1,34,6878261,38,62,0.6,11.3,15.4,51.3,10.7,10.7,2473188,3994203,27536,927536,886957,3125362,823913,676087
구로동로28길,1,73,9150686,42.2,57.8,0.8,38.6,20.4,13.3,18,8.9,2898765,4594170,35715,2209716,1497765,1141852,1718129,889760
구로동로29길,2,20,1787234,100,0,0,0,0,0,100,0,1787234,0,0,0,0,0,1787234,0
구로동로35길,4,116,5669054,100,0,0,0,0,2.4,57.1,40.5,4703707,0,0,0,0,163691,3534064,1005953
구로동로42길,2,11,4377273,5.5,94.5,0,11,5.5,72.4,5.5,5.5,45455,1709091,0,277273,45455,1333333,45455,53030
구로중앙로19길,7,31,86620056,41.6,58.4,1.8,35.7,33.4,16.9,10.1,2.1,27864385,37923787,986106,20366849,22632358,12581482,7775251,1446128
구로중앙로28길,8,170,32240371,43,57,2.9,25.7,32.2,20.1,14.6,4.4,12872362,13612832,642168,5911399,7955999,5230615,5671385,1073631
구로중앙로7길,1,18,29849941,47.8,52.2,4.5,21.3,33,26.4,11.3,3.5,12601009,14617176,1207385,6089629,9137966,6976153,2733839,1073215
구로중앙로8길,3,19,25957864,40.1,59.9,1,36.8,30,17.4,10.5,4.3,8162289,12097888,147122,6791504,6583400,3775130,2130135,832887
구일로10길,7,86.5,25755556,50.3,49.7,1.1,22.6,39.7,23.8,10.3,2.5,10651852,10991852,274815,4331852,8161481,5473333,2630370,771852
국제금융로7길,5,155,25690288,42.6,57.4,10.4,18.5,22.3,33.4,11,4.4,8878638,7835178,1106413,2847954,4111284,5112021,1949160,1586986
국회단지길,3,81,17572579,30.2,69.8,1.1,24,27.9,38,6.7,2.3,5596533,9642713,291667,3075278,4249441,5284150,1992876,345833
금낭화로23길,1,24,2750000,35.6,64.4,0,6,38.9,32.6,21.5,1,995752,1754248,0,168954,952614,981373,582353,64706
금하로24길,8,96,36848146,43.2,56.8,2.8,35.7,26.5,18.2,12.7,4.1,14542153,20390036,762485,10735251,9785241,6595408,5136852,1916955
금호로1길,1,28,5105263,70.8,29.2,0.7,41.5,25.8,24.5,7.5,0,3462406,1357143,18797,1932331,1078947,1443609,345865,0
금호산2길,12,227.5,33583137,45.5,54.5,4.3,34.7,24.1,21.8,10,5.2,15140554,16600784,798087,7798988,6069346,11879512,3742220,1453186
길음로13길,3,25,17410179,40.8,59.2,1,5.5,32.7,46.3,11.4,3.2,7246425,8881060,82144,981589,4596736,7848963,1865534,752519
길음로7길,3,131,13259637,44.6,55.4,2.5,26.5,27.6,30.7,7.7,5.1,6323024,6936613,398836,3621214,3379916,3923242,1229734,706695
까치산로10길,1,129,2236184,34.7,65.3,12.2,9.1,19.7,40.8,16.6,1.6,733340,1502844,204264,217658,425270,1021987,320125,46880
낙성대역10길,1,12,5343165,48.4,51.6,1,22.6,42,26.9,2.1,5.3,2888826,2454339,232501,1258412,1792438,1664562,146767,248485
낙성대역3길,2,45,2770689,66.1,33.9,0.4,46.6,26.4,17.1,8,1.6,1489114,937104,7848,926642,779559,521360,167266,23543
난계로29길,9,271,79219432,49.4,50.6,1.3,32.2,30.1,15.4,13.3,7.8,29237180,29115032,559360,16292957,17715232,9462145,8749740,5572780
난계로30길,1,18,18888232,56.3,43.7,0,18,44.3,32.3,5.2,0.2,1544796,1449949,0,479624,1219876,907870,375021,12355
난곡로26길,1,11,4324138,54.6,45.4,2.9,47.1,35.1,11.1,2.9,0.9,2188050,2136088,85415,1891943,1602245,544521,180084,19930
난곡로30길,2,11,4324138,54.6,45.4,2.9,47.1,35.1,11.1,2.9,0.9,2188050,2136088,85415,1891943,1602245,544521,180084,19930
난곡로34길,3,19,30681261,39.7,60.3,4.9,41.9,22.3,18.5,9.4,3.1,11782310,18898951,1157769,11712383,6852468,6215780,3671408,1071453
난곡로35길,2,118,26678036,47.8,52.2,2.2,19.3,30.5,26.3,15,6.8,12484116,12841687,413885,4102476,7151352,7422213,4488203,1747675
난곡로63길,4,99,66318253,47.5,52.5,2.7,32,32.2,18.8,10,4.2,29585755,30442914,1387057,17872063,19983751,11079679,6887728,2818392
난곡로66길,2,51,11855957,44.8,55.2,7.4,38.4,27.9,10.7,11.1,4.5,4854066,6156025,707790,3876562,2833285,1254307,1625167,712982
난곡로78길,1,10,18346291,37.3,62.7,2.3,49.4,34.8,7.9,5,0.5,6460736,10599327,329745,8318023,6121190,1426883,761807,102415
난우길,7,131.5,92068304,41.4,58.6,5.6,24.9,28.5,22.7,12.7,5.6,36031007,51196893,4281526,19488243,24943891,21578478,11912742,5023023
난향2길,2,7,4157931,33.9,66.1,18.5,28.1,26.2,18.5,6.8,1.9,1484563,2673368,557612,1374916,887276,1053189,194768,90170
난향길,4,53,7690891,40.1,59.9,8,22.8,30.8,27,8.1,3.3,3083749,4607142,616883,2122380,1946076,2228217,512658,264677
남부순환로124길,2,13,10288837,40.8,59.2,1.3,41.4,18.5,15.8,16.1,7,3922248,6366589,56430,3838177,2062819,1382262,2147498,801651
남부순환로144길,2,86,33190752,49.7,50.3,3.9,36.6,31.8,15.8,8.2,3.7,15568753,15110504,988413,9963400,10983070,4736129,2669533,1338713
남부순환로145길,5,96,31281045,52,48,2.3,42.8,28.7,14.7,8.9,2.7,15896912,15384133,652479,11601585,9492401,5160023,3371270,1003287
남부순환로151길,1,45,6015013,54.7,45.3,1.8,22.1,25.8,21.8,13.1,15.4,3215703,2799310,57975,1154083,1532185,1719546,836271,714953
남부순환로153길,1,45,6015013,54.7,45.3,1.8,22.1,25.8,21.8,13.1,15.4,3215703,2799310,57975,1154083,1532185,1719546,836271,714953
남부순환로159길,2,36,3988933,36.3,63.7,1,23.1,34.7,21.2,19,1,1574799,2097675,16667,752791,1555104,569689,693441,84783
남부순환로170길,5,17,9098037,58.2,41.8,1.2,38.3,41.2,12.6,4.9,1.9,4985508,4112529,64022,3241103,3635486,1433836,570170,153420
남부순환로191길,8,60,44449267,47.3,52.7,1.6,57.5,25.7,7.8,5,2.3,20269753,24179514,709271,22384520,11919448,4072164,2830796,2533068
남부순환로208길,7,70,46047795,43.6,56.4,5,41.1,32.9,11.6,7,2.2,18387020,23514401,1585880,14626573,15097010,5443100,3809086,1339772
남부순환로230길,17,196.6666667,101633124,35.6,64.4,2.5,60.8,19.4,7.8,7.6,2,39878367,61754757,2208003,56677432,22887174,8737945,8107590,3014980
남부순환로234길,5,10,10653125,18.9,81.1,0.9,49.5,31.6,13.5,4.5,0,2074589,8578536,83949,5133480,3666472,1246642,522582,0
남부순환로248길,6,144,45509223,46.3,53.7,1.8,33.1,29,21.5,9.7,4.9,20404753,25104470,831622,14210042,12891615,10575938,4815685,2184321
남부순환로272길,3,81,18146013,50.2,49.8,0.2,33.2,32.5,13.9,13.7,6.5,8240960,7529061,19868,4832469,5084164,2350033,2345494,1137995
남부순환로317길,3,68,78770043,41.2,58.8,3.2,40.5,25.4,20.8,7.8,2.2,31199336,39121001,2013143,26175191,18970895,16284994,5582173,1293942
남부순환로323길,2,199,75438983,41.5,58.5,3.3,35.5,30.1,16.1,8.4,6.7,19806063,29276783,1335212,15027730,14838745,9211370,5197419,3472370
남부순환로333길,7,33.5,32710293,49.8,50.2,0.1,38.1,35.5,17.7,7,1.7,16529426,12229794,14865,9787939,10387897,6071280,1755192,742047
남부순환로337가길,3,33,7150391,26.2,73.8,2.6,37.5,37.5,17.5,3.6,1.4,1355060,5795331,83263,2774199,2528901,1383631,247340,133057
남부순환로350길,15,239,163829025,46.1,53.9,2.3,39.7,27.5,13.4,10.6,6.5,66976304,72199454,2757090,48513672,35650889,20745115,18270939,13238054
남부순환로356길,10,192,35982707,53.1,46.9,1,34.9,35.6,16.9,8.9,2.8,13758871,12491851,142478,6543057,7922341,7779112,3002485,861249
남부순환로40길,4,194,3121077,63.2,36.8,0,14.4,13.8,22.4,31.6,17.8,2420502,700575,0,350289,944256,685587,523392,617553
남부순환로59길,5,51,11064659,46.5,53.5,1.3,30.2,23.3,25.3,14.6,5.3,5193370,5871289,91971,2635467,2259351,3044452,2234592,798826
남부순환로70길,5,33,33739818,52.1,47.9,7.2,39.3,23,18.7,8.5,3.2,17504575,16235243,2276345,13255548,7577219,6409432,3249303,971971
남부순환로95길,5,39,12836143,36.4,63.6,6.2,32,28.4,17.8,9.1,6.4,4423636,7719575,629820,3662885,3328376,2400011,1158776,963345
남부순환로97길,9,175,82994955,37.5,62.5,5.7,40.3,27.8,14.7,8.1,3.4,30941735,52053220,3859645,31315926,23465336,13340375,7828814,3184859
남현2길,2,6,25143876,41.8,58.2,0.8,39.2,38.1,14.9,5.6,1.4,8111856,11533275,94896,6994541,7828497,3031029,1377643,318527
남현3길,2,30,1267553,44.3,55.7,0,23.1,19.3,11.4,31,15.2,600537,597480,0,324503,182119,121812,240314,329268
남현4길,1,38,10853508,45.6,54.4,2,25.3,28.6,24,16.3,3.8,4804971,5166258,144237,2173048,3049110,2504748,1649626,450461
남현길,4,114,21670135,45,55,1,29.3,30.9,20.6,13.7,4.5,9096615,10849402,157751,5229741,6197172,4431708,2866505,1063142
노량진로6길,11,89.33333333,28509859,43.8,56.2,1.2,39.2,28.4,19.2,10.4,1.6,11251534,14585921,247555,9029936,7730972,5307916,3011737,509340
노량진로8길,21,131.3333333,66874227,48.1,51.9,1,35.6,30.7,18.9,11.5,2.4,28286748,31302237,444414,17405907,18786678,12688509,8511611,1751874
노원로1길,5,140,22571996,33,67,1.4,42.1,16.8,25,11.9,2.8,7879089,13094014,135807,7767293,3350933,5398803,3655798,664472
노해로17길,2,64,2103394,22.6,77.4,7.7,26.4,36.1,12.4,9.7,7.7,664857,1438537,174628,307495,654452,278488,511116,177215
노해로35길,1,36,4880165,40.5,59.5,2.4,41.6,33.2,13.1,7.2,2.4,1808264,2742975,94215,1592562,1738017,631405,357851,137190
노해로41길,4,63,5912514,39.7,60.3,1.9,8.9,21.2,41.4,26.6,0,3402990,2180952,42857,3.00E+05,957143,3502990,780952,0
노해로65길,3,102,29847354,43.9,56.1,2.5,33.7,27.6,21.5,11.8,2.9,13023689,14387245,477083,7604221,7537423,6720062,3817902,1254244
노해로70길,1,50,5808475,45.9,54.1,0.9,10,29.1,36.6,20,3.4,2164972,2865537,47458,612429,1191525,1920339,1098305,160452
노해로8가길,3,41,38979091,51.4,48.6,3,36.6,37.1,16.2,4.8,2.2,19786220,19192871,1269556,14690852,13989881,6518262,1562897,947643
녹사평대로26길,17,202.0833333,62889006,37.4,62.6,0.8,42.1,33.5,12.4,8.3,2.8,20682492,36032353,340418,24275681,18930095,7377697,4210236,1580720
녹사평대로40길,10,76.5,27697043,32.5,67.5,0.8,62.3,24.9,5.5,5.6,0.9,8959102,16052267,190515,15276997,6434831,1514824,1367954,226248
녹사평대로46가길,25,125.1666667,83345009,33.9,66.1,1.8,62,21.1,9.4,4.6,1,24292551,49946564,1594705,49073423,15730275,4279370,2883370,677972
녹사평대로46길,30,184.6666667,218536731,39.8,60.2,2.4,50.3,25.4,14.3,6.2,1.4,75620431,122788790,5038593,110665027,45122652,23916465,10919854,2746630
논현로5길,9,80.5,22381168,51.3,48.7,0.3,27.5,31.5,20.5,15.5,4.7,7325777,7812069,23474,3566542,5490740,2795758,2541302,720030
논현로8길,8,215,38757735,35.9,64.1,18.6,19.9,14.1,30.5,11.3,5.6,12024078,21303947,5672463,6050288,5537420,9454303,4249678,2363873
능동로19길,4,64,12887792,47.6,52.4,0,67.7,18,7,6,1.3,5346673,6584080,0,7955722,2239896,796757,738378,2.00E+05
능동로4길,10,24,16502997,27.3,72.7,0.2,21.6,25.7,35.1,13,4.5,3727590,11429811,28931,2640878,3797339,5304535,2204402,1181315
다동길,9,235,162765855,60.1,39.9,0.3,29.7,34.5,23.6,9.9,2,63942483,49159217,504878,31050576,39792038,27293548,11255295,3205366
다산로14길,3,119,28549194,34.8,65.2,0,51.5,25.1,16,5.6,1.8,8980645,16866129,0,12218549,6841935,4894355,1341936,550000
다산로36길,5,51,28987955,47.3,52.7,3.2,28.5,44.6,14,7,2.8,10344248,12150442,776106,6406195,9401770,3162832,1679646,1068142
다산로42나길,2,83,26849005,38.5,61.5,1.5,21.5,45.4,18.4,11.3,1.9,9039362,14590759,361500,5626242,9184190,4433354,3643750,381086
다산로44길,4,28,7247323,42.3,57.7,1.7,37.3,28.1,22,7.3,3.6,2360888,3679985,57693,2056716,1824616,1463122,428403,210326
다산로8길,1,58.5,36493969,41.7,58.3,2.8,20,20.3,19.6,25.5,11.8,12512908,18574711,584983,4838937,4876263,6391304,10964400,3431733
답십리로30길,2,36,43595162,37.6,62.4,1.6,45.6,37,7.1,5.7,3,16810853,26784309,566608,16538465,18244713,3539338,3428752,1277286
답십리로56길,2,50,7164341,52.7,47.3,0,21.2,35.3,11.4,30.4,1.6,922220,1510135,0,197930,423650,726206,602112,482456
답십리로65길,3,97,12769761,42.3,57.7,4.3,25.5,27.8,26,11.1,5.2,4846373,5974286,291754,2332858,3208050,2898902,1558552,530547
답십리로66길,1,42,25872281,40,60,1.9,22.2,41.3,20.8,9.8,4,8909109,13889479,380565,5118185,9166281,4743803,2507545,882208
답십리로68길,8,93,34917602,45.2,54.8,1.3,24.5,41.8,20.1,9,3.3,12486232,17936512,380565,6841534,12492373,6796348,2891979,1019944
