상권코드명,유사업종점포수,평균영업개월수,당월매출금액,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액
가락로16길,1,5,1944040,52.8,47.2,0,26.7,16.7,13.8,39.2,3.5,887644,846726,0,478384,271487,260606,685735,38158
가락로28길,1,2,6087060,54.3,45.7,0,30.5,30.7,16.3,15.5,7,2760796,2719825,0,1394945,1424465,973368,1200891,486953
가락로36길,5,249,18432122,44.6,55.4,2.6,39.2,30.2,16.3,9.4,2.3,7176844,9552320,348962,5825097,5152192,3099232,1845889,457791
가로공원로76길,7,167,50351093,33.3,66.7,2.3,28.6,34.6,21.2,9.1,4.3,17695505,32655588,733281,13589373,16385340,11503057,5284861,2855181
가마산로61길,1,16,4847107,38.4,61.6,4.7,19.6,42.1,18.6,12.1,2.9,1785555,3061552,202138,939101,1949792,972790,606415,176871
가마산로88길,1,25,1870491,63.8,36.2,0,11.2,54.7,27.1,7,0,869565,626324,0,227465,673399,459503,135523,0
가마산로89길,3,47,28853027,50.6,49.4,4.6,27.5,27.3,17.4,18,5.2,13168816,13151447,952632,6447631,6705000,5114079,5654211,1446711
가산로3길,9,26,20491979,50.9,49.1,0,30.8,40.5,14.2,11.1,3.4,9586764,7962912,0,5264475,7121632,2636845,2011755,514972
가산로5길,5,152.5,30525983,54.1,45.9,1.3,37.3,32.1,18.3,8.8,2.1,14587444,12941649,256364,9645891,8873036,5505004,2681871,566930
가재울로14길,2,6,2099505,33.3,66.7,0,11,27.5,36,18,7.5,838066,712283,0,189403,250333,689993,315572,105048
가재울로4길,2,117,6933775,0,100,0,0,50,50,0,0,0,2357616,0,0,39735,2317881,0,0
가재울로6길,3,3,740196,18.5,81.5,0,18.5,72.2,0,9.3,0,215686,524510,0,107843,598039,0,34314,0
가좌로6길,2,28,9580481,43,57,9,17.5,18,30.9,7.7,16.9,3997969,5582512,526426,1298523,1670884,3482671,1023226,1578751
