상권코드명,상권코드,기준년월코드,서비스업종코드.x,서비스업종코드명.x,평균영업개월수,X1년이하생존율,X1.2년생존율,X2.3년생존율,X3.5년생존율,X5년이상생존율,당월매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수.x,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수,서비스업종코드.y,서비스업종코드명.y,점포수.y,유사업종점포수,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,구
가좌로9길,20,201803,CS100009,커피음료,53,100,100,100,100,100,9119735,3411533,5708202,76995.5,4152147,2538275.5,900418.5,1201493,250405.5,2,1665,802,863,185,227,317,274,265,397,CS100009,커피음료,4,4,106,42,64,1,16,15,38,20,16,46336,23852,22485,3212,9528,8607,8335,9063,7592,은평구
갈현로1길,21,201803,CS100009,커피음료,30,0,0,0,0,0,24757971,12460916,12297055,442949,4491586,9370752,7634874,2349422,468388,1,2242,1085,1157,383,291,362,401,352,453,CS100009,커피음료,2,2,77,22,55,0,8,13,14,21,21,38587,18717,19870,3145,7135,8054,6558,7576,6119,은평구
갈현로23길,22,201803,CS100009,커피음료,42,0,0,0,0,0,2819125,1077434,1531288,117130,404425,1110790,391052,420631,164694,1,3528,1693,1835,597,469,564,583,594,721,CS100009,커피음료,1,1,63,17,46,0,6,8,14,12,23,21290,8485,12806,7303,2910,3357,2901,2855,1965,은평구
갈현로29길,23,201803,CS100009,커피음료,27,0,0,0,0,0,12461582,4735893,7725689,486267.5,3178895,3061327,4574134.5,905219,255739,2,3309,1605,1704,632,473,439,557,575,633,CS100009,커피음료,2,2,94,37,57,0,5,16,34,19,20,40250,18091,22159,12059,6287,6815,5928,5109,4051,은평구
갈현로29길,23,201803,CS100009,커피음료,27,0,0,0,0,0,12461582,4735893,7725689,486267.5,3178895,3061327,4574134.5,905219,255739,2,3309,1605,1704,632,473,439,557,575,633,CS100009,커피음료,2,2,94,37,57,0,5,16,34,19,20,40250,18091,22159,12059,6287,6815,5928,5109,4051,은평구
갈현로33길,24,201803,CS100009,커피음료,29,0,0,0,0,0,3404371,1475023,1929348,14623,836244,1228423.5,1105733,196748,22599.5,2,3430,1709,1721,596,519,505,567,576,667,CS100009,커피음료,4,4,82,30,52,0,18,15,32,16,1,72888,33132,39756,21967,11905,9860,9691,10206,9260,은평구
갈현로33길,24,201803,CS100009,커피음료,29,0,0,0,0,0,3404371,1475023,1929348,14623,836244,1228423.5,1105733,196748,22599.5,2,3430,1709,1721,596,519,505,567,576,667,CS100009,커피음료,4,4,82,30,52,0,18,15,32,16,1,72888,33132,39756,21967,11905,9860,9691,10206,9260,은평구
갈현로3길,26,201803,CS100009,커피음료,14,0,0,0,0,0,643077,231172,411905,0,46760,231172,162870,49912,152363,1,2761,1355,1406,494,331,457,486,424,569,CS100009,커피음료,2,2,83,38,45,2,18,17,21,20,5,34317,16386,17931,2922,6072,6975,6131,6917,5300,은평구
갈현로41길,27,201803,CS100009,커피음료,137,0,0,0,0,0,15358282,5250025,10108257,321567,3575135.5,3317074,3919878.5,2676255,1548372,2,2864,1435,1429,373,423,348,418,509,793,CS100009,커피음료,1,1,102,33,69,0,11,19,26,33,13,18084,8166,9918,1166,6060,2788,2511,3095,2463,은평구
갈현로4길,29,201803,CS100009,커피음료,41,0,0,0,0,0,5319809.333,1248870.667,4070938.667,29029.66667,657488,1027877.333,965337.6667,485509.6667,2154567,3,3905,1855,2050,700,510,663,665,568,799,CS100009,커피음료,4,4,176,78,98,0,28,37,55,33,23,93219,43601,49618,10301,19334,18473,16701,15883,12527,은평구
갈현로4길,29,201803,CS100009,커피음료,41,0,0,0,0,0,5319809.333,1248870.667,4070938.667,29029.66667,657488,1027877.333,965337.6667,485509.6667,2154567,3,3905,1855,2050,700,510,663,665,568,799,CS100009,커피음료,4,4,176,78,98,0,28,37,55,33,23,93219,43601,49618,10301,19334,18473,16701,15883,12527,은평구
강남대로107길,30,201803,CS100009,커피음료,16,0,0,0,0,0,8546546.5,3260575.5,3780216,235971,2826978.5,1755036,1040287.5,789208.5,393309.5,2,148,71,77,10,34,36,21,22,25,CS100009,커피음료,2,2,713,501,212,23,181,252,158,67,32,9464,5095,4369,421,2396,2333,1933,1361,1020,서초구
강남대로83길,31,201803,CS100009,커피음료,60.5,100,100,100,100,100,3924801.25,1480376.25,1703351.75,34448.75,1277243.75,1162543,452165,188248.75,69079,4,1141,515,626,66,246,338,172,138,181,CS100009,커피음료,5,5,39,26,13,1,4,11,13,5,5,17250,9271,7980,94,6922,4884,2638,1882,831,서초구
강남대로89길,32,201803,CS100009,커피음료,10,0,0,0,0,0,4895530,2018218,2003818,29331,1458992,1216914.5,768409,435941.5,112449,2,152,79,73,11,18,38,35,25,25,CS100009,커피음료,1,2,121,87,34,0,9,18,16,20,58,70595,34797,35798,3469,26150,20160,9940,6162,4714,서초구
강남대로8길,33,201803,CS100009,커피음료,370.5,66.67,66.67,66.67,66.67,66.67,6519401.308,2579167.846,2425644.846,32027.61538,1223852,1813632.462,1224645.615,495246.2308,215408.8462,13,6807,3353,3454,961,1095,1540,1113,972,1126,CS100009,커피음료,18,19,3466,1957,1509,4,416,791,932,760,563,177463,102681,74782,4656,34997,45670,38755,32367,21018,서초구
강동대로9길,35,201803,CS100009,커피음료,129,0,0,0,0,0,4397308.333,1703149.333,2222420,6693.666667,1121740.333,1321126.667,843191.6667,445956.6667,186860,3,536,260,276,79,84,110,80,76,107,CS100009,커피음료,5,5,222,90,132,4,33,56,54,41,34,19995,9360,10635,1491,3870,3939,3684,3694,3317,송파구
강서로17다길,36,201803,CS100009,커피음료,75,100,100,0,0,0,16019618.75,5716815,9376917,405928.5,4363615.75,4952035.5,3325760,1470372.5,576020,4,7629,3772,3857,1037,1149,1589,1114,1232,1508,CS100009,커피음료,3,5,232,94,138,0,33,49,57,65,28,61227,28780,32447,3144,11088,14332,10684,10734,11245,강서구
강서로18길,37,201803,CS100009,커피음료,83,100,100,0,0,0,3461782,1385438.667,1841241.333,220948,1325332,761987,500014.6667,327147,91251.66667,3,7462,3641,3821,1233,1075,1454,1273,1008,1419,CS100009,커피음료,3,4,117,37,80,0,11,21,43,29,13,56172,25316,30855,2757,13294,14109,9713,7745,8554,강서구
강서로18길,37,201803,CS100009,커피음료,83,100,100,0,0,0,3461782,1385438.667,1841241.333,220948,1325332,761987,500014.6667,327147,91251.66667,3,7462,3641,3821,1233,1075,1454,1273,1008,1419,CS100009,커피음료,3,4,117,37,80,0,11,21,43,29,13,56172,25316,30855,2757,13294,14109,9713,7745,8554,강서구
강서로18다길,38,201803,CS100009,커피음료,41,100,100,0,0,0,7790678,2498305,4462712,101695,1954237,2946610,1292373,542373,123729,1,1181,546,635,151,144,239,194,175,278,CS100009,커피음료,2,3,44,11,33,0,1,7,22,13,1,34179,16156,18023,2425,7679,7908,5609,5326,5232,강서구
강서로39길,39,201803,CS100009,커피음료,139,0,0,0,0,0,4696532.333,2322277.667,2081300.667,41463.33333,1546341.333,895122,838753.3333,762510,319388,3,563,317,246,56,77,76,93,114,147,CS100009,커피음료,3,3,128,50,78,1,16,16,32,34,29,35385,16810,18575,2242,7959,7138,5580,6456,6009,강서구
강서로45길,40,201803,CS100009,커피음료,438,33.33,0,0,0,0,13362614.55,4807533.727,7850344.273,781530.9091,3422732.455,3071333,3393640.909,1464687,523954.1818,11,2935,1425,1510,612,419,448,517,439,500,CS100009,커피음료,7,11,256,107,149,1,33,47,75,66,34,86432,40861,45571,20866,13855,14466,15401,11921,9922,강서구
강서로45길,40,201803,CS100009,커피음료,438,33.33,0,0,0,0,13362614.55,4807533.727,7850344.273,781530.9091,3422732.455,3071333,3393640.909,1464687,523954.1818,11,2935,1425,1510,612,419,448,517,439,500,CS100009,커피음료,7,11,256,107,149,1,33,47,75,66,34,86432,40861,45571,20866,13855,14466,15401,11921,9922,강서구
강서로47가길,41,201803,CS100009,커피음료,127,100,100,100,100,100,7222338.833,2749493.833,3891992.333,110217.1667,973017.1667,1837645.5,2134494.5,1047988.5,538123.3333,6,991,486,505,197,146,127,185,175,161,CS100009,커피음료,5,5,631,150,481,1,144,211,152,100,23,38477,14972,23506,14521,4304,4934,6563,5171,2984,강서구
강서로47길,42,201803,CS100009,커피음료,301,100,100,100,100,100,6258843.5,2097967.8,3622500.9,330969.9,1013206.4,1543497,1764565.2,778941.2,289289.3,10,2583,1220,1363,506,365,342,491,434,445,CS100009,커피음료,9,11,211,86,125,0,27,50,72,43,19,54628,22208,32420,18068,7502,7892,9757,6957,4453,강서구
강서로48길,43,201803,CS100009,커피음료,93,100,100,100,100,100,6297243,1816820.333,4007440,275828.6667,1420303.333,1574291,1373239.333,913397,267202,3,1150,543,607,263,160,153,229,180,165,CS100009,커피음료,2,3,112,59,53,0,12,25,24,37,14,26544,12994,13550,5466,4730,4914,4942,3960,2531,강서구
강서로74길,45,201803,CS100009,커피음료,91,0,0,0,0,0,9349199,4086302.25,3688068.5,87308.5,2044455.75,2759396.75,1609351,946165,327694,4,224,120,104,28,36,71,38,21,30,CS100009,커피음료,1,3,3220,1402,1818,33,329,491,696,1250,421,5239,2566,2673,287,1893,1235,730,676,418,강서구
강서로8길,46,201803,CS100009,커피음료,6,0,0,0,0,0,3313315,1249702,1805872,19503.5,1079806,1120733,540758.5,168105.5,126667.5,2,4856,2345,2511,669,652,967,716,762,1090,CS100009,커피음료,3,3,138,58,80,0,17,38,39,28,16,138166,70366,67800,8025,26138,31831,26144,25268,20760,강서구
강서로8길,46,201803,CS100009,커피음료,6,0,0,0,0,0,3313315,1249702,1805872,19503.5,1079806,1120733,540758.5,168105.5,126667.5,2,4856,2345,2511,669,652,967,716,762,1090,CS100009,커피음료,3,3,138,58,80,0,17,38,39,28,16,138166,70366,67800,8025,26138,31831,26144,25268,20760,강서구
강서로8길,46,201803,CS100009,커피음료,6,0,0,0,0,0,3313315,1249702,1805872,19503.5,1079806,1120733,540758.5,168105.5,126667.5,2,4856,2345,2511,669,652,967,716,762,1090,CS100009,커피음료,3,3,138,58,80,0,17,38,39,28,16,138166,70366,67800,8025,26138,31831,26144,25268,20760,강서구
개봉로2길,47,201803,CS100009,커피음료,94,0,0,0,0,0,4762835.25,1909668.75,2557589.25,1598.25,621032.5,1433728.25,1770181.25,540146.75,100571,4,2591,1240,1351,446,323,481,405,379,557,CS100009,커피음료,3,4,3289,1827,1462,1,62,75,146,410,2595,33201,16432,16769,2457,4715,7056,6286,6303,6384,구로구
개봉로2길,47,201803,CS100009,커피음료,94,0,0,0,0,0,4762835.25,1909668.75,2557589.25,1598.25,621032.5,1433728.25,1770181.25,540146.75,100571,4,2591,1240,1351,446,323,481,405,379,557,CS100009,커피음료,3,4,3289,1827,1462,1,62,75,146,410,2595,33201,16432,16769,2457,4715,7056,6286,6303,6384,구로구
개봉로3길,48,201803,CS100009,커피음료,278,50,50,50,50,50,5882208.364,2492647.909,3389560.455,106031.5455,1098423.636,1950405.545,1663735,861398.8182,202213.8182,11,8859,4342,4517,1415,1173,1410,1473,1435,1953,CS100009,커피음료,7,11,281,121,160,0,41,41,104,64,31,65969,32669,33300,5196,9913,13934,12923,12681,11324,구로구
개포로109길,50,201803,CS100009,커피음료,37,100,0,0,0,0,23116020.5,10593748.5,9472995,145099,3817156,7582939,4973366.5,2693528.5,854655.5,2,573,273,300,86,69,152,90,90,86,CS100009,커피음료,3,4,11545,9262,2283,115,3872,3699,1965,1366,528,1595,913,683,86,169,301,353,400,286,강남구
