"상권코드","기준년월코드","상권코드명","서비스업종코드.x","서비스업종코드명.x","평균영업개월수","X1년이하생존율","X1.2년생존율","X2.3년생존율","X3.5년생존율","X5년이상생존율","당월매출금액","남성매출비율","여성매출비율","연령대10매출비율","연령대20매출비율","연령대30매출비율","연령대40매출비율","연령대50매출비율","연령대60이상매출비율","남성매출금액","여성매출금액","연령대10매출금액","연령대20매출금액","연령대30매출금액","연령대40매출금액","연령대50매출금액","연령대60이상매출금액","점포수.x","총상주인구수","남성상주인구수","여성상주인구수","연령대10상주인구수","연령대20상주인구수","연령대30상주인구수","연령대40상주인구수","연령대50상주인구수","연령대60이상상주인구수","서비스업종코드.y","서비스업종코드명.y","점포수.y","유사업종점포수","총직장인구수","남성직장인구수","여성직장인구수","연령대10직장인구수","연령대20직장인구수","연령대30직장인구수","연령대40직장인구수","연령대50직장인구수","연령대60이상직장인구수","총유동인구수","남성유동인구수","여성유동인구수","연령대10유동인구수","연령대20유동인구수","연령대30유동인구수","연령대40유동인구수","연령대50유동인구수","연령대60이상유동인구수"
1,201804,"가락로16길","CS100009","커피음료",5,50,0,0,0,0,1944040,52.8,47.2,0,26.7,16.7,13.8,39.2,3.5,887644,846726,0,478384,271487,260606,685735,38158,1,599,302,297,72,91,99,90,110,137,"CS100009","커피음료",1,1,844,488,356,2,62,117,143,189,331,1312,906,405,1,189,223,285,400,213
2,201804,"가락로28길","CS100009","커피음료",2,0,0,0,0,0,6087060,54.3,45.7,0,30.5,30.7,16.3,15.5,7,2760796,2719825,0,1394945,1424465,973368,1200891,486953,1,293,127,166,51,38,45,49,48,62,"CS100009","커피음료",1,1,156,69,87,0,16,32,52,43,13,31355,15201,16154,3270,5794,5204,5058,6430,5599
3,201804,"가락로36길","CS100009","커피음료",249,100,100,100,0,0,18432122,44.6,55.4,2.6,39.2,30.2,16.3,9.4,2.3,7176844,9552320,348962,5825097,5152192,3099232,1845889,457791,5,2188,1110,1078,441,295,402,450,294,306,"CS100009","커피음료",4,5,347,203,144,5,45,68,80,88,61,25511,13348,12162,3143,4640,5121,4443,4391,3772
4,201804,"가로공원로76길","CS100009","커피음료",167,100,100,50,50,50,50351093,33.3,66.7,2.3,28.6,34.6,21.2,9.1,4.3,17695505,32655588,733281,13589373,16385340,11503057,5284861,2855181,5,2043,969,1074,339,270,395,317,302,420,"CS100009","커피음료",3,7,222,111,111,9,31,49,54,47,32,44650,21443,23207,2525,7319,9427,8585,8848,7946
7,201804,"가마산로61길","CS100009","커피음료",16,0,0,0,0,0,4847107,38.4,61.6,4.7,19.6,42.1,18.6,12.1,2.9,1785555,3061552,202138,939101,1949792,972790,606415,176871,1,1362,702,660,165,211,154,221,269,342,"CS100009","커피음료",1,1,39,30,9,0,4,9,6,14,6,42027,21468,20559,2329,9956,7706,8031,9340,4665
8,201804,"가마산로88길","CS100009","커피음료",25,0,0,0,0,0,1870491,63.8,36.2,0,11.2,54.7,27.1,7,0,869565,626324,0,227465,673399,459503,135523,0,1,322,159,163,24,57,71,45,59,66,"CS100009","커피음료",1,1,236,131,105,2,25,47,52,60,50,18802,11206,7596,2030,3483,3002,3444,3765,3079
9,201804,"가마산로89길","CS100009","커피음료",47,0,0,0,0,0,28853027,50.6,49.4,4.6,27.5,27.3,17.4,18,5.2,13168816,13151447,952632,6447631,6705000,5114079,5654211,1446711,2,307,155,152,31,71,48,48,48,61,"CS100009","커피음료",2,3,148,77,71,0,7,11,22,39,69,20544,10249,10295,2131,4210,3280,3893,3967,3063
10,201804,"가산로3길","CS100009","커피음료",26,0,0,0,0,0,20491979,50.9,49.1,0,30.8,40.5,14.2,11.1,3.4,9586764,7962912,0,5264475,7121632,2636845,2011755,514972,4,2945,1760,1185,185,769,932,438,322,299,"CS100009","커피음료",7,9,2402,1900,502,14,319,553,651,611,254,40807,24473,16334,132,12379,10515,7455,6567,3759
11,201804,"가산로5길","CS100009","커피음료",152.5,0,0,0,0,0,30525983,54.1,45.9,1.3,37.3,32.1,18.3,8.8,2.1,14587444,12941649,256364,9645891,8873036,5505004,2681871,566930,6,1685,1002,683,136,432,453,220,218,226,"CS100009","커피음료",5,5,539,389,150,7,71,137,164,109,51,18890,11720,7170,35,6270,5287,2986,2974,1338
13,201804,"가재울로14길","CS100009","커피음료",6,0,0,0,0,0,2099505,33.3,66.7,0,11,27.5,36,18,7.5,838066,712283,0,189403,250333,689993,315572,105048,1,433,207,226,54,65,56,61,79,118,"CS100009","커피음료",2,2,56,35,21,0,5,11,18,17,5,973,973,0,0,5,141,272,450,104
14,201804,"가재울로4길","CS100009","커피음료",117,100,100,100,0,0,6933775,0,100,0,0,50,50,0,0,0,2357616,0,0,39735,2317881,0,0,1,1043,509,534,138,155,141,175,155,279,"CS100009","커피음료",1,2,54,37,17,0,6,9,20,9,10,36123,19658,16465,1632,7524,7448,6859,6501,6159
15,201804,"가재울로6길","CS100009","커피음료",3,100,100,100,0,0,740196,18.5,81.5,0,18.5,72.2,0,9.3,0,215686,524510,0,107843,598039,0,34314,0,1,1274,655,619,176,170,188,211,193,336,"CS100009","커피음료",2,3,66,28,38,0,8,11,20,12,15,52249,28762,23487,3204,11707,9831,9512,9427,8569
17,201804,"가좌로6길","CS100009","커피음료",28,0,0,0,0,0,9580481,43,57,9,17.5,18,30.9,7.7,16.9,3997969,5582512,526426,1298523,1670884,3482671,1023226,1578751,2,1352,666,686,182,187,154,191,272,366,"CS100009","커피음료",2,2,136,76,60,1,6,18,36,52,23,41507,21893,19614,4882,5809,8770,8122,7338,6586
18,201804,"가좌로7길","CS100009","커피음료",176,0,0,0,0,0,11767793,45.4,54.6,4,36.9,27.2,19.2,10.6,2,5305217,5740860,455343,4362567,2661460,2126496,1189846,250367,3,2475,1257,1218,324,335,276,395,442,703,"CS100009","커피음료",3,4,184,109,75,0,19,54,46,41,24,105258,51705,53553,12040,16678,21523,18963,19285,16769
19,201804,"가좌로7다길","CS100009","커피음료",35,0,0,0,0,0,1366906,29.1,70.9,4,12.7,41.6,12.7,28.9,0,377698,852518,25180,147482,503597,122302,431655,0,1,2906,1438,1468,398,383,336,468,498,823,"CS100009","커피음료",1,1,49,24,25,0,3,17,16,11,2,66656,31696,34960,7357,12534,13600,11497,11394,10273
20,201804,"가좌로9길","CS100009","커피음료",55,100,100,100,100,100,34204744,35.2,64.8,2.4,51.9,18.5,12.4,8.8,6,10272836,23931908,450959,18094568,6252711,4644211,2540905,2221390,2,1665,802,863,185,227,317,274,265,397,"CS100009","커피음료",4,5,106,42,64,1,16,15,38,20,16,46392,23829,22563,3030,9998,8150,8339,9123,7753
21,201804,"갈현로1길","CS100009","커피음료",31,0,0,0,0,0,24235507,49.3,50.7,3.5,23.5,32.4,25.9,13.9,0.8,10477536,11784783,702174,5232609,6957971,5442754,3795652,131159,1,2242,1085,1157,383,291,362,401,352,453,"CS100009","커피음료",2,3,77,22,55,0,8,13,14,21,21,31398,15420,15978,1440,5550,7466,5637,5429,5877
