"상권코드","기준년월코드","상권코드명","서비스업종코드.x","서비스업종코드명.x","평균영업개월수","X1년이하생존율","X1.2년생존율","X2.3년생존율","X3.5년생존율","X5년이상생존율","당월매출금액","남성매출비율","여성매출비율","연령대10매출비율","연령대20매출비율","연령대30매출비율","연령대40매출비율","연령대50매출비율","연령대60이상매출비율","남성매출금액","여성매출금액","연령대10매출금액","연령대20매출금액","연령대30매출금액","연령대40매출금액","연령대50매출금액","연령대60이상매출금액","점포수.x","총상주인구수","남성상주인구수","여성상주인구수","연령대10상주인구수","연령대20상주인구수","연령대30상주인구수","연령대40상주인구수","연령대50상주인구수","연령대60이상상주인구수","서비스업종코드.y","서비스업종코드명.y","점포수.y","유사업종점포수","총직장인구수","남성직장인구수","여성직장인구수","연령대10직장인구수","연령대20직장인구수","연령대30직장인구수","연령대40직장인구수","연령대50직장인구수","연령대60이상직장인구수","총유동인구수","남성유동인구수","여성유동인구수","연령대10유동인구수","연령대20유동인구수","연령대30유동인구수","연령대40유동인구수","연령대50유동인구수","연령대60이상유동인구수"
22,201804,"갈현로23길","CS100009","커피음료",43,0,0,0,0,0,2498740,30.5,69.5,9.7,26.5,28.8,25.3,7.6,2.1,729792,1768948,200209,515651,844636,671595,190421,76228,1,3528,1693,1835,597,469,564,583,594,721,"CS100009","커피음료",1,1,63,17,46,0,6,8,14,12,23,18547,7919,10628,5045,2785,2964,2990,2531,2231
23,201804,"갈현로29길","CS100009","커피음료",29,0,0,0,0,0,23304950,31.8,68.2,4.6,23.4,34,30.4,4.5,3,7189162,16115788,916864,5674953,7449472,7487539,1122342,653780,2,3309,1605,1704,632,473,439,557,575,633,"CS100009","커피음료",2,2,94,37,57,0,5,16,34,19,20,33315,14091,19224,7213,5203,5767,5891,5008,4232
24,201804,"갈현로33길","CS100009","커피음료",31,0,0,0,0,0,6048963,47.2,52.8,0.7,24.6,49.3,23.9,0.7,0.7,2645259,3403704,65332,1180884,2968583,1710167,20000,103997,2,3430,1709,1721,596,519,505,567,576,667,"CS100009","커피음료",4,5,82,30,52,0,18,15,32,16,1,59180,26007,33172,13992,9193,8864,9128,9075,8929
26,201804,"갈현로3길","CS100009","커피음료",15,0,0,0,0,0,1117436,34.6,65.4,0,7.5,30.8,34.6,19.5,7.5,379487,499487,0,51282,358974,261026,158974,48718,1,2761,1355,1406,494,331,457,486,424,569,"CS100009","커피음료",2,2,83,38,45,2,18,17,21,20,5,28061,13931,14130,1277,3937,6915,5034,5238,5661
27,201804,"갈현로41길","CS100009","커피음료",139,0,0,0,0,0,31239551,31.2,68.8,1.9,26.2,25.2,22.4,15.2,9.1,9705303,21534248,476870,7480693,6852067,7923060,5415401,3091460,2,2864,1435,1429,373,423,348,418,509,793,"CS100009","커피음료",1,1,102,33,69,0,11,19,26,33,13,16032,8428,7604,946,5185,2906,2298,2163,2533
29,201804,"갈현로4길","CS100009","커피음료",44,0,0,0,0,0,6939327,25.7,74.3,1.9,14.3,23.9,38.9,17.4,3.6,1559590,4771005,129101,808184,1411784,2456840,1268732,255955,3,3905,1855,2050,700,510,663,665,568,799,"CS100009","커피음료",4,6,176,78,98,0,28,37,55,33,23,116809,55513,61297,11430,23478,22505,21717,21026,16654
30,201804,"강남대로107길","CS100009","커피음료",18,0,0,0,0,0,13296403,40.3,59.7,0,43.2,28.6,18,5.3,4.9,4423741,5834533,0,3936691,3352518,1786330,581295,601439,2,148,71,77,10,34,36,21,22,25,"CS100009","커피음료",2,2,713,501,212,23,181,252,158,67,32,8523,4448,4075,361,2194,2214,1761,1154,840
31,201804,"강남대로83길","CS100009","커피음료",59.5,100,100,100,100,100,21085146,51.3,48.7,0.3,43.5,35.5,12.9,5.5,2.3,9490960,8284906,39370,8116308,5916136,2290269,993439,420344,5,1141,515,626,66,246,338,172,138,181,"CS100009","커피음료",7,8,39,26,13,1,4,11,13,5,5,16272,9241,7031,141,5925,4983,2323,1516,1384
32,201804,"강남대로89길","CS100009","커피음료",11,0,0,0,0,0,9890458,51.3,48.7,2.1,40.7,28.8,20.3,4.7,3.3,4807438,3577320,96496,2741053,2785480,1932250,611795,217685,2,152,79,73,11,18,38,35,25,25,"CS100009","커피음료",1,2,121,87,34,0,9,18,16,20,58,73017,36637,36380,3683,27054,19995,11035,6326,4925
33,201804,"강남대로8길","CS100009","커피음료",366,66.67,66.67,66.67,66.67,66.67,85532425,46.3,53.7,0.5,28.7,36.6,22.1,7.7,4.4,30767545,36294570,218633,18033415,24643363,15350782,6164485,2651441,14,6807,3353,3454,961,1095,1540,1113,972,1126,"CS100009","커피음료",19,23,3466,1957,1509,4,416,791,932,760,563,158932,93712,65220,3733,29341,42516,33265,29139,20938
35,201804,"강동대로9길","CS100009","커피음료",131,0,0,0,0,0,15647113,42,58,1.6,20.8,31.4,31.5,11.7,3.1,6726365,7731904,211219,2073187,4431716,5367492,1963002,411652,3,536,260,276,79,84,110,80,76,107,"CS100009","커피음료",7,9,222,90,132,4,33,56,54,41,34,16497,8097,8400,1049,2511,3518,3252,3081,3086
36,201804,"강서로17다길","CS100009","커피음료",78,100,100,0,0,0,59749808,36.3,63.7,4,31.2,33.6,19.5,8.2,3.5,21960037,37789771,1853258,17011741,19648619,12420046,6137074,2679070,4,7629,3772,3857,1037,1149,1589,1114,1232,1508,"CS100009","커피음료",3,7,232,94,138,0,33,49,57,65,28,92829,44758,48072,3786,16916,22402,15884,16977,16863
37,201804,"강서로18길","CS100009","커피음료",86,100,100,0,0,0,10708414,46.9,53.1,1.9,32.6,34.1,19.5,8.2,3.7,4068833,6021219,394935,4190382,2853850,1474563,794307,382017,3,7462,3641,3821,1233,1075,1454,1273,1008,1419,"CS100009","커피음료",3,5,117,37,80,0,11,21,43,29,13,54532,24926,29605,1896,12816,13503,10342,7957,8018
38,201804,"강서로18다길","CS100009","커피음료",42,100,100,0,0,0,5421186,39.8,60.2,2.2,38.7,35.5,17.3,5.3,1,2086441,3026271,68644,1908475,1805932,1063559,244915,21186,1,1181,546,635,151,144,239,194,175,278,"CS100009","커피음료",2,3,44,11,33,0,1,7,22,13,1,31923,15679,16244,1610,7031,7817,5669,5216,4580
39,201804,"강서로39길","CS100009","커피음료",141,0,0,0,0,0,14498009,39.1,60.9,1.6,35.7,27.4,11.9,14.3,9.1,5518334,8125203,175831,4008943,3527642,1580488,1988343,2362291,3,563,317,246,56,77,76,93,114,147,"CS100009","커피음료",3,3,128,50,78,1,16,16,32,34,29,35902,17072,18830,2410,7958,7301,5525,6674,6034
40,201804,"강서로45길","CS100009","커피음료",448,33.33,0,0,0,0,146561595,38.4,61.6,8.5,29.3,23.6,24.4,10.5,3.7,53934297,84391960,10028251,38438122,32132606,35172115,16394383,6160787,11,2935,1425,1510,612,419,448,517,439,500,"CS100009","커피음료",8,14,256,107,149,1,33,47,75,66,34,73188,31740,41448,11475,12211,13362,14642,11467,10030
41,201804,"강서로47가길","CS100009","커피음료",131,100,100,100,100,100,40684847,38.2,61.8,1.5,18.8,28.2,32.6,13.5,5.5,13826783,23341850,428758,7070361,10085578,12260093,5126501,2197347,6,991,486,505,197,146,127,185,175,161,"CS100009","커피음료",5,5,631,150,481,1,144,211,152,100,23,25005,10767,14238,4150,3530,4016,5374,4682,3254
42,201804,"강서로47길","CS100009","커피음료",309,100,100,100,100,100,70732896,36.1,63.9,10.6,21.4,24.8,28.4,12.5,2.3,24537294,38565886,4405238,12474048,17180656,17590270,9352218,2100756,10,2583,1220,1363,506,365,342,491,434,445,"CS100009","커피음료",9,14,211,86,125,0,27,50,72,43,19,38195,17105,21091,6226,6054,6539,8403,6359,4614
43,201804,"강서로48길","CS100009","커피음료",77,100,100,100,100,100,16291007,38.8,61.2,5.3,24.4,25,26.7,16.3,2.3,6421239,8743182,612991,3830056,3717124,4167764,2492047,344439,4,1150,543,607,263,160,153,229,180,165,"CS100009","커피음료",4,7,112,59,53,0,12,25,24,37,14,29147,13730,15417,5577,4594,4699,5589,4736,3952
45,201804,"강서로74길","CS100009","커피음료",92,0,0,0,0,0,35875131,51.8,48.2,1,27,38.2,21.4,9.3,3,15313136,13762901,310305,7478955,11180906,5991412,3229739,884721,4,224,120,104,28,36,71,38,21,30,"CS100009","커피음료",1,5,3220,1402,1818,33,329,491,696,1250,421,5004,2733,2270,210,1876,1318,632,645,323
46,201804,"강서로8길","CS100009","커피음료",8,0,0,0,0,0,8935823,54.2,45.8,0,23.1,38.5,24.6,11.8,2,4171185,4191457,0,2211579,2826715,1525245,1622024,177080,2,4856,2345,2511,669,652,967,716,762,1090,"CS100009","커피음료",3,4,138,58,80,0,17,38,39,28,16,143515,73426,70089,8965,28207,32679,26216,25655,21792
47,201804,"개봉로2길","CS100009","커피음료",98,0,0,0,0,0,18786406,48.5,51.5,0,18.6,37.3,33.4,8.8,1.9,8323899,9228759,0,3108153,5898948,6548360,1714842,282354,4,2591,1240,1351,446,323,481,405,379,557,"CS100009","커피음료",3,4,3289,1827,1462,1,62,75,146,410,2595,32633,16206,16427,2326,4898,6408,6276,6478,6248
48,201804,"개봉로3길","CS100009","커피음료",286,50,50,50,50,50,65838254,41.3,58.7,2.7,22.4,34.5,28.3,8.1,4,27880411,37957843,1155382,13675858,21899611,20022092,6080309,3005002,12,8859,4342,4517,1415,1173,1410,1473,1435,1953,"CS100009","커피음료",9,18,281,121,160,0,41,41,104,64,31,59376,31171,28205,4350,8354,13186,11525,11707,10252
50,201804,"개포로109길","CS100009","커피음료",38,100,0,0,0,0,47436682,49.7,50.3,1.7,22.3,34.3,24.9,13.3,3.5,20877449,19570546,481050,8216220,14254458,10592482,5531920,1371865,2,573,273,300,86,69,152,90,90,86,"CS100009","커피음료",3,5,11545,9262,2283,115,3872,3699,1965,1366,528,1405,790,614,44,166,252,310,375,257
51,201804,"개포로82길","CS100009","커피음료",54,0,0,0,0,0,40293283,41.1,58.9,3.9,22,18.9,23.8,22.5,8.9,15496402,21179577,1007720,6724813,6567678,9245286,8585231,4545253,3,38,28,10,0,5,12,8,7,6,"CS100009","커피음료",2,4,103,48,55,2,11,16,26,36,12,10434,5127,5306,871,1633,1527,1974,2428,2001
52,201804,"거북골로16길","CS100009","커피음료",19,0,0,0,0,0,6882488,42,58,0,15.4,28.4,30.8,18.5,6.8,2484793,3296774,0,839631,1479263,2239171,858525,364977,1,550,290,260,72,76,66,85,104,147,"CS100009","커피음료",1,1,39,23,16,0,2,9,15,7,6,19648,9206,10442,1140,3470,3818,3848,3711,3661
53,201804,"거북골로20길","CS100009","커피음료",145,0,0,0,0,0,57189840,38.6,61.4,1.7,32.3,30.3,20.5,10.3,4.8,23814783,33375057,920060,17456733,15126322,12497365,8165570,3023790,6,2557,1214,1343,391,349,378,427,422,590,"CS100009","커피음료",6,6,188,99,89,2,13,32,59,57,25,89241,44531,44710,9364,15395,15714,16532,16756,15481
57,201804,"경기대로9길","CS100009","커피음료",9,0,0,0,0,0,1483808,45.1,54.9,5.3,50.2,11.3,14.7,16.6,1.9,589912,810530,46233,669922,129983,256043,282825,15438,1,625,319,306,78,121,85,98,106,137,"CS100009","커피음료",2,3,598,306,292,2,108,163,142,113,70,53304,27000,26304,5742,18713,8789,8106,6681,5273
60,201804,"경인로22길","CS100009","커피음료",29,0,0,0,0,0,2398026,54.9,45.1,1.2,27.3,39.5,16.6,9.8,5.6,1324334,879867,12397,532278,955923,299013,294146,110446,1,675,354,321,45,183,231,82,56,78,"CS100009","커피음료",0,1,21,12,9,0,0,9,2,4,6,58675,29292,29383,3780,15510,14103,8144,8157,8981
61,201804,"경인로35길","CS100009","커피음료",26,100,100,100,33.33,0,12862615,48.8,51.2,5.1,30.7,17.1,16.9,20.4,9.8,6175158,5840451,551133,2722269,1852051,2247065,3069388,1573704,3,3474,1777,1697,432,447,420,526,673,976,"CS100009","커피음료",5,5,225,55,170,0,22,47,71,69,16,36624,18606,18018,1839,6656,6301,6438,8338,7051
62,201804,"경인로40길","CS100009","커피음료",20,0,0,0,0,0,18565971,40.6,59.4,4.8,35,25.4,20.6,10.6,3.5,7824594,10741377,756688,5554212,4481852,4211534,2471055,1090630,1,1231,583,648,176,122,210,174,176,373,"CS100009","커피음료",1,3,305,225,80,0,40,38,65,75,87,16153,7732,8421,1132,3486,3344,2712,2934,2545
63,201804,"경인로47길","CS100009","커피음료",387.3333333,100,100,100,100,100,151304475,54.3,45.7,15.6,54.8,11.6,10.3,6.2,1.4,79362578,71941897,20125883,75298077,21257945,19645669,12116541,2860360,13,1607,868,739,205,225,238,262,270,407,"CS100009","커피음료",11,20,625,248,377,1,163,161,162,103,35,95470,57817,37653,18245,35616,11950,11522,10445,7692
64,201804,"경인로47다길","CS100009","커피음료",13,0,0,0,0,0,14010397,45.4,54.6,4.8,34.2,22.7,26.1,9.3,2.8,5668310,7617601,488455,4028066,3349702,3862325,1175954,381408,1,1088,565,523,147,161,127,180,186,287,"CS100009","커피음료",0,1,98,62,36,0,7,22,27,22,20,11427,6047,5380,812,2620,1801,2026,1878,2290
65,201804,"경인로59길","CS100009","커피음료",142,0,0,0,0,0,46314601,41.5,58.5,1.1,22.8,31.1,28.9,10,6,16756387,25150837,360775,8348427,14263521,11716253,4288495,2929756,5,561,276,285,73,100,116,107,68,97,"CS100009","커피음료",1,5,154,49,105,0,27,43,43,26,15,34974,15984,18990,2353,6326,8586,7154,6352,4203
69,201804,"경희대로1길","CS100009","커피음료",28,0,0,0,0,0,58553459,30.2,69.8,9.5,68.4,11.3,5.4,4.5,0.9,18883593,39669866,4997702,39355440,8161732,2901333,2530919,606333,2,322,162,160,25,129,52,28,29,59,"CS100009","커피음료",2,3,24,11,13,3,6,2,3,8,2,31191,15109,16082,4003,16035,3996,2896,2390,1871
70,201804,"경희대로3길","CS100009","커피음료",13,0,0,0,0,0,7612879,47.5,52.5,2.4,68.3,15.8,9.8,2.4,1.3,3519697,4093182,303788,5204545,1493939,293182,302273,15152,1,660,333,327,55,254,118,71,55,107,"CS100009","커피음료",1,2,45,17,28,0,10,6,6,20,3,20190,9398,10793,1593,6785,3129,2717,2778,3189
71,201804,"경희대로4길","CS100009","커피음료",91,100,0,0,0,0,124316027,45.4,54.6,10.3,68.2,7.7,5.8,7.3,0.7,55377062,68938965,13885878,81532242,10786537,8127459,9112416,871495,6,628,288,340,65,194,97,76,79,117,"CS100009","커피음료",8,12,25,11,14,0,0,11,8,4,2,101558,47863,53695,13996,53030,12090,8975,7505,5963
72,201804,"경희대로6길","CS100009","커피음료",60,0,0,0,0,0,111384991,44.3,55.7,11.4,65,8.3,6.9,7.4,1.1,48866093,62518898,12988332,68759954,10837668,8749389,8441688,1607960,7,399,195,204,44,107,70,64,39,75,"CS100009","커피음료",7,11,76,25,51,1,20,17,17,14,7,242927,106853,136075,40116,119056,24622,23058,17945,18129
73,201804,"고덕로10길","CS100009","커피음료",87,0,0,0,0,0,19656876,38.4,61.6,1.6,25.5,29.8,27.8,11,4.3,7691869,11965007,120583,4011362,6389623,5249106,2714550,1171652,3,1408,680,728,234,201,267,236,225,245,"CS100009","커피음료",3,4,48,11,37,0,10,12,16,6,4,25644,14109,11535,1338,4774,5958,5201,4747,3626
74,201804,"고산자로14길","CS100009","커피음료",156,0,0,0,0,0,233344915,52.8,47.2,3.2,29.1,24.7,21.5,14.2,7.4,112800198,99761571,6257516,58056586,52958152,45689747,31545339,18054428,2,330,145,185,20,116,91,41,30,32,"CS100009","커피음료",1,2,139,68,71,2,12,27,42,31,25,80675,37542,43133,4008,28588,17987,12247,11006,6840
75,201804,"고산자로16길","CS100009","커피음료",41,0,0,0,0,0,6766484,36,64,0,15.1,31.4,25.7,22.1,5.7,1585165,3002747,0,480769,1310440,1260989,1140110,395604,1,58,33,25,3,3,7,8,13,24,"CS100009","커피음료",1,2,94,46,48,2,9,22,33,19,9,16943,8653,8290,734,6022,3367,2566,2569,1685
76,201804,"고산자로2길","CS100009","커피음료",53,100,100,100,100,100,50402797,50.4,49.6,1.3,22.3,27.1,25.4,17.8,6.2,22692308,20864336,391608,8081119,11594406,13066434,8227273,2195804,2,684,325,359,158,58,131,161,74,102,"CS100009","커피음료",2,2,84,30,54,0,12,10,28,17,17,3530,1655,1876,190,694,769,864,518,495
77,201804,"고산자로31길","CS100009","커피음료",47,0,0,0,0,0,24085096,46,54,1.3,44.8,27.4,14,8.8,3.7,10487457,11774001,279448,9542354,5999595,3147415,2318779,973868,1,205,123,82,7,35,13,28,40,82,"CS100009","커피음료",1,3,15,8,7,0,0,3,3,4,5,11844,5867,5977,961,3650,2136,1718,1787,1592
81,201804,"고산자로6길","CS100009","커피음료",94,0,0,0,0,0,59642035,47.4,52.6,4,32.3,24,22.9,13.2,3.7,24178201,27448917,1554671,14251295,12972476,11947290,7956876,2944512,3,372,192,180,53,54,54,59,59,93,"CS100009","커피음료",3,6,319,148,171,1,47,60,68,69,74,36167,17938,18230,2951,7277,8563,6556,5617,5202
82,201804,"고산자로8나길","CS100009","커피음료",372,50,50,50,50,50,200100723,52.4,47.6,2.8,47.4,24,14.2,8.6,3,90182267,91852038,3919417,79084916,47221164,26822908,17947016,7038891,11,1939,1006,933,187,299,284,305,350,514,"CS100009","커피음료",12,20,866,454,412,5,136,190,224,207,104,130377,68914,61463,11680,40609,23616,19565,18912,15995
83,201804,"고척로21나길","CS100009","커피음료",85,50,0,0,0,0,27177032,43.7,56.3,1.6,35.1,29.7,18.1,14.6,0.9,7669955,19507077,102285,3268961,11648040,10545295,1395600,216851,4,3524,1774,1750,538,469,459,539,618,901,"CS100009","커피음료",3,7,447,131,316,0,68,84,109,137,49,7983,3092,4891,180,1160,1407,1465,2424,1347
84,201804,"고척로27길","CS100009","커피음료",25,100,100,0,0,0,10972441,34.4,65.6,5.9,33.5,22.2,24.9,13.1,0.5,4415847,6556594,480758,3709279,2111610,2408644,2177168,84982,1,2603,1310,1293,367,365,389,427,460,595,"CS100009","커피음료",2,2,90,39,51,0,11,14,29,28,8,65333,33644,31690,4468,12120,11517,13584,13131,10514
86,201804,"고척로33길","CS100009","커피음료",35,100,0,0,0,0,15944062,19.7,80.3,0.1,24.2,55.9,15.4,4.2,0.2,3747694,12196368,12521,3343897,8125846,3765109,669260,27429,3,2676,1306,1370,403,413,328,454,474,604,"CS100009","커피음료",3,3,75,17,58,0,11,6,27,25,6,26145,13384,12761,1842,5055,4665,5332,5333,3919
89,201804,"고척로52길","CS100009","커피음료",16,0,0,0,0,0,997794,66.7,33.3,0,44.7,16.7,33.3,0,5.3,730147,267647,0,488235,124265,359559,0,25735,1,2559,1278,1281,460,358,361,444,420,516,"CS100009","커피음료",1,1,67,41,26,0,2,11,18,20,16,32672,17981,14691,1427,7080,5974,5917,5694,6580
91,201804,"곰달래로31가길","CS100009","커피음료",25,0,0,0,0,0,5378641,25.5,74.5,1.1,8.2,36.9,43.4,6.6,3.9,1386450,3676172,19417,355959,1935550,2244005,329534,178155,2,4004,1988,2016,665,496,729,734,584,796,"CS100009","커피음료",2,4,231,59,172,0,25,61,68,63,14,37436,16496,20940,2869,7237,9019,7009,6002,5299
92,201804,"곰달래로31길","CS100009","커피음료",267,66.67,66.67,0,0,0,85162074,40.7,59.3,1.4,19.7,35.6,27,10.1,6.3,30813858,46031133,857071,14473895,25912133,20981345,9544360,5076188,10,8952,4257,4695,1568,1077,1763,1566,1235,1743,"CS100009","커피음료",8,10,347,184,163,0,39,70,85,81,72,178153,84209,93943,11282,43314,41552,29889,26213,25903
93,201804,"곰달래로35길","CS100009","커피음료",24,0,0,0,0,0,3e+06,12.3,87.7,0,2.6,45.2,49.5,2.6,0,391304,2608696,0,72464,1376812,1434782,115942,0,1,4929,2393,2536,859,691,992,866,692,829,"CS100009","커피음료",1,2,31,5,26,0,10,7,6,6,2,35906,15182,20724,1123,7944,10111,7595,4287,4846
94,201804,"곰달래로60길","CS100009","커피음료",103,0,0,0,0,0,57524424,45,55,4.7,38,29.7,16.6,8,3,26965096,30559328,2587964,21874213,16748605,9529661,4851860,1932121,4,728,356,372,59,124,146,109,117,173,"CS100009","커피음료",3,9,176,118,58,1,21,31,41,35,47,28523,14689,13834,2093,6393,5718,5307,5102,3911
95,201804,"공릉로12가길","CS100009","커피음료",16,0,0,0,0,0,14790979,58.8,41.2,2,11.8,19.8,45.6,12.3,8.4,8196240,4478767,68391,2760757,2286048,5476209,1265828,817773,2,969,485,484,168,142,129,168,157,205,"CS100009","커피음료",1,2,66,43,23,0,8,21,14,20,3,16060,9044,7016,2186,3936,2145,3090,2811,1891
96,201804,"공릉로12길","CS100009","커피음료",30,0,0,0,0,0,4633234,44.8,55.2,5.2,27,18.2,29.6,14,5.9,2079939,2175843,171207,1103819,750956,1133261,786091,310448,2,520,252,268,79,73,81,78,88,121,"CS100009","커피음료",2,2,47,31,16,1,8,14,7,13,4,30612,15464,15149,1017,4560,5881,5946,7287,5921
