profit,livingPeople,numberStore,workingPeople,movingPeople,rent,gu,region
4420672,2782,5,104,32252,59.66666667,강북구,기타지역
3223213,1557,2,141,18820,59.66666667,강북구,기타지역
1112782,296,1,94,22658,59.66666667,강북구,기타지역
2925928.667,4084,8,339,213589,59.66666667,강북구,기타지역
22166245,1481,2,96,55628,59.66666667,강북구,기타지역
16771847,1977,6,275,119453,59.66666667,강북구,기타지역
2906609.667,4120,3,184,136114,59.66666667,강북구,기타지역
3929892.667,1659,9,345,22178,59.66666667,강북구,기타지역
7811148.111,4927,15,383,134639,59.66666667,강북구,기타지역
8578072,278,1,50,26072,59.66666667,강북구,기타지역
2810119.667,4084,6,339,211330,59.66666667,강북구,기타지역
13160051,305,4,196,24349,59.66666667,강북구,기타지역
1561078,478,1,16,4401,59.66666667,강북구,기타지역
2765700,9702,8,374,119644,59.66666667,강북구,기타지역
7901161.75,419,5,128,40324,59.66666667,강북구,기타지역
7229233,1557,2,141,16132,59.66666667,강북구,기타지역
1292258,1434,1,59,101515,59.66666667,강북구,기타지역
8732470.625,2356,14,135,21938,59.66666667,강북구,기타지역
10610181,3342,1,140,49571,59.66666667,강북구,기타지역
12593125,3625,1,141,68910,59.66666667,강북구,기타지역
3870286,862,1,17,16558,59.66666667,강북구,기타지역
7420958,554,1,52,8942,59.66666667,강북구,기타지역
5790390.75,823,4,96,85818,59.66666667,강북구,기타지역
5566542,1079,1,61,31857,59.66666667,강북구,기타지역
4889256,1308,1,7,19357,59.66666667,강북구,기타지역
1004790,2825,1,118,37457,59.66666667,강북구,기타지역
10617714.5,1016,2,22,59953,59.66666667,강북구,기타지역
38979091,729,3,56,17615,59.66666667,강북구,기타지역
590226,296,2,94,21461,59.66666667,강북구,기타지역
4303043,7159,4,534,149852,59.66666667,강북구,기타지역
4880165,1308,1,7,16901,59.66666667,강북구,기타지역
9016862.143,4927,10,383,156777,59.66666667,강북구,기타지역
1592589,5246,5,236,179783,59.66666667,강북구,기타지역
11504718.11,7971,12,861,240187,59.66666667,강북구,기타지역
8738922,554,1,52,7684,59.66666667,강북구,기타지역
6201212.333,770,5,43,44208,59.66666667,강북구,기타지역
2284133,1946,1,121,57430,59.66666667,강북구,기타지역
10432432,1157,1,20,15342,59.66666667,강북구,기타지역
3870286,862,1,17,16558,59.66666667,강북구,기타지역
1141791,1978,2,26,45748,59.66666667,강북구,기타지역
10676141.8,7971,17,861,219888,59.66666667,강북구,기타지역
4928415,3528,2,1209,43598,59.66666667,강북구,기타지역
3876254,278,2,50,25533,59.66666667,강북구,기타지역
33953636,1215,2,72,44293,59.66666667,강북구,기타지역
3224528.667,2547,6,234,69528,59.66666667,강북구,기타지역
5891833.5,1529,6,1923,114243,59.66666667,강북구,기타지역
13238223.25,1823,2,306,36297,59.66666667,강북구,기타지역
607383,781,1,64,29332,59.66666667,강북구,기타지역
6744976.75,2541,6,21,21150,59.66666667,강북구,기타지역
2791768,1305,4,459,5336,59.66666667,강북구,기타지역
5566542,1079,1,61,31857,59.66666667,강북구,기타지역
8335071.5,2797,9,531,100619,59.66666667,강북구,기타지역
1561078,1061,1,62,28924,59.66666667,강북구,기타지역
14760437,1739,1,89,25117,59.66666667,강북구,기타지역
3683105,4120,4,184,138958,59.66666667,강북구,기타지역
3728565.5,1406,4,507,90501,59.66666667,강북구,기타지역
8529276.75,1265,6,121,71623,59.66666667,강북구,기타지역
7469369,1157,1,20,15726,59.66666667,강북구,기타지역
3482673,3027,3,26,36585,59.66666667,강북구,기타지역
11504718.11,7971,12,861,240187,59.66666667,강북구,기타지역
7350746,1313,2,58,4581,59.66666667,강북구,기타지역
5790390.75,823,4,96,85818,59.66666667,강북구,기타지역
4907787.375,2010,10,617,184532,59.66666667,강북구,기타지역
18202889,1739,1,89,25218,59.66666667,강북구,기타지역
33953636,729,2,56,17876,59.66666667,강북구,기타지역
38979091,1215,3,72,43618,59.66666667,강북구,기타지역
657081,1466,2,60,25761,59.66666667,강북구,기타지역
7143776.5,206,2,27,71615,59.66666667,강북구,기타지역
10676141.8,7971,17,861,219888,59.66666667,강북구,기타지역
8083311.5,2797,6,531,105554,59.66666667,강북구,기타지역
13374781.33,305,5,196,22916,59.66666667,강북구,기타지역
2412595.5,5246,8,236,179579,59.66666667,강북구,기타지역
2506587,1061,1,62,30329,59.66666667,강북구,기타지역
2506587,478,1,16,4104,59.66666667,강북구,기타지역
4922985.4,3314,5,170,242896,59.66666667,강북구,기타지역
5163060.429,2010,7,617,167175,59.66666667,강북구,기타지역
11683927.5,1823,2,306,34719,59.66666667,강북구,기타지역
9512354,924,3,318,41576,59.66666667,강북구,기타지역
2348993,1597,2,77,10169,59.66666667,강북구,기타지역
5101660,2782,6,104,31245,59.66666667,강북구,기타지역
5890164,3528,3,1209,35296,59.66666667,강북구,기타지역
2238237,1946,2,121,53643,59.66666667,강북구,기타지역
